,Fold selected features,Fold #features
Fold_0,"['ACACB', 'RPL23AP82', 'MIRLET7D', 'RNA5SP387', 'HNRNPA3P6', 'RPL23AP7']",6
Fold_1,"['ACACB', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TM', 'MT-TR', 'MT-TH', 'MAGI2-AS3', 'RPL23AP7']",9
Fold_2,"['MVK', 'RNA5SP387', 'RNY3P1', 'MT-TH', 'HNRNPA3P6', 'MTRNR2L8']",6
Fold_3,"['TRIO', 'RNA5SP387', 'MT-TV', 'MT-TM', 'MT-TH', 'RPL23AP7', 'MTRNR2L8']",7
Fold_4,"['ACACB', 'MIRLET7D', 'RNY3P1', 'HNRNPA3P6', 'RPL23AP7', 'RN7SL60P', 'RP11-120B7.1']",7
Fold_5,"['ACACB', 'RNA5SP387', 'RNY3P1', 'Y_RNA.201', 'MAGI2-AS3', 'RPL23AP7', 'MTRNR2L8']",7
Fold_6,"['ACACB', 'SNCA', 'MIRLET7D', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'MTRNR2L8']",7
Fold_7,"['TRIO', 'ACACB', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TM', 'MT-TH', 'RPL23AP7']",8
Fold_8,"['ACACB', 'SNCA', 'RNA5SP387', 'RNY3P1', 'MT-TM', 'MT-TH', 'MT-TS2', 'MAGI2-AS3', 'RPL23AP7']",9
Fold_9,"['ACACB', 'GPX1P1', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TM', 'MT-TH', 'MTRNR2L8']",8
Fold_10,"['TRIO', 'ACACB', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TC', 'MT-TH', 'RPL23AP7', 'MTRNR2L8']",9
Fold_11,['MTRNR2L8'],1
Fold_12,"['GPX1P1', 'RNA5SP387', 'MT-TH', 'MAGI2-AS3', 'RPL23AP7']",5
Fold_13,"['ACACB', 'Y_RNA.74', 'RNY3P1', 'MT-TM', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'MTRNR2L8']",8
Fold_14,"['TRIO', 'ACACB', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TV', 'MT-TM', 'MT-TH', 'RPL23AP7']",9
Fold_15,"['TRIO', 'MIRLET7D', 'MT-TM', 'MT-TH', 'HNRNPA3P6', 'MAGI2-AS3', 'RPL23AP7', 'MTRNR2L8']",8
Fold_16,"['ACACB', 'MIRLET7D', 'HNRNPA3P6', 'RPL23AP7']",4
Fold_17,"['ACACB', 'MT-TV', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'MTRNR2L8']",6
Fold_18,"['TRIO', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TM', 'MT-TH', 'MAGI2-AS3', 'RPL23AP7', 'MTRNR2L8']",9
Fold_19,"['ACACB', 'SNCA', 'RPL23AP82', 'HNRNPA3P6', 'RPL23AP7', 'NEAT1']",6
Fold_20,"['ACACB', 'MIRLET7D', 'MT-TH', 'RPL23AP7']",4
Fold_21,"['ACACB', 'IGF2', 'MIRLET7D', 'RNA5SP387', 'RNY3P1', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'MTRNR2L8']",9
Fold_22,"['ACACB', 'RNA5SP387', 'RNY3P1', 'Y_RNA.201', 'MT-TH', 'YWHAQP5', 'RPL23AP7']",7
Fold_23,"['TRIO', 'ACACB', 'RNA5SP335', 'RNY3P1', 'MT-TM', 'MT-TH', 'HNRNPA3P6']",7
Fold_24,"['ACACB', 'ZFAND5', 'CUL4A', 'YOD1', 'RNY3P1', 'HNRNPA3P6', 'MAGI2-AS3', 'RPL23AP7']",8
