,Fold selected features,Fold #features
Fold_0,"['MT-TE', 'RNA5SP387', 'HNRNPA3P6', 'YWHAQP5', 'TRIO', 'RPS26P31', 'CDK10', 'MT-TH', 'RPL23AP7', 'MIRLET7D', 'RPL34P34', 'FAM21EP', 'MAGI2', 'MVK', 'GAPDHP60']",15
Fold_1,"['MT-TE', 'HSF1', 'RNA5SP387', 'MT-TR', 'YWHAQP5', 'DUSP1', 'SLFN12L', 'PPP1R21', 'GP9', 'U2AF1L5', 'RPS3AP9', 'MT-TH', 'CDK10', 'RPL23AP7', 'LMNA', 'Y_RNA.361', 'MAGI2-AS3', 'VAMP1', 'MVK']",19
Fold_2,"['RNA5SP387', 'FAM98B', 'MT-TR', 'HNRNPA3P6', 'Y_RNA.356', 'MT-TH', 'ANKHD1-EIF4EBP3', 'RPL23AP7', 'LILRA6', 'Y_RNA.138', 'SARS2', 'MTRNR2L8', 'MVK', 'CTD-3088G3.8', 'GAPDHP60', 'MT-TM']",16
Fold_3,"['GOLGA5P1', 'RPL23AP7', 'RPL34P34', 'MTRNR2L8', 'RGS10', 'MT-TR', 'ACSS2', 'YWHAQP5', 'TRIO', 'CDK10', 'MT-TH']",11
Fold_4,"['ZNF3', 'RN7SL210P', 'Y_RNA.1', 'KIAA1257', 'CYP2W1', 'HNRNPA3P6', 'XXbac-BPG32J3.22', 'SDCCAG3', 'CTB-174O21.2', 'ANKHD1-EIF4EBP3', 'ST6GAL2', 'MIRLET7D', 'RP11-343H5.4', 'TCEA1P2', 'RPL34P34', 'RPL23AP7', 'PLB1', 'RN7SL60P', 'TNFRSF8', 'RP11-120B7.1', 'THAP9-AS1', 'SPINK5', 'GAPDHP60']",23
Fold_5,"['LINC01001', 'ITGB2-AS1', 'RNA5SP335', 'MT-TR', 'SNORD116-14', 'Y_RNA.201', 'HCAR3', 'TRIO', 'RNY3P1', 'CDK10', 'MT-TH', 'RPL23AP7', 'Y_RNA.138', 'RPL34P34', 'MTRNR2L8', 'MTND6P22', 'ALDOA', 'THAP9-AS1', 'MT-TC', 'MT-TM']",20
Fold_6,"['GOLGA5P1', 'RNA5SP68', 'HNRNPA3P6', 'YWHAQP5', 'CTD-2020K17.1', 'NCSTN', 'RP11-139H14.5', 'MT-TH', 'RPL23AP7', 'SPIB', 'Y_RNA.138', 'RPL34P34', 'IRS1', 'ZNF839', 'MAGI2', 'JAKMIP2']",16
Fold_7,"['MIRLET7D', 'RPL23AP7', 'RP11-466H18.1', 'RNA5SP387', 'GSDMA', 'KIRREL3', 'PRAM1', 'MT-TH', 'THAP9-AS1', 'AC009961.2', 'CDK10', 'GPX1P1']",12
Fold_8,"['DPP10-AS1', 'GOLGA5P1', 'RP11-885N19.6', 'SFRP2', 'MT-TS2', 'NBPF13P', 'HNRNPA3P6', 'Y_RNA.201', 'PLEK2', 'YWHAQP5', 'TRIO', 'SEPT5', 'RP11-390K5.1', 'RP11-383C5.3', 'Y_RNA.138', 'RNA5SP506', 'RPL34P34', 'MTRNR2L8', 'MT-TC', 'OXTR', 'THAP9-AS1', 'MT-TM', 'RNA5SP387', 'MAP1A', 'MT-TR', 'Y_RNA.221', 'RPS4XP22', 'CDK10', 'MT-TH', 'ANKHD1-EIF4EBP3', 'RPL23AP7', 'EMBP1', 'MIR142', 'MAGI2', 'MVK']",35
Fold_9,"['WDR87', 'IL18', 'RNA5SP387', 'EFCAB14', 'PLK4', 'GPR78', 'NDUFB7', 'CDK10', 'MT-TH', 'DIAPH1', 'MIRLET7D', 'RPL34P34', 'MYO18B', 'SYT17', 'PRPF39', 'GPX1P1']",16
