,Fold selected features,Fold #features
Fold_0,"['CRTAC1', 'FCRLB', 'CCL20', 'GDF15', 'MDGA1']",5
Fold_1,"['LTBP3', 'PLAUR', 'MDGA1', 'CD1C', 'S100A16', 'MZB1']",6
Fold_2,"['PLAUR', 'TMPRSS5', 'FCRLB', 'TNFRSF13B', 'MDGA1', 'GNLY', 'MZB1']",7
Fold_3,"['PLAUR', 'FCRLB', 'SMOC2', 'CPA2', 'PRSS8', 'MDGA1', 'PILRB', 'CCL15', 'CRTAC1', 'IL5RA', 'DSG4', 'IGF2R', 'CTSH', 'CD1C', 'CDHR1', 'XPNPEP2', 'TMPRSS5', 'IL13']",18
Fold_4,"['TFPI2', 'CRTAC1', 'CCL20', 'CASP1', 'MZB1']",5
Fold_5,"['MDGA1', 'GNLY', 'CTSF', 'NOMO1']",4
Fold_6,"['MUC13', 'NDRG1', 'BAIAP2', 'GNLY', 'LYPD1', 'PRSS8', 'MDGA1', 'MZB1', 'AOC1', 'CHIT1', 'IL5RA', 'CXCL13', 'CD1C', 'PDGFC', 'TMPRSS5', 'CCL20']",16
Fold_7,"['CRTAC1', 'DPEP2', 'PLAUR', 'MDGA1', 'CASP1', 'TMPRSS5', 'CCL20', 'MZB1']",8
Fold_8,"['DPEP2', 'CRTAC1', 'PLAUR', 'FCRLB', 'CTSH', 'CD1C', 'CPA2', 'MDGA1', 'TDGF1', 'MZB1']",10
Fold_9,"['IL2RA', 'MZB1', 'PLAUR']",3
Fold_10,"['CRTAC1', 'PLAUR', 'IL5RA', 'GNLY', 'CD1C', 'IL17C', 'TMPRSS5', 'MDGA1', 'CCL20', 'CTSF']",10
Fold_11,"['DPEP2', 'PLAUR', 'FCRLB', 'LILRB1', 'MSLN', 'MDGA1', 'FOSB', 'MZB1', 'CRTAC1', 'AOC1', 'GGT5', 'CD1C', 'ADAMTS13', 'XPNPEP2', 'TMPRSS5', 'CCL20', 'NPTN', 'PRL', 'TDGF1']",19
Fold_12,"['DPEP2', 'PLAUR', 'CD74', 'NCAM2', 'FCRLB', 'VWF', 'CCL7', 'TNC', 'PRSS8', 'REN', 'PON3', 'MDGA1', 'RANGAP1', 'MZB1', 'KLK12']",15
Fold_13,"['CRTAC1', 'PLAUR', 'TMPRSS5', 'MDGA1', 'HLA-DRA', 'MZB1']",6
Fold_14,"['CCL20', 'MZB1', 'MDGA1']",3
Fold_15,"['CRTAC1', 'ANGPTL2', 'PLAUR', 'GNLY', 'IGF2R', 'PON3', 'MDGA1', 'MZB1']",8
Fold_16,"['MDGA1', 'PRSS8', 'MSLN', 'FCRLB']",4
Fold_17,"['DPEP2', 'LTBP3', 'PLAUR', 'BAIAP2', 'SMOC2', 'GNLY', 'IL32', 'KLRD1', 'IL11', 'LILRB1', 'IL13', 'CPA2', 'LYPD1', 'PON3', 'MDGA1', 'MZB1', 'AOC1', 'IL5RA', 'DSG4', 'SPINK6', 'CD1C', 'INHBC', 'XPNPEP2', 'CCL20', 'PNLIPRP2', 'CTSF']",26
Fold_18,"['CCL15', 'CRTAC1', 'FCRLB', 'CD1C', 'DLL1', 'PM20D1', 'XPNPEP2', 'TMPRSS5', 'MDGA1', 'TDGF1', 'MZB1']",11
Fold_19,"['CRTAC1', 'LTBP3', 'PLAUR', 'IL17C', 'GPKOW', 'CCL20', 'RANGAP1', 'S100A16', 'JUN', 'MDGA1', 'RETN']",11
Fold_20,[],0
Fold_21,"['MDGA1', 'MZB1', 'FCRLB']",3
Fold_22,"['DPEP2', 'LTBP3', 'LEP', 'PLAUR', 'LHB', 'LY96', 'BAIAP2', 'SIGLEC9', 'KLRD1', 'LYPD1', 'IL2RA', 'MDGA1', 'FCAR', 'MZB1', 'PSPN', 'CNTN5', 'CRTAC1', 'CD1C', 'TNFRSF8', 'SLC39A5', 'GGH', 'LRRC25', 'IL2', 'CCL20', 'JUN', 'RETN']",26
Fold_23,"['DPEP2', 'MDGA1', 'CD1C', 'GNLY', 'MZB1']",5
Fold_24,"['PLAUR', 'FCRLB', 'NCAM2', 'IGF2R', 'IL32', 'TNC', 'CPA2', 'CDHR1', 'XPNPEP2', 'MDGA1', 'CEP164']",11
Fold_25,"['DPEP2', 'PLAUR', 'FCRLB', 'GNLY', 'PM20D1', 'LYPD1', 'MDGA1', 'RANGAP1', 'FCRL5', 'MZB1', 'CRTAC1', 'CD1C', 'CES2', 'XPNPEP2', 'NPTN', 'RETN']",16
Fold_26,"['LEP', 'PLAUR', 'IL13', 'LILRB1', 'TSLP', 'LYPD1', 'PON3', 'MDGA1', 'FCN2', 'FOSB', 'CRTAC1', 'AOC1', 'PLA2G7', 'DPT', 'NCAM2', 'IL5RA', 'DSG4', 'LGALS9', 'DKKL1', 'CD1C', 'CES2', 'LRRC25', 'CCL20', 'S100A16', 'RETN']",25
Fold_27,"['PLAUR', 'FCRLB', 'BAIAP2', 'CCL7', 'KLRD1', 'NRP1', 'MDGA1', 'TDGF1', 'FOSB', 'MZB1', 'CRTAC1', 'AOC1', 'SIGLEC7', 'CXCL13', 'IGF2R', 'CTSH', 'CD1C', 'TNFRSF8', 'TMPRSS5', 'NINJ1', 'CCL20', 'WFIKKN1', 'CTSS']",23
Fold_28,"['MDGA1', 'CRTAC1', 'CCL7', 'NCAM2']",4
Fold_29,"['GNLY', 'MZB1']",2
Fold_30,"['MUC13', 'DPEP2', 'FCRLB', 'BAIAP2', 'GNLY', 'GFRA2', 'IL11', 'AMY2B', 'WIF1', 'PON3', 'MDGA1', 'RANGAP1', 'MZB1', 'CRTAC1', 'CD1C', 'ADAMTS13', 'CDHR1', 'XPNPEP2', 'TMPRSS5', 'NPTN', 'AMY2A']",21
Fold_31,"['PLAUR', 'GFRA2', 'KLRD1', 'SRP14', 'LYPD1', 'PRSS8', 'PON3', 'MDGA1', 'FOSB', 'CCL15', 'AOC1', 'CNTN5', 'POLR2F', 'CTSH', 'IL17C', 'CD1C', 'PDGFC', 'XPNPEP2', 'SLC39A5', 'CCL20', 'S100A16', 'JUN', 'RETN']",23
Fold_32,"['CRTAC1', 'AOC1', 'TMPRSS5', 'PRSS8', 'MDGA1', 'CCL20', 'CD1C']",7
Fold_33,"['PLAUR', 'TMPRSS5', 'FCRLB', 'MDGA1', 'MZB1']",5
Fold_34,"['CRTAC1', 'DPEP2', 'PLAUR', 'FCRLB', 'HLA-DRA', 'CD1C', 'XPNPEP2', 'TMPRSS5', 'MDGA1', 'NPTN', 'MZB1', 'RETN']",12
Fold_35,"['MDGA1', 'GNLY', 'IL2RA', 'FCRLB']",4
Fold_36,"['PLAUR', 'MZB1']",2
Fold_37,"['PLAUR', 'FCRLB', 'BAIAP2', 'CA6', 'PRSS8', 'PON3', 'MDGA1', 'FCAR', 'CDKN1A', 'FOSB', 'CXCL8', 'CNTN5', 'AOC1', 'IL5RA', 'DSG4', 'IL17C', 'CD1C', 'INHBC', 'SLC39A5', 'LRRC25', 'CCL20', 'RETN']",22
Fold_38,"['CRTAC1', 'DPEP2', 'PLAUR', 'NCAM2', 'HLA-DRA', 'TMPRSS5', 'MDGA1', 'FOSB', 'MZB1']",9
Fold_39,"['NDRG1', 'PLAUR', 'GNLY', 'XPNPEP2', 'TMPRSS5', 'MDGA1', 'NPTN', 'RANGAP1', 'MZB1']",9
Fold_40,"['MDGA1', 'PLAUR']",2
Fold_41,"['DPEP2', 'CRTAC1', 'PLAUR', 'FCRLB', 'IL5RA', 'MDGA1', 'CPA2', 'CDHR1', 'XPNPEP2', 'PON3', 'CCL20', 'MZB1']",12
Fold_42,"['LEP', 'PLAUR', 'ADAM15', 'GPKOW', 'GGT1', 'LYPD1', 'STC1', 'NRP1', 'MDGA1', 'PON3', 'FCRL5', 'MZB1', 'TFPI2', 'CNTN5', 'CRTAC1', 'TFF1', 'COPE', 'NCAM2', 'LY9', 'CCL20', 'JUN', 'RETN', 'SCP2']",23
Fold_43,"['CRTAC1', 'DPEP2', 'FCRLB', 'MDGA1', 'CD1C']",5
