,Fold selected features,Fold #features
Fold_0,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IFNa', 'CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'Granulocytes_pS6_TNFa', 'Granulocytes_pS6_Unstim', 'CD4Tnaive_pSTAT5_PI', 'CD4Tnaive_pSTAT5_Unstim', 'CD4Tnaive_pSTAT3_TNFa', 'CD4Tnaive_pSTAT5_IFNa', 'ncMCs_pMK2_PI', 'CD8Tcm_CCR2pos_pNFkB_PI', 'CD4Tnaive_pSTAT3_PI', 'CD4Tnaive_pSTAT5_IL246', 'Granulocytes_pS6_GMCSF']",16
Fold_1,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IL246', 'CD4Tregs_pSTAT5_IFNa', 'mDCs_HLADR_IFNa', 'CD56hiCD16negNK_pNFkB_IFNa', 'cMCs_HLADR_IL33', 'intMCs_pCREB_IFNa', 'CD4Teff_pSTAT5_LPS', 'pDCs_pSTAT3_IFNa', 'intMCs_pNFkB_IFNa', 'Granulocytes_pMK2_PI', 'ncMCs_pMK2_PI', 'CD4Tnaive_pSTAT3_PI', 'Granulocytes_pSTAT3_IFNa', 'CD4Tregs_pNFkB_IFNa', 'CD8Tnaive_pSTAT3_IL33', 'CD4Tnaive_pSTAT3_IFNa', 'CD8Tcells_Th1_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'pDCs_pNFkB_IL33', 'Granulocytes_pS6_TNFa', 'CD8Tnaive_pSTAT3_LPS', 'Granulocytes_pS6_Unstim', 'CD4Tnaive_pSTAT1_LPS', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'CD4negCD8negTcells_pNFkB_IL33', 'ncMCs_pNFkB_IFNa', 'cMCs_pCREB_IL33', 'Granulocytes_pCREB_IFNa', 'CD4Tnaive_pSTAT5_IL246', 'CD8Tcells_Th1_pSTAT3_IFNa', 'intMCs_IkB_TNFa', 'Granulocytes_pS6_PI', 'Granulocytes_pSTAT3_IL33', 'Granulocytes_pNFkB_GMCSF', 'CD4Tnaive_pSTAT5_PI', 'MDSCs_pCREB_IL33', 'CD4Tnaive_pSTAT5_Unstim', 'NKT_pSTAT6_IFNa', 'CD4Tnaive_pSTAT5_IFNa', 'MDSCs_pCREB_LPS', 'NKT_pSTAT5_IL33', 'CD4Tregs_CD25_IL33', 'CD4Tregs_pSTAT3_LPS', 'pDCs_pNFkB_IFNa', 'CD56hiCD16negNK_pS6_IL33', 'cMCs_pNFkB_IL33', 'CD4negCD8negTcells_pSTAT3_IFNa', 'CD4Tregs_HLADR_IL33', 'CD4Teff_pNFkB_IL33', 'ncMCs_pS6_IFNa', 'NK_cells_CD11cpos_HLADR_PI', 'Granulocytes_pS6_GMCSF', 'CD8Tcells_Th1_pS6_IL33']",55
Fold_2,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'CD4Tnaive_pSTAT5_PI', 'CD4Tnaive_pSTAT5_Unstim', 'Granulocytes_pMK2_PI', 'CD4Tnaive_pSTAT5_IFNa', 'ncMCs_pMK2_PI', 'CD4Tnaive_pSTAT3_PI', 'CD4Tregs_pSTAT5_PI', 'CD4Tnaive_pSTAT3_IFNa', 'Granulocytes_pS6_TNFa', 'CD8Tnaive_pSTAT3_LPS', 'Granulocytes_pS6_Unstim', 'intMCs_pCREB_TNFa', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'CD8Tcm_CCR2pos_pNFkB_PI', 'pDCs_HLADR_PI', 'CD4Tregs_pNFkB_PI', 'CD4Tnaive_pSTAT5_LPS', 'Granulocytes_pS6_GMCSF']",22
Fold_3,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'CD8Tcm_pNFkB_TNFa', 'mDCs_pCREB_TNFa', 'CD4Tnaive_pSTAT5_PI', 'CD4Tnaive_pSTAT5_Unstim', 'Granulocytes_pMK2_PI', 'CD4Tnaive_pSTAT5_IFNa', 'CD4Tregs_pSTAT5_PI', 'CD8Tcells_Th1_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'Granulocytes_pS6_TNFa', 'CD4Teff_pNFkB_TNFa', 'Granulocytes_pS6_Unstim', 'intMCs_pCREB_TNFa', 'CD4Tnaive_pSTAT3_TNFa', 'CD8Tcm_CCR2pos_pNFkB_PI', 'CD4Tnaive_pSTAT5_IL246', 'CD4Tnaive_pSTAT5_LPS', 'Granulocytes_pS6_GMCSF']",21
Fold_4,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IL246', 'CD4Tregs_pSTAT5_IFNa', 'pDCs_pSTAT3_IL246', 'CD4Teff_pSTAT5_LPS', 'pDCs_pSTAT3_IFNa', 'ncMCs_pMK2_PI', 'CD4Tnaive_pSTAT3_PI', 'CD4Tregs_pSTAT5_PI', 'ncMCs_pS6_GMCSF', 'CD4Tnaive_pSTAT3_IFNa', 'MDSCs_pSTAT3_GMCSF', 'CD8Tcells_Th1_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'pDCs_pNFkB_IL33', 'Granulocytes_pS6_TNFa', 'CD8Tnaive_pSTAT3_LPS', 'CD8Tcm_CCR2pos_pERK_PI', 'Granulocytes_pS6_Unstim', 'CD4Tregs_pNFkB_IL246', 'intMCs_pSTAT5_GMCSF', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'pDCs_HLADR_PI', 'MDSCs_pSTAT3_PI', 'CD56hiCD16negNK_pNFkB_IL33', 'CD8Tcells_Th1_pNFkB_PI', 'CD8Tcells_Th1_pSTAT3_IFNa', 'intMCs_IkB_TNFa', 'Granulocytes_pS6_PI', 'CD8Teff_pSTAT5_PI', 'Granulocytes_pSTAT3_IL33', 'MDSCs_pCREB_IL33', 'CD4Tnaive_pSTAT5_PI', 'MDSCs_pCREB_LPS', 'CD4Tregs_pSTAT5_IL246', 'CD56hiCD16negNK_pS6_IL33', 'CD4Tcm_pSTAT1_LPS', 'intMCs_pCREB_TNFa', 'CD8Tcm_CCR2pos_pNFkB_PI', 'CD4Tregs_pNFkB_PI', 'Bcells_pS6_LPS', 'CD4Tnaive_pSTAT3_Unstim', 'MDSCs_pCREB_IFNa', 'CD4Tregs_pSTAT5_LPS', 'ncMCs_pNFkB_IL33', 'NK_cells_CD11cpos_HLADR_PI', 'MDSCs_pCREB_PI', 'CD8Tem_pNFkB_IL33', 'Granulocytes_pS6_GMCSF', 'CD8Tcells_Th1_pS6_IL33']",51
Fold_5,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IFNa', 'CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'Granulocytes_pS6_TNFa', 'CD8Tnaive_pSTAT3_LPS', 'Granulocytes_pS6_Unstim', 'CD4Tnaive_pSTAT5_Unstim', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'intMCs_pS6_TNFa', 'CD4Tnaive_pSTAT5_IFNa', 'ncMCs_pMK2_PI', 'CD8Tcm_CCR2pos_pNFkB_PI', 'CD56hiCD16negNK_pNFkB_IL246', 'CD4Tnaive_pSTAT5_IL246', 'CD4Tnaive_pSTAT5_LPS', 'Granulocytes_pS6_GMCSF']",19
Fold_6,"['CD4Tnaive_pSTAT3_IFNa', 'CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'Granulocytes_pS6_TNFa', 'Granulocytes_pS6_Unstim', 'CD4Tnaive_pSTAT5_Unstim', 'intMCs_pCREB_TNFa', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'CD4Tnaive_pSTAT5_IFNa', 'ncMCs_pMK2_PI', 'CD4Tnaive_pSTAT3_PI', 'CD4Tnaive_pSTAT5_IL246', 'intMCs_IkB_TNFa', 'CD4Tnaive_pSTAT5_LPS', 'Granulocytes_pS6_GMCSF']",17
Fold_7,"['CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'CD8Tem_HLADR_IL33', 'pDCs_pNFkB_IL33', 'Granulocytes_pS6_TNFa', 'CD4Tnaive_pSTAT5_PI', 'CD4Tnaive_pSTAT5_Unstim', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'CD4Tnaive_pSTAT5_IFNa', 'ncMCs_pMK2_PI', 'CD8Tcm_CCR2pos_pNFkB_PI', 'CD8Tcells_Th1_pNFkB_PI', 'CD4Tnaive_pSTAT5_IL246', 'CD4Tregs_pSTAT5_PI', 'intMCs_IkB_TNFa', 'Granulocytes_pS6_GMCSF']",17
Fold_8,"['Granulocytes_pS6_LPS', 'Granulocytes_pS6_PI', 'CD4Tnaive_pSTAT5_Unstim', 'CD4Teff_pERK_PI', 'CD4Tnaive_pSTAT5_IFNa', 'CD4Tnaive_pSTAT3_PI', 'CD4Tregs_pSTAT5_PI', 'CD4Tnaive_pSTAT3_IFNa', 'CD8Tcells_Th1_pS6_PI', 'CD4Tnaive_pSTAT3_GMCSF', 'Granulocytes_pS6_TNFa', 'CD8Tnaive_pSTAT3_LPS', 'Granulocytes_pS6_Unstim', 'MDSCs_pCREB_PI', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'CD4Tregs_pNFkB_PI', 'MDSCs_pCREB_IFNa', 'CD4Tregs_pSTAT5_LPS', 'intMCs_IkB_TNFa', 'Granulocytes_pS6_GMCSF']",21
Fold_9,"['Granulocytes_pS6_LPS', 'CD4Tnaive_pSTAT3_IL246', 'Granulocytes_pS6_PI', 'Granulocytes_pSTAT5_GMCSF', 'CD4Tnaive_pSTAT5_PI', 'CD4Tnaive_pSTAT5_Unstim', 'Granulocytes_pMK2_PI', 'CD4negCD8negTcells_pSTAT6_IL246', 'intMCs_pS6_TNFa', 'CD4Tnaive_pSTAT5_IFNa', 'CD4Tnaive_pSTAT3_PI', 'CD4Tregs_pSTAT5_PI', 'CD4Tregs_pSTAT3_LPS', 'CD8Tnaive_pSTAT6_LPS', 'CD4Tnaive_pSTAT3_IFNa', 'CD4Tnaive_pSTAT3_GMCSF', 'intMCs_pS6_GMCSF', 'Granulocytes_pS6_TNFa', 'CD8Tnaive_pSTAT3_LPS', 'CD4Teff_pNFkB_TNFa', 'Granulocytes_pS6_Unstim', 'intMCs_pS6_LPS', 'CD4Tnaive_pSTAT1_LPS', 'CD4Tregs_pNFkB_IL246', 'intMCs_pCREB_TNFa', 'intMCs_pCREB_GMCSF', 'CD4Tnaive_pSTAT3_TNFa', 'CD8Tcm_CCR2pos_pNFkB_PI', 'ncMCs_pp38_LPS', 'Bcells_pS6_LPS', 'CD4Tnaive_pSTAT5_IL246', 'CD4Tnaive_pSTAT5_LPS', 'Granulocytes_pS6_GMCSF']",33
