,Fold selected features,Fold #features
Fold_0,[],0
Fold_1,['Macrophages_M1-like_stromal_GranzymeB'],1
Fold_2,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_3,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_4,"['Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",2
Fold_5,"['Macrophages_M2-like_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",3
Fold_6,[],0
Fold_7,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_8,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_9,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_10,"['Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB']",2
Fold_11,[],0
Fold_12,"['Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB']",2
Fold_13,"['Gland_glandular_epithelium_intragland_Ki67', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",4
Fold_14,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB']",2
Fold_15,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_16,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_17,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_18,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_19,['Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB'],1
Fold_20,"['NKT_glandfront_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_21,"['Macrophages_M1_M2_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_22,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_23,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD11b+_stromal_GranzymeB']",3
Fold_24,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_25,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_26,"['Gland_vascular_endothelium_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Stroma_vascular_endothelium_glandfront_GranzymeB']",5
Fold_27,"['Gland_glandular_epithelium_intragland_Ki67', 'NKT_glandfront_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",3
Fold_28,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_29,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_30,[],0
Fold_31,['Macrophages_M1-like_stromal_GranzymeB'],1
Fold_32,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_33,['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB'],1
Fold_34,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_35,"['Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB']",2
Fold_36,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_37,[],0
Fold_38,[],0
Fold_39,"['Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB', 'Stroma_mesenchymal_stromal_GranzymeB', 'Dendritic_Cells_CD33+_stromal_GranzymeB']",5
Fold_40,[],0
Fold_41,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_42,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_43,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_44,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_45,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_46,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_47,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_48,"['Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",3
Fold_49,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_50,"['Macrophages_M1_M2_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_51,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_52,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_53,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_54,[],0
Fold_55,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_56,[],0
Fold_57,['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB'],1
Fold_58,"['Dendritic_Cells_CD33+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB', 'Stroma_fibroblast_stromal_GranzymeB']",4
Fold_59,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_60,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_61,[],0
Fold_62,[],0
Fold_63,"['Gland_glandular_epithelium_intragland_Ki67', 'Macrophages_M1_M2_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",3
Fold_64,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_65,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_66,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_67,['Stroma_vascular_endothelium_glandfront_Ki67'],1
Fold_68,"['Gland_mesenchymal_intragland_Ki67', 'aSMA-br_mesenchymal_stromal_GranzymeB']",2
Fold_69,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_70,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_71,['Macrophages_M1-like_stromal_GranzymeB'],1
Fold_72,"['Gland_mesenchymal_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'Stroma_mesenchymal_glandfront_GranzymeB']",4
Fold_73,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_74,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB']",3
Fold_75,[],0
Fold_76,"['NKT_glandfront_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_77,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_78,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_79,[],0
Fold_80,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_81,[],0
Fold_82,[],0
Fold_83,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_84,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_85,"['Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB']",2
Fold_86,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_87,[],0
Fold_88,"['Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",3
Fold_89,"['Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Dendritic_Cells_CD209CD86dp_stromal_GranzymeB']",2
Fold_90,"['Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB']",3
Fold_91,"['Gland_mesenchymal_intragland_Ki67', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_92,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_93,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_94,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_95,['NA_glandfront_Ki67'],1
Fold_96,['Gland_glandular_epithelium_glandfront_Ki67'],1
Fold_97,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_glandfront_Ki67']",2
Fold_98,"['Gland_glandular_epithelium_intragland_Ki67', 'NKT_glandfront_Ki67']",2
Fold_99,['Gland_glandular_epithelium_glandfront_Ki67'],1
