,Fold selected features,Fold #features
Fold_0,"['Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Macrophages_M1_M2_stromal_GranzymeB', 'aSMA-br_fibroblast_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_cellfrequency']",7
Fold_1,"['Macrophages_M2-like_glandfront_cellfrequency', 'Gland_fibroblast_intragland_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Gland_glandular_epithelium_glandfront_Ki67', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'Gland_fibroblast_intragland_VEGF', 'NKT_glandfront_Ki67']",7
Fold_2,"['Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M1-like_glandfront_area', 'aSMA-br_epithelial_stem_glandfront_cellfrequency', 'Macrophages_M1-like_stromal_cellfrequency', 'NA_glandfront_cellfrequency', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Macrophages_M1-like_glandfront_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency']",9
Fold_3,"['Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium']",3
Fold_4,"['CD4_T_cells_HLA-DR+_stromal_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Neutrophils_glandfront_area', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'NA_intragland_cellfrequency', 'Macrophages_M1-like_stromal_area', 'Stroma_fibroblast_stromal_aggregatedNeighbors.aSMA.br.fibroblast', 'NA_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Dendritic_Cells_CD209CD33dp_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Macrophages_M1-like_glandfront_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_area', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_fibroblast_intragland_eccentricity', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'Dendritic_Cells_CD33+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_fibroblast_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Dendritic_Cells_CD86CD33dp_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_stromal_cellfrequency', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NA_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Macrophages_M1-like_glandfront_area', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Gland_fibroblast_glandfront_area', 'Neutrophils_stromal_aggregatedNeighbors.Neutrophils', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'NK_cells_CD56brCD16-_stromal_area', 'NA_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'Macrophages_MDSC_glandfront_eccentricity']",42
Fold_5,"['Macrophages_M2-like_glandfront_cellfrequency', 'Macrophages_M1_M2_intragland_cellfrequency', 'Macrophages_M1-like_stromal_GranzymeB', 'aSMA-br_mesenchymal_intragland_cellfrequency', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NA_intragland_cellfrequency', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_area', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_stromal_cellfrequency', 'Macrophages_M1-like_glandfront_cellfrequency', 'Stroma_epithelial_stem_glandfront_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Gland_fibroblast_glandfront_cellfrequency', 'aSMA-br_fibroblast_stromal_cellfrequency', 'Dendritic_Cells_CD86+_intragland_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency']",21
Fold_6,"['NA_intragland_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Macrophages_M1-like_glandfront_cellfrequency']",3
Fold_7,"['Stroma_mesenchymal_intragland_cellfrequency', 'Macrophages_M1_M2_stromal_GranzymeB', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NA_intragland_cellfrequency', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_area', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'NKT_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD8_T_cells_CD11b+_intragland_cellfrequency', 'NK_cells_CD56brCD16-_intragland_cellfrequency', 'Macrophages_M1-like_stromal_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency', 'Macrophages_M1-like_stromal_GranzymeB', 'Neutrophils_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_CD80_CD86+_glandfront_eccentricity', 'CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'Macrophages_M1-like_glandfront_area', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Stroma_fibroblast_intragland_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency']",25
Fold_8,"['NKT_glandfront_area', 'Macrophages_M2-like_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'Gland_mesenchymal_intragland_cellfrequency', 'aSMA-br_fibroblast_stromal_cellfrequency', 'aSMA-br_mesenchymal_intragland_cellfrequency', 'Gland_glandular_epithelium_glandfront_Ki67', 'NA_intragland_cellfrequency', 'Macrophages_M1-like_stromal_area', 'NKT_glandfront_Ki67']",10
Fold_9,"['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Gland_mesenchymal_intragland_cellfrequency', 'Dendritic_Cells_CD209CD33dp_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Macrophages_M1-like_stromal_area', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'NA_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Macrophages_MDSC_glandfront_eccentricity']",11
