,ROC AUC,Average Precision
STABL Lasso,"0.573 [0.498, 0.645]","0.552 [0.465, 0.649]"
STABL XGBoost,"0.644 [0.569, 0.716]","0.636 [0.543, 0.746]"
STABL ALasso,"0.556 [0.481, 0.632]","0.532 [0.455, 0.628]"
STABL ElasticNet,"0.501 [0.420, 0.573]","0.511 [0.438, 0.608]"
Union STABL Lasso & STABL XGBoost,"0.642 [0.564, 0.711]","0.633 [0.545, 0.735]"
Intersect STABL Lasso & STABL XGBoost,"0.556 [0.476, 0.631]","0.527 [0.453, 0.625]"
Union STABL Lasso & STABL ALasso,"0.572 [0.500, 0.651]","0.543 [0.461, 0.645]"
Intersect STABL Lasso & STABL ALasso,"0.553 [0.476, 0.627]","0.541 [0.461, 0.644]"
Union STABL Lasso & STABL ElasticNet,"0.561 [0.479, 0.638]","0.544 [0.468, 0.651]"
Intersect STABL Lasso & STABL ElasticNet,"0.486 [0.413, 0.565]","0.501 [0.422, 0.593]"
Union STABL XGBoost & STABL ALasso,"0.640 [0.566, 0.718]","0.637 [0.547, 0.738]"
Intersect STABL XGBoost & STABL ALasso,"0.561 [0.483, 0.643]","0.535 [0.461, 0.626]"
Union STABL XGBoost & STABL ElasticNet,"0.640 [0.563, 0.712]","0.634 [0.546, 0.724]"
Intersect STABL XGBoost & STABL ElasticNet,"0.474 [0.403, 0.549]","0.471 [0.407, 0.552]"
Union STABL ALasso & STABL ElasticNet,"0.542 [0.468, 0.619]","0.526 [0.444, 0.630]"
Intersect STABL ALasso & STABL ElasticNet,"0.497 [0.419, 0.569]","0.505 [0.429, 0.609]"
