,Fold selected features,Fold #features
Fold_0,"['Macrophages_M1_M2_stromal_GranzymeB', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Macrophages_M1_M2_intragland_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast']",6
Fold_1,"['Gland_glandular_epithelium_intragland_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast']",3
Fold_2,"['NK_cells_CD56dimCD16+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NA_intragland_cellfrequency']",4
Fold_3,"['NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'NKT_glandfront_area']",2
Fold_4,"['Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NKT_glandfront_area', 'Macrophages_M2-like_glandfront_cellfrequency']",4
Fold_5,"['Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NA_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast']",4
Fold_6,"['Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast']",3
Fold_7,"['NA_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M1-like_glandfront_cellfrequency', 'NKT_glandfront_area']",5
Fold_8,"['NA_glandfront_Ki67', 'Macrophages_M1_M2_stromal_GranzymeB']",2
Fold_9,"['NA_glandfront_Ki67', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast']",2
Fold_10,"['Macrophages_M1-like_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_cellfrequency']",2
Fold_11,"['CD8_T_cells_CD80_CD86+_stromal_area', 'Macrophages_MDSC_glandfront_eccentricity']",2
Fold_12,['Macrophages_M2-like_glandfront_cellfrequency'],1
Fold_13,"['CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Gland_mesenchymal_stromal_cellfrequency', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD8_T_cells_HLA-DR+_stromal_area']",5
Fold_14,"['Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Stroma_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'Gland_fibroblast_intragland_VEGF', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Macrophages_M1_M2_stromal_area', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_M1_M2_stromal_HLA-DR', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast']",11
Fold_15,"['NKT_glandfront_Ki67', 'Macrophages_M1-like_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area']",5
Fold_16,"['Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Stroma_fibroblast_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Dendritic_Cells_CD86+_stromal_aggregatedNeighbors.aSMA.br.fibroblast', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.Gland.mesenchymal']",7
Fold_17,[],0
Fold_18,['aSMA-br_epithelial_stem_intragland_cellfrequency'],1
Fold_19,"['Gland_glandular_epithelium_intragland_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency']",2
Fold_20,[],0
Fold_21,['NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency'],1
Fold_22,"['Macrophages_M1-like_glandfront_cellfrequency', 'Gland_vascular_endothelium_intragland_cellfrequency', 'Macrophages_M2-like_glandfront_cellfrequency']",3
Fold_23,"['Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Macrophages_M1_M2_glandfront_aggregatedNeighbors.Macrophages.M1.like', 'aSMA-br_mesenchymal_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_MDSC_stromal_aggregatedNeighbors.Macrophages.MDSC', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'NA_intragland_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi']",16
Fold_24,"['aSMA-br_mesenchymal_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_MDSC_glandfront_eccentricity', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium']",4
Fold_25,"['Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_M1_M2_stromal_GranzymeB']",4
