,Fold selected features,Fold #features
Fold_0,"['aSMA-br_vascular_endothelium_stromal_Ki67', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M1_M2_intragland_cellfrequency', 'Macrophages_M1-like_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M2-like_stromal_area', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'aSMA-br_vascular_endothelium_stromal_GranzymeB', 'CD4_T_cells_HLA-DR+_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'aSMA-br_fibroblast_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'Stroma_fibroblast_stromal_area', 'Macrophages_M1_M2_glandfront_eccentricity', 'Stroma_vascular_endothelium_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_M1_M2_glandfront_area', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Macrophages_M1-like_stromal_eccentricity', 'NA_stromal_eccentricity', 'NA_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_mesenchymal_stromal_Ki67', 'Macrophages_M2-like_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'NKT_glandfront_area', 'CD4_T_cells_CD11b+_stromal_Ki67', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'Neutrophils_stromal_area', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Gland_fibroblast_stromal_GranzymeB', 'aSMA-br_fibroblast_glandfront_Ki67']",51
Fold_1,"['B_cells_stromal_cellfrequency', 'CD4_T_cells_HLA-DR+_stromal_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_glandfront_eccentricity', 'Gland_fibroblast_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_glandfront_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'aSMA-br_vascular_endothelium_glandfront_Ki67', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_area', 'Stroma_vascular_endothelium_glandfront_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'Macrophages_M1-like_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD8_T_cells_FoxP3+_glandfront_aggregatedNeighbors.Stroma.fibroblast', 'Stroma_mesenchymal_glandfront_GranzymeB', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NA_glandfront_Ki67', 'CD4_T_cells_HLA-DR+_stromal_PR', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Stroma_vascular_endothelium_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.CD8.T.cells.CD80.CD86.', 'Dendritic_Cells_CD33+_stromal_GranzymeB']",28
Fold_2,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'Dendritic_Cells_CD209CD33dp_stromal_GranzymeB', 'Gland_mesenchymal_stromal_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'Macrophages_M1_M2_intragland_cellfrequency', 'CD4_T_cells_HLA-DR+_stromal_Ki67', 'Gland_mesenchymal_intragland_PR', 'Stroma_mesenchymal_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NA_intragland_cellfrequency', 'Macrophages_M1-like_stromal_GranzymeB', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Stroma_fibroblast_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_cellfrequency', 'NK_cells_CD56dimCD16+_glandfront_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_fibroblast_stromal_GranzymeB']",21
Fold_3,"['Gland_glandular_epithelium_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_cellfrequency', 'NK_cells_CD56brCD16-CD9hi_stromal_cellfrequency', 'CD4_T_cells_CD11b+_stromal_area', 'aSMA-br_glandular_epithelium_glandfront_cellfrequency', 'Macrophages_M1-like_glandfront_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_cellfrequency', 'NK_cells_CD56brCD16-_stromal_cellfrequency', 'Macrophages_M2-like_stromal_area', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.fibroblast', 'NK_cells_CD56dimCD16+CD9hi_stromal_cellfrequency', 'NKT_intragland_cellfrequency', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'Gland_fibroblast_intragland_cellfrequency', 'NK_cells_CD56dimCD16+_glandfront_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_vascular_endothelium_glandfront_cellfrequency', 'NKT_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_area', 'Stroma_fibroblast_stromal_cellfrequency']",32
Fold_4,"['B_cells_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_glandfront_eccentricity', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'Macrophages_MDSC_stromal_eccentricity', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area']",10
Fold_5,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_GranzymeB', 'Stroma_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_mesenchymal_stromal_GranzymeB', 'Macrophages_M1-like_glandfront_cellfrequency', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast', 'NK_cells_CD56dimCD16+CD9hi_stromal_eccentricity', 'NKT_glandfront_eccentricity', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_HLA-DR+_stromal_area', 'Gland_fibroblast_glandfront_area', 'Gland_vascular_endothelium_stromal_aggregatedNeighbors.Stroma.vascular.endothelium', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'CD8_T_cells_FoxP3+_stromal_aggregatedNeighbors.CD8.T.cells.CD80.CD86.', 'aSMA-br_vascular_endothelium_glandfront_area', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.Macrophages.MDSC', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Gland_glandular_epithelium_glandfront_area', 'Macrophages_M1_M2_glandfront_eccentricity', 'Stroma_fibroblast_glandfront_area', 'Gland_mesenchymal_glandfront_eccentricity', 'Macrophages_M1_M2_stromal_GranzymeB', 'NK_cells_CD56brCD16-_stromal_area', 'Neutrophils_stromal_cellfrequency', 'Macrophages_M1-like_glandfront_GranzymeB', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.fibroblast', 'NK_cells_CD56brCD16-_stromal_cellfrequency', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'Macrophages_M1-like_stromal_eccentricity', 'Gland_fibroblast_stromal_cellfrequency', 'NA_stromal_eccentricity', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'NA_glandfront_Ki67', 'Stroma_fibroblast_glandfront_cellfrequency', 'Gland_mesenchymal_stromal_Ki67', 'Macrophages_M2-like_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'CD4_T_cells_CD11b+_stromal_Ki67', 'Neutrophils_stromal_area', 'Gland_fibroblast_stromal_GranzymeB']",51
Fold_6,"['Stroma_vascular_endothelium_stromal_VEGF', 'aSMA-br_vascular_endothelium_stromal_Ki67', 'CD4_T_cells_HLA-DR+_stromal_cellfrequency', 'Gland_fibroblast_intragland_aggregatedNeighbors.Gland.mesenchymal', 'NK_cells_CD56brCD16-_glandfront_pP38', 'aSMA-br_vascular_endothelium_glandfront_Ki67', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Macrophages_M1_M2_glandfront_pP38', 'NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB', 'CD8_T_cells_HLA-DR+_stromal_cellfrequency', 'CD8_T_cells_HLA-DR+_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_M1_M2_stromal_HLA-DR', 'aSMA-br_vascular_endothelium_stromal_cellfrequency', 'CD4_T_cells_HLA-DR+_stromal_Ki67', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'NA_glandfront_Ki67', 'Stroma_fibroblast_stromal_GranzymeB', 'NKT_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD8_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Stroma_fibroblast_glandfront_cellfrequency', 'NKT_glandfront_area', 'Dendritic_Cells_CD33+_stromal_GranzymeB', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_glandfront_pP38', 'Stroma_fibroblast_glandfront_Ki67', 'Stroma_fibroblast_stromal_cellfrequency']",32
Fold_7,"['Macrophages_M1_M2_glandfront_eccentricity', 'Macrophages_M1_M2_glandfront_GranzymeB', 'Gland_vascular_endothelium_stromal_cellfrequency', 'Macrophages_M1_M2_stromal_GranzymeB', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M1-like_glandfront_cellfrequency', 'NK_cells_CD56brCD16-_stromal_cellfrequency', 'Macrophages_M1_M2_glandfront_area', 'CD4_T_cells_CD80_CD86+_stromal_GranzymeB', 'NK_cells_CD56brCD16-_glandfront_cellfrequency', 'Dendritic_Cells_CD33+_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'NA_glandfront_Ki67', 'CD4_T_cells_FoxP3+_stromal_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'Macrophages_M2-like_glandfront_celldistance', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'NKT_glandfront_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Stroma_fibroblast_stromal_cellfrequency']",23
Fold_8,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Stroma_fibroblast_stromal_area', 'Macrophages_M1_M2_stromal_GranzymeB', 'Stroma_mesenchymal_intragland_cellfrequency', 'NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_cellfrequency', 'Gland_fibroblast_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Gland_fibroblast_stromal_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_stromal_cellfrequency', 'NA_glandfront_Ki67', 'Gland_fibroblast_stromal_aggregatedNeighbors.Gland.fibroblast', 'NKT_glandfront_Ki67', 'Stroma_fibroblast_glandfront_GranzymeB', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'NKT_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'Gland_fibroblast_stromal_GranzymeB']",18
Fold_9,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'Stroma_fibroblast_stromal_area', 'Stroma_fibroblast_glandfront_area', 'Dendritic_Cells_CD86CD33dp_stromal_GranzymeB', 'Stroma_vascular_endothelium_glandfront_area', 'Macrophages_M1-like_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_M2-like_stromal_area', 'NKT_glandfront_eccentricity', 'NA_stromal_eccentricity', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'NA_glandfront_Ki67', 'Stroma_fibroblast_stromal_GranzymeB', 'CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'aSMA-br_vascular_endothelium_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_eccentricity', 'NKT_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD4_T_cells_CD11b+_stromal_cellfrequency', 'CD8_T_cells_FoxP3+_glandfront_area']",26
