fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.6038961038961039,0.43187150764256566,0.5833333333333334,0.5551948051948051,152,36
1,0.7862068965517242,0.6234020455248077,0.717948717948718,0.6137931034482759,149,39
2,0.7540106951871658,0.7949185455633098,0.6666666666666666,0.6644385026737968,149,39
3,0.8195488721804511,0.7493566491660244,0.7,0.6967418546365914,148,40
4,0.8881118881118881,0.7175314584405492,0.8648648648648649,0.8513986013986015,151,37
5,0.5793650793650793,0.5020371747689428,0.6153846153846154,0.6111111111111112,149,39
6,0.7561728395061729,0.5050174965935835,0.717948717948718,0.6574074074074074,149,39
7,0.778846153846154,0.8775476009587261,0.6756756756756757,0.7323717948717949,151,37
8,0.5592948717948718,0.34273327614078386,0.6578947368421053,0.6826923076923077,150,38
9,0.7506393861892584,0.6391401274619268,0.625,0.5895140664961637,148,40
10,0.6725543478260869,0.69990036005661,0.717948717948718,0.7038043478260869,149,39
11,0.9285714285714285,0.791810041810042,0.8918918918918919,0.9285714285714286,151,37
12,0.8905325443786982,0.8587412587412588,0.8205128205128205,0.8269230769230769,149,39
13,0.6376811594202898,0.5906089198039661,0.6578947368421053,0.6246376811594203,150,38
14,0.4235588972431078,0.4890929681383548,0.425,0.4323308270676692,148,40
15,0.6909090909090909,0.5687463293377272,0.6216216216216216,0.6287878787878788,151,37
16,0.8722826086956521,0.8715291835357625,0.7435897435897436,0.7635869565217391,149,39
17,0.828125,0.7940039020147378,0.7631578947368421,0.7528409090909092,150,38
18,0.7834224598930482,0.7981418423438102,0.7435897435897436,0.7259358288770054,149,39
19,0.7486979166666667,0.766797995895536,0.725,0.7083333333333333,148,40
20,0.6923076923076923,0.6898577310342016,0.5945945945945946,0.6169871794871795,151,37
21,0.6630434782608696,0.6228984557109558,0.7435897435897436,0.7160326086956521,149,39
22,0.8435828877005347,0.9132145911364177,0.7692307692307693,0.7620320855614974,149,39
23,0.5552631578947368,0.5330010481553131,0.5641025641025641,0.5657894736842105,149,39
24,0.875,0.9482593539728223,0.7105263157894737,0.8035714285714286,150,38
25,0.4723502304147465,0.22981316928685347,0.6052631578947368,0.5921658986175116,150,38
26,0.5900621118012421,0.5550230618563213,0.5945945945945946,0.5760869565217391,151,37
27,0.8947368421052632,0.8896774087849602,0.8,0.7994987468671679,148,40
28,0.7988165680473372,0.7047063457235521,0.6410256410256411,0.6923076923076923,149,39
29,0.37896825396825395,0.21220982887649553,0.5135135135135135,0.376984126984127,151,37
30,0.657608695652174,0.4757651589924187,0.5384615384615384,0.5040760869565217,149,39
31,0.7980769230769231,0.70187530723245,0.725,0.7225274725274725,148,40
32,0.6203703703703705,0.4275999463499463,0.6923076923076923,0.662037037037037,149,39
33,0.9088541666666666,0.8349919892199305,0.825,0.8541666666666667,148,40
34,0.6722222222222223,0.697753604420271,0.6923076923076923,0.6625,149,39
35,0.6322751322751323,0.6777188640283878,0.5897435897435898,0.5912698412698413,149,39
36,0.737037037037037,0.4546389613437668,0.7027027027027027,0.6074074074074074,151,37
37,0.3793103448275862,0.260213814393381,0.6052631578947368,0.43486590038314177,150,38
38,0.5800000000000001,0.5564240676409246,0.5,0.5,148,40
39,0.8589743589743588,0.7921298973930554,0.7368421052631579,0.7403846153846154,150,38
40,0.6005917159763314,0.40757583060214636,0.5897435897435898,0.5576923076923077,149,39
41,0.7085714285714285,0.8098560553115541,0.6153846153846154,0.6057142857142856,149,39
42,0.9006410256410257,0.6913752913752913,0.868421052631579,0.858974358974359,150,38
43,0.7942386831275721,0.4773236195062821,0.6388888888888888,0.6481481481481481,152,36
44,0.6552631578947368,0.5422301708394262,0.7692307692307693,0.7710526315789473,149,39
45,0.578544061302682,0.3097232397232398,0.5263157894736842,0.49808429118773945,150,38
46,0.5847953216374269,0.6722875440266745,0.6216216216216216,0.6125730994152047,151,37
47,0.6097883597883598,0.7238689272993784,0.5897435897435898,0.5952380952380952,149,39
48,0.9178571428571428,0.7634920634920633,0.8421052631578947,0.8607142857142858,150,38
49,0.7916666666666666,0.6632561469844948,0.7073170731707317,0.7156862745098038,147,41
50,0.6865079365079365,0.6338162034535321,0.6410256410256411,0.6507936507936508,149,39
51,0.7062937062937062,0.6559813046628463,0.5945945945945946,0.6066433566433567,151,37
52,0.6279761904761905,0.7664679711277496,0.5263157894736842,0.5357142857142857,150,38
53,0.728448275862069,0.4702186337054758,0.7297297297297297,0.6918103448275862,151,37
54,0.7445652173913044,0.6906600887339034,0.7435897435897436,0.7350543478260869,149,39
55,0.7753846153846153,0.5338008026743439,0.7368421052631579,0.7446153846153847,150,38
56,0.6770186335403726,0.525590194417975,0.6486486486486487,0.6475155279503106,151,37
57,0.6645962732919255,0.800552178927834,0.6486486486486487,0.6614906832298137,151,37
58,0.8617511520737328,0.4554945054945055,0.6052631578947368,0.7580645161290323,150,38
59,0.6338461538461538,0.4852190190931558,0.5789473684210527,0.4953846153846154,150,38
60,0.6777777777777778,0.48510339586213413,0.6410256410256411,0.6583333333333333,149,39
61,0.7092391304347826,0.62573003277371,0.6666666666666666,0.6413043478260869,149,39
62,0.4618055555555555,0.38798227315103745,0.5,0.45833333333333337,152,36
63,0.703125,0.6646686791735545,0.575,0.5833333333333333,148,40
64,0.56993006993007,0.7008999739387101,0.6216216216216216,0.5734265734265734,151,37
65,0.71875,0.5798727253381515,0.7,0.71875,148,40
66,0.7239583333333333,0.5499959336546557,0.7,0.6770833333333333,148,40
67,0.7642045454545454,0.7553547306050166,0.631578947368421,0.6392045454545454,150,38
68,0.7095238095238094,0.6252967219969435,0.7073170731707317,0.7059523809523809,147,41
69,0.6202898550724638,0.4835889577315723,0.5789473684210527,0.5710144927536231,150,38
70,0.8076923076923076,0.7233973662121238,0.7105263157894737,0.7435897435897436,150,38
71,0.44791666666666663,0.15961170502766428,0.42105263157894735,0.453125,150,38
72,0.7433155080213903,0.751289343897703,0.6923076923076923,0.6871657754010696,149,39
73,0.6766381766381766,0.6170917160006344,0.8,0.7521367521367521,148,40
74,0.5714285714285714,0.5499965653690919,0.55,0.5513784461152882,148,40
