fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.4918831168831169,0.464174946751,0.3611111111111111,0.3214285714285714,152,36
1,0.5586206896551724,0.4161673833412963,0.5897435897435898,0.5275862068965518,149,39
2,0.536096256684492,0.6855754218786229,0.5128205128205128,0.5280748663101604,149,39
3,0.7130325814536341,0.7594943798891167,0.6,0.5989974937343359,148,40
4,0.7062937062937064,0.4889877982194335,0.6486486486486487,0.5926573426573426,151,37
5,0.537037037037037,0.5276194078410618,0.5384615384615384,0.5277777777777778,149,39
6,0.683641975308642,0.5608816203924899,0.5128205128205128,0.5324074074074074,149,39
7,0.735576923076923,0.834442175809621,0.4864864864864865,0.5336538461538461,151,37
8,0.6009615384615385,0.39382379435914006,0.5526315789473685,0.5384615384615384,150,38
9,0.6521739130434783,0.6251906542131456,0.575,0.5383631713554987,148,40
10,0.6657608695652174,0.6023141788766788,0.6666666666666666,0.6603260869565217,149,39
11,0.7440476190476191,0.4687601477075162,0.7297297297297297,0.7083333333333333,151,37
12,0.8994082840236686,0.8281844789197728,0.8461538461538461,0.8653846153846154,149,39
13,0.6739130434782609,0.6527729580361159,0.631578947368421,0.6028985507246376,150,38
14,0.5989974937343359,0.6889021850813807,0.525,0.5275689223057645,148,40
15,0.7545454545454545,0.7380934921855637,0.5945945945945946,0.606060606060606,151,37
16,0.6875,0.6602679069119286,0.6666666666666666,0.6508152173913043,149,39
17,0.8039772727272727,0.7765910594035594,0.6842105263157895,0.7017045454545454,150,38
18,0.6684491978609626,0.7171082777599601,0.5641025641025641,0.5601604278074866,149,39
19,0.6588541666666667,0.6196555560023053,0.6,0.5520833333333333,148,40
20,0.8173076923076923,0.7648863898863898,0.7027027027027027,0.717948717948718,151,37
21,0.7309782608695652,0.6971967472886591,0.6666666666666666,0.6508152173913043,149,39
22,0.8556149732620321,0.8954215516202904,0.7435897435897436,0.7459893048128342,149,39
23,0.6394736842105263,0.6941496791912303,0.6153846153846154,0.6144736842105263,149,39
24,0.875,0.9369507471967786,0.631578947368421,0.7178571428571429,150,38
25,0.6036866359447004,0.481328320802005,0.5789473684210527,0.5760368663594471,150,38
26,0.5807453416149069,0.609427747538314,0.5135135135135135,0.5108695652173914,151,37
27,0.7669172932330828,0.6980287960719378,0.7,0.6967418546365914,148,40
28,0.7869822485207101,0.7205474368935907,0.6666666666666666,0.6730769230769231,149,39
29,0.3214285714285714,0.26494676494676495,0.5405405405405406,0.3948412698412699,151,37
30,0.6453804347826086,0.6564363909081401,0.5641025641025641,0.5543478260869565,149,39
31,0.8365384615384615,0.8292738834664299,0.675,0.7005494505494505,148,40
32,0.646604938271605,0.6072387334887336,0.5641025641025641,0.5694444444444444,149,39
33,0.7955729166666667,0.7003030571322906,0.675,0.65625,148,40
34,0.5111111111111111,0.42594467448317225,0.46153846153846156,0.4375,149,39
35,0.656084656084656,0.6834046400732778,0.48717948717948717,0.503968253968254,149,39
36,0.45185185185185184,0.3315926747505695,0.4864864864864865,0.45925925925925926,151,37
37,0.421455938697318,0.2486858361987361,0.5,0.44252873563218387,150,38
38,0.8400000000000001,0.877750915750916,0.775,0.775,148,40
39,0.782051282051282,0.5695324021617096,0.6842105263157895,0.5897435897435898,150,38
40,0.5384615384615385,0.36768103691180615,0.6410256410256411,0.5192307692307692,149,39
41,0.7271428571428571,0.8276825279674639,0.6666666666666666,0.6457142857142857,149,39
42,0.826923076923077,0.7628049904172196,0.6842105263157895,0.6794871794871795,150,38
43,0.8353909465020576,0.6437284450442344,0.75,0.6851851851851851,152,36
44,0.9013157894736841,0.8943464316672796,0.8205128205128205,0.8210526315789474,149,39
45,0.6226053639846744,0.34621526734417657,0.631578947368421,0.5670498084291188,150,38
46,0.5730994152046784,0.5398400037763792,0.4594594594594595,0.45614035087719296,151,37
47,0.6190476190476191,0.7338657374371662,0.5384615384615384,0.5436507936507937,149,39
