fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.5340909090909091,0.43984996370089535,0.5277777777777778,0.5097402597402597,152,36
1,0.5724137931034483,0.3677847610616153,0.48717948717948717,0.5241379310344827,149,39
2,0.5588235294117647,0.6337910850536992,0.6153846153846154,0.5989304812834224,149,39
3,0.6716791979949874,0.6231933443233753,0.625,0.6228070175438596,148,40
4,0.6538461538461539,0.4567510646458015,0.6216216216216216,0.6258741258741258,151,37
5,0.5423280423280423,0.545280953614287,0.5384615384615384,0.5317460317460317,149,39
6,0.6234567901234568,0.4268758159273587,0.5897435897435898,0.5185185185185185,149,39
7,0.7243589743589742,0.7651333297166631,0.5405405405405406,0.592948717948718,151,37
8,0.6314102564102564,0.48802534271284276,0.5789473684210527,0.6474358974358975,150,38
9,0.6176470588235294,0.530897989179723,0.55,0.5089514066496164,148,40
10,0.6358695652173914,0.6274711248896031,0.6410256410256411,0.6480978260869565,149,39
11,0.75,0.48071638506421116,0.6216216216216216,0.6369047619047619,151,37
12,0.5473372781065089,0.37071372123739665,0.5128205128205128,0.5,149,39
13,0.6521739130434783,0.5862815839131628,0.6842105263157895,0.6695652173913043,150,38
14,0.4248120300751879,0.44051133312970087,0.45,0.45864661654135336,148,40
15,0.7772727272727273,0.75754077516755,0.7027027027027027,0.7287878787878788,151,37
16,0.5788043478260869,0.44801190350946796,0.5128205128205128,0.529891304347826,149,39
17,0.7272727272727273,0.6114094914588335,0.7105263157894737,0.7159090909090908,150,38
18,0.6310160427807487,0.6560061270408816,0.6666666666666666,0.6443850267379679,149,39
19,0.6341145833333333,0.4869589093611927,0.6,0.5729166666666667,148,40
20,0.7692307692307692,0.671176862353333,0.6216216216216216,0.6730769230769231,151,37
21,0.7010869565217391,0.6247477303398355,0.6666666666666666,0.6603260869565217,149,39
22,0.7272727272727273,0.6727448107928942,0.7948717948717948,0.7713903743315509,149,39
23,0.4736842105263158,0.5003350845229247,0.38461538461538464,0.3868421052631579,149,39
24,0.857142857142857,0.9432876575496711,0.6842105263157895,0.7857142857142857,150,38
25,0.4032258064516129,0.19521720969089387,0.5,0.47235023041474655,150,38
26,0.6149068322981366,0.544315862173005,0.6486486486486487,0.6754658385093167,151,37
27,0.6954887218045113,0.5737012954082794,0.625,0.6228070175438596,148,40
28,0.6715976331360947,0.43195599506839727,0.5897435897435898,0.6538461538461539,149,39
29,0.1607142857142857,0.21152034387328505,0.40540540540540543,0.3055555555555556,151,37
30,0.5421195652173914,0.4814666085970599,0.5641025641025641,0.5638586956521738,149,39
31,0.6758241758241759,0.46836012740287497,0.625,0.6620879120879121,148,40
32,0.558641975308642,0.5274947489730771,0.5641025641025641,0.5925925925925926,149,39
33,0.7864583333333334,0.6199212450131568,0.7,0.6979166666666667,148,40
34,0.6694444444444444,0.6118202716823405,0.5641025641025641,0.5833333333333333,149,39
35,0.6084656084656085,0.6249190254967566,0.5128205128205128,0.5079365079365079,149,39
36,0.5074074074074074,0.28728540603540603,0.5135135135135135,0.5407407407407407,151,37
37,0.3639846743295019,0.23181579915326045,0.5526315789473685,0.4770114942528736,150,38
38,0.54875,0.5250616884035267,0.5,0.5,148,40
