fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.5811688311688312,0.4372066093309961,0.5833333333333334,0.5551948051948051,152,36
1,0.6827586206896552,0.43656427674044446,0.6153846153846154,0.5120689655172413,149,39
2,0.6791443850267379,0.7624652963827945,0.5897435897435898,0.5828877005347594,149,39
3,0.8671679197994987,0.8721464081893691,0.7,0.6942355889724311,148,40
4,0.7622377622377623,0.656897156897157,0.7837837837837838,0.7412587412587412,151,37
5,0.585978835978836,0.5275120672050497,0.5897435897435898,0.5793650793650793,149,39
6,0.7469135802469136,0.5242875180375179,0.6923076923076923,0.5925925925925926,149,39
7,0.6923076923076923,0.8629409401752863,0.7027027027027027,0.7708333333333333,151,37
8,0.5352564102564104,0.35857516298692765,0.5789473684210527,0.5801282051282051,150,38
9,0.6317135549872124,0.5232198689298081,0.6,0.5677749360613811,148,40
10,0.7173913043478262,0.6435156448943213,0.7435897435897436,0.7350543478260869,149,39
11,0.9166666666666666,0.7590488215488216,0.8648648648648649,0.873015873015873,151,37
12,0.8639053254437871,0.8505973193473191,0.8205128205128205,0.8076923076923077,149,39
13,0.6840579710144927,0.6499420774157617,0.6842105263157895,0.6695652173913043,150,38
14,0.42355889724310775,0.5286390187899476,0.4,0.40350877192982454,148,40
15,0.6727272727272727,0.584264546037777,0.6216216216216216,0.6181818181818182,151,37
16,0.8858695652173914,0.9004800307219663,0.7948717948717948,0.8070652173913043,149,39
17,0.8323863636363636,0.858102028690264,0.7894736842105263,0.7840909090909092,150,38
18,0.7165775401069518,0.7913950661924205,0.6923076923076923,0.6671122994652406,149,39
19,0.7083333333333333,0.7629650168549001,0.75,0.71875,148,40
20,0.6858974358974359,0.6844219207596816,0.6486486486486487,0.6586538461538461,151,37
21,0.6834239130434783,0.6836702131932395,0.6666666666666666,0.6317934782608696,149,39
22,0.786096256684492,0.8960695690571849,0.8205128205128205,0.8275401069518716,149,39
23,0.5,0.5229707135481448,0.5384615384615384,0.5394736842105263,149,39
24,0.8107142857142857,0.9249727798626406,0.47368421052631576,0.6107142857142858,150,38
25,0.5276497695852534,0.4179496359947487,0.5789473684210527,0.5760368663594471,150,38
26,0.5683229813664596,0.5604902946026896,0.6216216216216216,0.5838509316770186,151,37
27,0.8947368421052632,0.8898202768767622,0.725,0.7155388471177945,148,40
28,0.8372781065088757,0.7667450604950603,0.6410256410256411,0.6923076923076923,149,39
29,0.2797619047619048,0.1912695037695038,0.5135135135135135,0.3392857142857143,151,37
30,0.5760869565217391,0.4924961766614208,0.48717948717948717,0.44157608695652173,149,39
31,0.7527472527472527,0.6505173258114435,0.675,0.6840659340659341,148,40
32,0.521604938271605,0.38169310738044754,0.6153846153846154,0.537037037037037,149,39
33,0.8776041666666666,0.8493541089758195,0.75,0.7708333333333333,148,40
34,0.588888888888889,0.621539699797413,0.6923076923076923,0.6375,149,39
35,0.5846560846560847,0.6798343566945169,0.6153846153846154,0.626984126984127,149,39
36,0.7037037037037037,0.38612026862026866,0.6486486486486487,0.5074074074074074,151,37
37,0.4578544061302681,0.29358845102888714,0.5789473684210527,0.49425287356321834,150,38
38,0.6599999999999999,0.6166590878068909,0.5,0.5,148,40
39,0.6730769230769231,0.5339446699048147,0.7105263157894737,0.6538461538461539,150,38
40,0.5710059171597633,0.39260220277724445,0.5641025641025641,0.5192307692307693,149,39
41,0.6571428571428571,0.8004130520899131,0.6666666666666666,0.6457142857142857,149,39
42,0.875,0.7890777433752817,0.8421052631578947,0.8397435897435898,150,38
43,0.7777777777777779,0.47874378707712045,0.7222222222222222,0.7037037037037037,152,36
44,0.6789473684210525,0.6140756224734553,0.717948717948718,0.7184210526315788,149,39
45,0.5517241379310345,0.2726523992003868,0.5789473684210527,0.49425287356321834,150,38
46,0.5657894736842106,0.6766286970191895,0.6756756756756757,0.6666666666666666,151,37
47,0.5436507936507936,0.6857473936964544,0.46153846153846156,0.4642857142857143,149,39
48,0.9321428571428572,0.8356240981240981,0.8421052631578947,0.8607142857142858,150,38
49,0.8161764705882353,0.7571633632392146,0.6829268292682927,0.6776960784313726,147,41
50,0.708994708994709,0.7102213279192691,0.5641025641025641,0.5793650793650793,149,39
51,0.8041958041958043,0.7147933322786696,0.6486486486486487,0.7237762237762237,151,37
52,0.5476190476190477,0.686158946601795,0.47368421052631576,0.44940476190476186,150,38
53,0.728448275862069,0.5006231094978826,0.7027027027027027,0.6293103448275862,151,37
54,0.720108695652174,0.6800757532459836,0.6410256410256411,0.6005434782608696,149,39
55,0.8461538461538461,0.7058635808635809,0.7368421052631579,0.7261538461538461,150,38
56,0.6677018633540373,0.6532262815379969,0.5675675675675675,0.5822981366459627,151,37
57,0.6832298136645962,0.7929431324571989,0.7297297297297297,0.7546583850931676,151,37
58,0.9170506912442397,0.5709183673469387,0.631578947368421,0.7741935483870968,150,38
59,0.56,0.5013708711077133,0.5526315789473685,0.4753846153846154,150,38
60,0.7388888888888889,0.541991892123471,0.6410256410256411,0.6833333333333333,149,39
61,0.6766304347826086,0.6517129604034597,0.6410256410256411,0.6100543478260869,149,39
62,0.32291666666666663,0.296581128784641,0.4166666666666667,0.3958333333333333,152,36
63,0.6809895833333333,0.7277564489310179,0.525,0.5416666666666666,148,40
64,0.6223776223776224,0.7295009075560992,0.6216216216216216,0.5734265734265734,151,37
65,0.6041666666666666,0.5570130262545123,0.6,0.6354166666666666,148,40
66,0.6744791666666666,0.521179186578842,0.575,0.5520833333333333,148,40
67,0.8238636363636364,0.8097082152449,0.6578947368421053,0.6619318181818181,150,38
68,0.7571428571428571,0.675950855517032,0.7073170731707317,0.7071428571428571,147,41
69,0.6811594202898551,0.5380662855662856,0.631578947368421,0.6376811594202898,150,38
70,0.7339743589743589,0.5705748483160763,0.6578947368421053,0.6602564102564102,150,38
71,0.453125,0.171545504304125,0.42105263157894735,0.453125,150,38
72,0.7326203208556149,0.7961371838818025,0.6923076923076923,0.7005347593582887,149,39
73,0.7321937321937322,0.6302503052503052,0.8,0.7521367521367521,148,40
74,0.6278195488721804,0.6278586141467026,0.625,0.62531328320802,148,40
75,0.5947368421052632,0.5802163158360447,0.5641025641025641,0.5657894736842105,149,39
76,0.7111111111111111,0.6549621294709992,0.5897435897435898,0.5541666666666667,149,39
77,0.8066666666666668,0.8409275360654671,0.7142857142857143,0.7333333333333334,153,35
78,0.4822134387351778,0.38266488413547234,0.5588235294117647,0.5079051383399209,154,34
79,0.60625,0.5998443789362853,0.5833333333333334,0.5625,152,36
80,0.6777777777777778,0.5913450712418721,0.5897435897435898,0.5291666666666667,149,39
81,0.6136363636363636,0.6757100837020286,0.6578947368421053,0.6448863636363636,150,38
82,0.37647058823529417,0.5557694778770865,0.3783783783783784,0.3985294117647059,151,37
83,0.7738095238095237,0.7838186171404338,0.6341463414634146,0.6297619047619047,147,41
84,0.6342857142857143,0.7600767091102265,0.46153846153846156,0.5485714285714285,149,39
85,0.6119791666666666,0.48162595953702925,0.65,0.625,148,40
86,0.7105263157894737,0.6674484066262818,0.5641025641025641,0.5592105263157895,149,39
87,0.7002801120448179,0.7459789917213573,0.5789473684210527,0.5910364145658263,150,38
88,0.7866847826086956,0.8531135531135532,0.7692307692307693,0.7663043478260869,149,39
89,0.6172839506172839,0.5290598290598291,0.7777777777777778,0.7037037037037037,152,36
90,0.6869565217391305,0.717178117766353,0.7631578947368421,0.7463768115942029,150,38
91,0.9003831417624522,0.691088486676722,0.6842105263157895,0.7931034482758621,150,38
92,0.48659003831417624,0.2524606780333756,0.47368421052631576,0.5402298850574713,150,38
93,0.6405797101449275,0.5336890711627553,0.5789473684210527,0.4898550724637681,150,38
94,0.5454545454545454,0.4881669607859729,0.5,0.4744318181818182,150,38
95,0.6458333333333333,0.48351690950375165,0.7222222222222222,0.6666666666666667,152,36
96,0.7440476190476191,0.8271994709939754,0.631578947368421,0.6339285714285714,150,38
97,0.2857142857142857,0.28778439998373107,0.34210526315789475,0.32857142857142857,150,38
98,0.7987616099071208,0.7402570739077892,0.75,0.7414860681114551,152,36
99,0.7833333333333333,0.7421718814078516,0.717948717948718,0.6958333333333333,149,39
