fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.4853896103896104,0.40964595628461176,0.5555555555555556,0.5324675324675324,152,36
1,0.4724137931034483,0.33267510785605414,0.5897435897435898,0.4620689655172414,149,39
2,0.42647058823529405,0.5363547639358119,0.358974358974359,0.39839572192513373,149,39
3,0.7192982456140351,0.7184774724126197,0.7,0.6867167919799498,148,40
4,0.4755244755244756,0.37060597108984206,0.6486486486486487,0.5402097902097902,151,37
5,0.5343915343915344,0.5365115066869452,0.6153846153846154,0.6071428571428572,149,39
6,0.3549382716049383,0.3031328360591623,0.6410256410256411,0.5324074074074074,149,39
7,0.39743589743589747,0.6301582610464189,0.5135135135135135,0.5897435897435898,151,37
8,0.5016025641025641,0.3116319423744296,0.5526315789473685,0.5608974358974359,150,38
9,0.551150895140665,0.5030693478835894,0.55,0.5012787723785166,148,40
10,0.6630434782608696,0.6195118094015153,0.6923076923076923,0.6820652173913043,149,39
11,0.5277777777777779,0.3127724127724128,0.6486486486486487,0.6170634920634921,151,37
12,0.49704142011834324,0.3645571484824879,0.6410256410256411,0.5384615384615384,149,39
13,0.6695652173913044,0.6645019638623643,0.7368421052631579,0.6782608695652175,150,38
14,0.35714285714285715,0.39998460594435825,0.525,0.5275689223057645,148,40
15,0.5984848484848485,0.5735115864527629,0.6756756756756757,0.6424242424242425,151,37
16,0.5570652173913044,0.4890131783707636,0.4358974358974359,0.4076086956521739,149,39
17,0.44034090909090906,0.41329260368182996,0.5526315789473685,0.5369318181818181,150,38
18,0.6417112299465241,0.7156521686283506,0.5641025641025641,0.5868983957219251,149,39
19,0.5377604166666666,0.48354198988154484,0.65,0.6145833333333333,148,40
20,0.6442307692307693,0.42678125296521985,0.7027027027027027,0.717948717948718,151,37
21,0.6032608695652175,0.4847378087920851,0.6153846153846154,0.5978260869565217,149,39
22,0.7219251336898396,0.8049360396486063,0.6153846153846154,0.6524064171122994,149,39
23,0.6157894736842106,0.6070493934223912,0.6410256410256411,0.6407894736842106,149,39
24,0.6607142857142857,0.8095648966085647,0.42105263157894735,0.5428571428571429,150,38
25,0.43548387096774194,0.18476927484280425,0.5263157894736842,0.48847926267281105,150,38
26,0.5124223602484472,0.4051612180922526,0.5675675675675675,0.5263975155279503,151,37
27,0.6052631578947368,0.725190919746747,0.65,0.631578947368421,148,40
28,0.4807692307692308,0.3350372817361982,0.46153846153846156,0.4230769230769231,149,39
29,0.17261904761904764,0.21419753086419754,0.3783783783783784,0.25,151,37
30,0.59375,0.4407166381721776,0.48717948717948717,0.44157608695652173,149,39
31,0.6593406593406593,0.43746550664534967,0.625,0.5796703296703296,148,40
32,0.4876543209876544,0.402938969632518,0.5641025641025641,0.5,149,39
33,0.6953125,0.591451855347892,0.75,0.71875,148,40
34,0.6277777777777779,0.5184458062043684,0.6666666666666666,0.6291666666666667,149,39
35,0.6322751322751323,0.6786053841418547,0.6410256410256411,0.6547619047619048,149,39
36,0.5,0.315005772005772,0.4864864864864865,0.4277777777777778,151,37
37,0.49042145593869735,0.3458216619981326,0.6578947368421053,0.5842911877394636,150,38
38,0.57375,0.5899813022778603,0.6,0.6,148,40
39,0.5416666666666667,0.4595983294908858,0.7368421052631579,0.6730769230769231,150,38
40,0.45710059171597633,0.38626099151741905,0.5384615384615384,0.4423076923076923,149,39
41,0.6528571428571428,0.8225639044191677,0.6666666666666666,0.7242857142857143,149,39
42,0.6314102564102564,0.5260519946003818,0.7105263157894737,0.6762820512820513,150,38
43,0.6954732510288066,0.41921680936781236,0.7222222222222222,0.5925925925925926,152,36
