fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.5097402597402597,0.45748345976919835,0.5555555555555556,0.5194805194805194,152,36
1,0.6310344827586206,0.38895941228422043,0.6666666666666666,0.6448275862068966,149,39
2,0.7647058823529412,0.8054491117888247,0.717948717948718,0.7366310160427807,149,39
3,0.6390977443609022,0.7398054039719872,0.675,0.6679197994987469,148,40
4,0.8496503496503497,0.7030411255411255,0.7837837837837838,0.7412587412587412,151,37
5,0.638888888888889,0.5946622882301753,0.5897435897435898,0.5873015873015873,149,39
6,0.5740740740740741,0.5320033551651199,0.5897435897435898,0.5416666666666666,149,39
7,0.7532051282051282,0.8438739700036635,0.6756756756756757,0.7323717948717949,151,37
8,0.7083333333333333,0.4748791486291486,0.6578947368421053,0.6602564102564102,150,38
9,0.4961636828644501,0.5237431931476733,0.6,0.5601023017902813,148,40
10,0.7554347826086957,0.7319974849386615,0.7692307692307693,0.7567934782608696,149,39
11,0.8373015873015873,0.7020575632629962,0.8918918918918919,0.8154761904761905,151,37
12,0.8431952662721893,0.7306986042280159,0.7435897435897436,0.7307692307692308,149,39
13,0.6956521739130436,0.6296115288220551,0.7368421052631579,0.6898550724637681,150,38
14,0.5714285714285714,0.6732594916935251,0.55,0.5488721804511278,148,40
15,0.6212121212121212,0.6433007753826168,0.5675675675675675,0.5621212121212121,151,37
16,0.7608695652173912,0.7279684033590283,0.6923076923076923,0.6915760869565217,149,39
17,0.8068181818181819,0.7638145821569735,0.7368421052631579,0.7301136363636364,150,38
18,0.7005347593582887,0.7975620253955535,0.6923076923076923,0.7005347593582887,149,39
19,0.7044270833333334,0.7360588611372614,0.7,0.6770833333333333,148,40
20,0.6634615384615384,0.570710751237067,0.6486486486486487,0.6233974358974359,151,37
21,0.7133152173913043,0.717998647855459,0.7435897435897436,0.7160326086956521,149,39
22,0.8262032085561497,0.8865950921426926,0.6666666666666666,0.6911764705882353,149,39
23,0.531578947368421,0.566995606280273,0.5897435897435898,0.5868421052631578,149,39
24,0.7642857142857143,0.8898880633099692,0.5,0.6285714285714286,150,38
25,0.5737327188940091,0.5555708769994484,0.5526315789473685,0.5599078341013825,150,38
26,0.562111801242236,0.5388146269412568,0.5675675675675675,0.4984472049689441,151,37
27,0.694235588972431,0.7138327449447992,0.65,0.6466165413533835,148,40
28,0.7692307692307692,0.6656874906139612,0.6410256410256411,0.6538461538461539,149,39
29,0.28769841269841273,0.19314723590585658,0.5405405405405406,0.3948412698412699,151,37
30,0.42934782608695654,0.43211263660621485,0.5641025641025641,0.5163043478260869,149,39
31,0.7225274725274725,0.682626933284828,0.675,0.6840659340659341,148,40
32,0.521604938271605,0.3706452706566137,0.6153846153846154,0.5601851851851852,149,39
33,0.8671875,0.8005836448291692,0.75,0.7395833333333333,148,40
34,0.65,0.6226878798520147,0.6666666666666666,0.6041666666666666,149,39
35,0.6296296296296297,0.7141904034480857,0.5897435897435898,0.5952380952380952,149,39
36,0.5925925925925926,0.4279835059576439,0.6486486486486487,0.5703703703703704,151,37
37,0.4003831417624521,0.3739977183101122,0.5789473684210527,0.49425287356321834,150,38
38,0.6325000000000001,0.7141884879384881,0.575,0.575,148,40
39,0.733974358974359,0.5707312805095063,0.7105263157894737,0.6538461538461539,150,38
40,0.5281065088757397,0.4141142354377648,0.5897435897435898,0.5384615384615384,149,39
41,0.6114285714285714,0.7886566352910008,0.5641025641025641,0.6285714285714286,149,39
42,0.7692307692307693,0.7155513833886046,0.8157894736842105,0.7756410256410255,150,38
43,0.522633744855967,0.33608069841466426,0.5833333333333334,0.5,152,36
44,0.7342105263157895,0.6645208732309724,0.7435897435897436,0.7421052631578948,149,39
45,0.5593869731800767,0.507143087788249,0.7105263157894737,0.657088122605364,150,38
46,0.577485380116959,0.6300386207994904,0.6216216216216216,0.6140350877192983,151,37
47,0.6044973544973545,0.722907124476265,0.6666666666666666,0.6785714285714286,149,39
48,0.8964285714285715,0.7611272061272061,0.8157894736842105,0.7785714285714285,150,38
49,0.7426470588235294,0.7284453581117716,0.6829268292682927,0.6776960784313726,147,41
50,0.6693121693121693,0.7456414384151553,0.6410256410256411,0.6547619047619048,149,39
51,0.8006993006993007,0.6085101587962,0.6756756756756757,0.6905594405594406,151,37
52,0.6428571428571428,0.8085837690028781,0.631578947368421,0.6636904761904762,150,38
53,0.6939655172413793,0.4824337121212121,0.6756756756756757,0.5668103448275862,151,37
54,0.7690217391304347,0.7909257361780617,0.7948717948717948,0.75,149,39
55,0.7907692307692308,0.7339536580915891,0.7368421052631579,0.7261538461538461,150,38
56,0.6180124223602484,0.5720262474491262,0.5675675675675675,0.5403726708074534,151,37
57,0.6614906832298136,0.8125887489581473,0.6216216216216216,0.6677018633540373,151,37
58,0.9631336405529953,0.8983516483516483,0.631578947368421,0.7741935483870968,150,38
59,0.45538461538461544,0.4415703504691269,0.631578947368421,0.5169230769230769,150,38
60,0.7916666666666666,0.6074100152859289,0.7435897435897436,0.7791666666666667,149,39
61,0.6168478260869565,0.6150077895651178,0.6666666666666666,0.6222826086956521,149,39
62,0.42013888888888884,0.3969982460068667,0.5277777777777778,0.5,152,36
63,0.60546875,0.6075485538128244,0.625,0.6145833333333333,148,40
64,0.6398601398601398,0.7890296617228816,0.5945945945945946,0.6328671328671329,151,37
65,0.6744791666666666,0.704905716394999,0.65,0.625,148,40
66,0.6979166666666667,0.6258037305831423,0.725,0.6875,148,40
67,0.7670454545454546,0.68737508812847,0.7105263157894737,0.7073863636363636,150,38
68,0.8404761904761905,0.7332690713326399,0.8048780487804879,0.8047619047619048,147,41
69,0.6434782608695653,0.6385718058267078,0.6052631578947368,0.6043478260869566,150,38
70,0.75,0.652953699917718,0.6842105263157895,0.657051282051282,150,38
71,0.47916666666666663,0.21500736047107014,0.47368421052631576,0.484375,150,38
72,0.874331550802139,0.9220276681490491,0.7948717948717948,0.8114973262032086,149,39
73,0.8660968660968661,0.8743011374590322,0.9,0.8660968660968661,148,40
74,0.6553884711779449,0.7177233099631806,0.625,0.6203007518796992,148,40
75,0.6052631578947367,0.5773567533073134,0.5897435897435898,0.5894736842105264,149,39
76,0.7138888888888889,0.7275076052979279,0.6923076923076923,0.6625,149,39
77,0.68,0.778857947042582,0.6571428571428571,0.6916666666666667,153,35
78,0.5573122529644269,0.4753664517300881,0.5882352941176471,0.5296442687747036,154,34
79,0.55625,0.5594951519959479,0.6388888888888888,0.6125,152,36
80,0.6694444444444444,0.7113135377851916,0.717948717948718,0.6708333333333334,149,39
81,0.6789772727272727,0.7307733089707292,0.631578947368421,0.6477272727272727,150,38
82,0.3823529411764706,0.5504874484559038,0.4594594594594595,0.47794117647058826,151,37
83,0.6214285714285714,0.6997012394302917,0.6341463414634146,0.6285714285714286,147,41
84,0.537142857142857,0.7050627439018209,0.46153846153846156,0.5642857142857143,149,39
85,0.4791666666666667,0.4538062014358454,0.55,0.53125,148,40
86,0.6421052631578947,0.6968915149178305,0.6153846153846154,0.6078947368421053,149,39
87,0.6918767507002801,0.7527561050536313,0.6842105263157895,0.6974789915966386,150,38
88,0.6698369565217391,0.5843981078504323,0.717948717948718,0.6942934782608696,149,39
89,0.6378600823045267,0.49154217242452536,0.6944444444444444,0.6851851851851851,152,36
90,0.6318840579710145,0.6580912405912406,0.631578947368421,0.6028985507246376,150,38
91,0.9310344827586207,0.8290242165242165,0.6842105263157895,0.7931034482758621,150,38
92,0.5172413793103448,0.3463574761820376,0.47368421052631576,0.5402298850574713,150,38
93,0.5449275362318841,0.4700159787466289,0.5789473684210527,0.5014492753623189,150,38
94,0.5767045454545454,0.5260413304008839,0.5526315789473685,0.5198863636363636,150,38
95,0.6006944444444444,0.43543370831677275,0.6388888888888888,0.6041666666666667,152,36
96,0.806547619047619,0.8615379844283775,0.7894736842105263,0.8184523809523809,150,38
97,0.33928571428571425,0.27566132857373266,0.47368421052631576,0.4178571428571428,150,38
98,0.653250773993808,0.6451730964654089,0.6388888888888888,0.6269349845201238,152,36
99,0.7277777777777779,0.7096688993234173,0.6923076923076923,0.675,149,39
