fold,AUC,AP,ACC,BACC,n_train,n_test
0,0.7305194805194806,0.6620972192784875,0.6388888888888888,0.6136363636363636,152,36
1,0.7931034482758621,0.7104395604395604,0.717948717948718,0.7120689655172414,149,39
2,0.7620320855614973,0.7914793684939094,0.6666666666666666,0.6844919786096256,149,39
3,0.5914786967418546,0.603530659185546,0.55,0.5413533834586466,148,40
4,0.7132867132867133,0.5229090143862871,0.7567567567567568,0.7482517482517483,151,37
5,0.7156084656084656,0.7644415547784105,0.6410256410256411,0.6150793650793651,149,39
6,0.8117283950617284,0.673992303992304,0.7948717948717948,0.7361111111111112,149,39
7,0.7371794871794872,0.8240439394855974,0.4594594594594595,0.530448717948718,151,37
8,0.875,0.7741427553927555,0.8157894736842105,0.7756410256410255,150,38
9,0.8081841432225064,0.7836449038141856,0.775,0.7506393861892583,148,40
10,0.6657608695652175,0.6105085363120386,0.6153846153846154,0.5692934782608696,149,39
11,0.7103174603174603,0.7055247463744196,0.6756756756756757,0.6726190476190477,151,37
12,0.7781065088757397,0.6198420147491766,0.7435897435897436,0.7115384615384616,149,39
13,0.6347826086956522,0.5071941486196705,0.6052631578947368,0.5463768115942029,150,38
14,0.7268170426065164,0.7795596298453342,0.65,0.6416040100250626,148,40
15,0.5787878787878789,0.48600532890595266,0.5135135135135135,0.4636363636363636,151,37
16,0.7554347826086957,0.7086622533168586,0.5897435897435898,0.5475543478260869,149,39
17,0.7357954545454546,0.7340340408572801,0.6578947368421053,0.6534090909090908,150,38
18,0.7540106951871657,0.8290015466302381,0.717948717948718,0.7433155080213903,149,39
19,0.7239583333333334,0.7212727980868461,0.675,0.6458333333333333,148,40
20,0.7788461538461539,0.6884969440339765,0.7027027027027027,0.6650641025641025,151,37
21,0.8029891304347827,0.7996775793650794,0.7692307692307693,0.7377717391304348,149,39
22,0.6951871657754011,0.7738886913118699,0.6666666666666666,0.6644385026737968,149,39
23,0.6421052631578947,0.7137103300986303,0.5384615384615384,0.5342105263157895,149,39
24,0.7428571428571429,0.9109164355688294,0.5263157894736842,0.6785714285714286,150,38
25,0.5368663594470046,0.25995670995670994,0.6578947368421053,0.5691244239631337,150,38
26,0.5683229813664596,0.5326758976195066,0.6216216216216216,0.5559006211180124,151,37
27,0.7243107769423559,0.7315716910172667,0.6,0.5964912280701754,148,40
28,0.7248520710059172,0.6744787444177567,0.6666666666666666,0.6538461538461539,149,39
29,0.6011904761904762,0.450406346749226,0.7567567567567568,0.6507936507936507,151,37
30,0.46195652173913043,0.437208914908466,0.5384615384615384,0.5135869565217391,149,39
31,0.6785714285714286,0.46963395472712244,0.65,0.5659340659340659,148,40
32,0.4197530864197531,0.3050570917280829,0.5897435897435898,0.4722222222222222,149,39
33,0.90625,0.8278772682948885,0.875,0.8645833333333333,148,40
34,0.625,0.5491401558034418,0.6410256410256411,0.6083333333333334,149,39
35,0.8783068783068784,0.8919185452652276,0.6923076923076923,0.7063492063492063,149,39
36,0.6814814814814815,0.5775423489553924,0.7297297297297297,0.6888888888888889,151,37
37,0.5459770114942527,0.39628743576112,0.7105263157894737,0.657088122605364,150,38
38,0.7975,0.7916417503205428,0.625,0.625,148,40
39,0.7564102564102564,0.6701422805589473,0.7631578947368421,0.6923076923076923,150,38
40,0.6183431952662722,0.5399378769466885,0.717948717948718,0.6153846153846154,149,39
41,0.7885714285714286,0.8340970995755134,0.6666666666666666,0.6928571428571428,149,39
42,0.6282051282051282,0.5944946747401655,0.5263157894736842,0.4967948717948718,150,38
