,Fold selected features,Fold #features
Fold_0,"['H2B2E', 'S100A12', 'Notch.1', 'NID2', 'BID', 'mDCs_STAT1_IFNa', 'TSP2', 'Histone.H2A.z', 'IP.10', 'TIMP.3', 'Antithrombin.III', 'HEMK2', 'RAP', 'FABP', 'VEGF.sR2', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'IL.1.R4', 'OLR1', 'PTN', 'Siglec.6', 'uPA', 'TIG2', 'SLIK5', 'ASAH2', 'sTie.1', 'NEGR1', 'annexin.II', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa', 'FSTL3', 'Angiopoietin.2', 'sFRP.3', 'GPNMB', 'Granulocytes', 'Angiogenin', 'AFP', 'BGN', 'Stanniocalcin.1', 'sTie.2', 'Activin.A', 'MMP.12', 'a2.HS.Glycoprotein', 'CD4posTnaive_STAT3_unstim', 'IGFBP.6', 'RELT', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'Ephrin.B3', 'NK_STAT1_IFNa', 'MMP.17', 'MIP.1a', 'PLXB2', 'VEGF121', 'GDF2', 'ANK2', 'b2.Microglobulin', 'TLR4.MD.2.complex', 'C1QR1', 'SPINT2', 'annexin.I', 'PAI.1', 'SLPI', 'discoidin.domain.receptor.1', 'PlGF', 'Cystatin.C', 'IL.12.RB2', 'SCGF.alpha', 'SCGF.beta']",67
Fold_1,"['H2B2E', 'FSTL3', 'Angiopoietin.2', 'Granulocytes', 'Angiogenin', 'NKT_STAT1_IFNa', 'CDON', 'BID', 'MIC.1', 'CD8Tmem_STAT1_IFNa', 'TSP2', 'sTie.2', 'Activin.A', 'MMP.12', 'IGFBP.5', 'Histone.H2A.z', 'CD4posTnaive_STAT3_unstim', 'Antithrombin.III', 'a1.Antitrypsin', 'HEMK2', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'NK_STAT1_IFNa', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'IL.1.R4', 'PLXB2', 'VEGF121', 'PTN', 'EDA', 'Siglec.6', 'Glypican.3', 'annexin.I', 'BMP.1', 'uPA', 'SLIK5', 'CD69posCD8Tmem_STAT1_IFNa', 'Somatostatin.28', 'PAI.1', 'SLPI', 'discoidin.domain.receptor.1', 'Cystatin.C', 'MP2K4', 'ERBB1', 'sL.Selectin', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa']",45
Fold_2,"['H2B2E', 'Angiopoietin.2', 'sFRP.3', 'PRL', 'ADAM12', 'pDCs_STAT1_IFNa', 'Granulocytes', 'AFP', 'BGN', 'BID', 'ROR1', 'MIC.1', 'sTie.2', 'Activin.A', 'MMP.12', 'VEGF.sR3', 'Histone.H2A.z', 'CD4posTnaive_STAT3_unstim', 'Antithrombin.III', 'IL.1Ra', 'CD56hiCD16negNK_STAT1_IFNa', 'HEMK2', 'SAP', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'NK_STAT1_IFNa', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'LGMN', 'IL.1.R4', 'PLXB2', 'VEGF121', 'OLR1', 'GDF2', 'PTN', 'Siglec.6', 'Glypican.3', 'SPINT2', 'annexin.I', 'uPA', 'Somatostatin.28', 'PAI.1', 'SLPI', 'discoidin.domain.receptor.1', 'Cystatin.C', 'RET', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa']",46
Fold_3,"['H2B2E', 'Angiopoietin.2', 'PRL', 'GPNMB', 'pDCs_STAT1_IFNa', 'Granulocytes', 'Angiogenin', 'Bcells_STAT1_IFNa', 'NKT_STAT1_IFNa', 'CD4posTnaive_STAT1_IFNa', 'BID', 'CD4Tcells_STAT1_IFNa', 'CD69posCD4Tmem', 'mDCs_STAT1_IFNa', 'CD8Tmem_STAT1_IFNa', 'CCR2posintMCs_STAT1_IFNa', 'TSP2', 'sTie.2', 'Activin.A', 'MMP.12', 'Histone.H2A.z', 'Antithrombin.III', 'CD56hiCD16negNK_STAT1_IFNa', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'NK_STAT1_IFNa', 'CD8Tcm_STAT1_IFNa', 'KYNU', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'CD8Tcells_STAT1_IFNa', 'cMCs_STAT1_IFNa', 'IL.1.R4', 'PLXB2', 'VEGF121', 'OLR1', 'CCR2poscMCs_STAT1_IFNa', 'Siglec.6', 'SPINT2', 'Activin.AB', 'uPA', 'SLIK5', 'PAI.1', 'CD4Tcm_STAT1_IFNa', 'NEGR1', 'SLPI', 'Cadherin.E', 'discoidin.domain.receptor.1', 'Cystatin.C', 'MP2K4', 'CD62LposCD4Tnaive_STAT1_IFNa', 'DERM', 'CD8Tem_STAT1_IFNa', 'OX2G', 'DCs_STAT6_IFNa', 'CD56loCD16negNK_STAT1_IFNa']",55
Fold_4,"['Angiopoietin.2', 'pDCs_STAT1_IFNa', 'Granulocytes', 'NKT_STAT1_IFNa', 'HRG', 'mDCs_STAT1_IFNa', 'CCR2posintMCs_STAT1_IFNa', 'sTie.2', 'Activin.A', 'MMP.12', 'IP.10', 'Antithrombin.III', 'LSAMP', 'CD56hiCD16negNK_STAT1_IFNa', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'NK_STAT1_IFNa', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'CD8Tcells_STAT1_IFNa', 'CCR5posCCR2posCD4Tem_STAT6_IFNa', 'IL.1.R4', 'cMCs_STAT1_IFNa', 'VEGF121', 'PLXB2', 'CCR2poscMCs_STAT1_IFNa', 'Siglec.6', 'uPA', 'intMCs_STAT1_IFNa', 'SLPI', 'discoidin.domain.receptor.1', 'Cystatin.C', 'MP2K4', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa']",34
Fold_5,"['Angiopoietin.2', 'PRL', 'GPNMB', 'Granulocytes', 'BID', 'HGF', 'HRG', 'mDCs_STAT1_IFNa', 'TSP2', 'sTie.2', 'Activin.A', 'MMP.12', 'Trypsin', 'VEGF.sR3', 'a2.HS.Glycoprotein', 'Histone.H2A.z', 'IGFBP.6', 'Antithrombin.III', 'LSAMP', 'CD56hiCD16negNK_STAT1_IFNa', 'IP.10', 'RELT', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'RAP', 'FABP', 'NK_STAT1_IFNa', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'Granulocytes_S6_unstim', 'IL.1.R4', 'PLXB2', 'MIP.1a', 'VEGF121', 'Siglec.6', 'SPINT2', 'uPA', 'GRN', 'SLIK5', 'ASAH2', 'sTie.1', 'SLPI', 'discoidin.domain.receptor.1', 'Cystatin.C', 'contactin.1', 'MP2K4', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa']",47
Fold_6,"['H2B2E', 'S100A12', 'ncMCs_MAPKAPK2_GMCSF', 'Notch.1', 'DCs_STAT6_IL246', 'BID', 'NID2', 'MIC.1', 'TSP2', 'CD8Tmem_STAT1_IFNa', 'Histone.H2A.z', 'Cadherin.5', 'IP.10', 'TIMP.3', 'LSAMP', 'Antithrombin.III', 'HEMK2', 'Granulocytes_ERK_GMCSF', 'RAP', 'FABP', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'QORL1', 'IL.1.R4', 'OLR1', 'ApoM', 'PTN', 'IL.18.Ra', 'Siglec.6', 'uPA', 'SLIK5', 'CD69posCD8Tmem_STAT1_IFNa', 'ASAH2', 'intMCs_STAT1_IFNa', 'sTie.1', 'NEGR1', 'annexin.II', 'Galectin.3', 'sL.Selectin', 'DERM', 'ERBB1', 'MUC1', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa', 'RGMB', 'Granulocytes_IkB_unstim', 'MK11', 'FSTL3', 'Angiopoietin.2', 'PRL', 'GPNMB', 'pDCs_STAT1_IFNa', 'Granulocytes', 'Angiogenin', 'Bcells_STAT1_IFNa', 'CCR5posCCR2posCD4Tem_STAT1_IFNa', 'NKT_STAT1_IFNa', 'Granulocytes_IkB_LPS', 'Protease.nexin.I', 'ALCAM', 'AFP', 'ROR1', 'HRG', 'CCR2negncMCs_MAPKAPK2_GMCSF', 'Stanniocalcin.1', 'sTie.2', 'Activin.A', 'MMP.12', 'VEGF.sR3', 'IGFBP.5', 'a1.Antitrypsin', 'SARP.2', 'SAP', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'Ephrin.B3', 'NK_STAT1_IFNa', 'CD8Tcm_STAT1_IFNa', 'MMP.17', 'CD8Tcells_STAT1_IFNa', 'MIP.1a', 'PLXB2', 'VEGF121', 'GDF2', 'CCR2poscMCs_STAT1_IFNa', 'b2.Microglobulin', 'MCP.3', 'FCN2', 'C1QR1', 'Activin.AB', 'SPINT2', 'annexin.I', 'sRAGE', 'Nidogen', 'MMP.9', 'Somatostatin.28', 'SLPI', 'PAI.1', 'Cadherin.E', 'discoidin.domain.receptor.1', 'PlGF', 'GA733.1.protein', 'Cystatin.C', 'Gelsolin', 'SREC.I', 'contactin.1', 'IL.12.RB2', 'Endothelin.converting.enzyme.1', 'MP2K4', 'CD8Tem_STAT1_IFNa', 'HCG', 'RET', 'Galectin.7', 'SCGF.beta', 'calgranulin.B']",114
Fold_7,"['H2B2E', 'BID', 'CD4Tcells_STAT1_IFNa', 'TSP2', 'mDCs_STAT1_IFNa', 'CCR2posintMCs_STAT1_IFNa', 'Histone.H2A.z', 'Cadherin.5', 'IP.10', 'Antithrombin.III', 'Catalase', 'DLC8', 'HEMK2', 'RAP', 'FABP', 'VEGF.sR2', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'LGMN', 'cMCs_STAT1_IFNa', 'IL.1.R4', 'PTN', 'IL.18.Ra', 'Siglec.6', 'Prothrombin', 'uPA', 'IL.1.sRI', 'SLIK5', 'ASAH2', 'sTie.1', 'CD4Tcm_STAT1_IFNa', 'annexin.II', 'ERBB3', 'LAG.3', 'CD62LposCD4Tnaive_STAT1_IFNa', 'Galectin.3', 'DERM', 'OX2G', 'CD56loCD16negNK_STAT1_IFNa', 'FSTL3', 'CD62LposCD8Tnaive_STAT1_IFNa', 'Angiopoietin.2', 'PRL', 'GPNMB', 'Granulocytes', 'Angiogenin', 'Bcells_STAT1_IFNa', 'CCR5posCCR2posCD4Tem_STAT1_IFNa', 'NKT_STAT1_IFNa', 'CD4posTnaive_STAT1_IFNa', 'HRG', 'DSC2', 'sTie.2', 'Activin.A', 'MMP.12', 'ADAM.9', 'IGFBP.5', 'a2.HS.Glycoprotein', 'a1.Antitrypsin', 'CD56hiCD16negNK_STAT1_IFNa', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'Ephrin.B3', 'NK_STAT1_IFNa', 'MMP.17', 'mDCs_S6_LPS', 'CD8Tcells_STAT1_IFNa', 'VEGF121', 'PLXB2', 'GDF2', 'CCR2poscMCs_STAT1_IFNa', 'ANK2', 'Corticotropin.lipotropin', 'b2.Microglobulin', 'Activin.AB', 'annexin.I', 'sRAGE', 'CD8Tnaive_STAT1_IFNa', 'Somatostatin.28', 'SLPI', 'PAI.1', 'discoidin.domain.receptor.1', 'Cystatin.C', 'Growth.hormone.receptor', 'MP2K4', 'CD8Tem_STAT1_IFNa', 'SCGF.alpha', 'SCGF.beta']",87
Fold_8,"['H2B2E', 'ADAM12', 'Notch.1', 'BID', 'MIC.1', 'TSP2', 'CCR2posintMCs_STAT1_IFNa', 'Histone.H2A.z', 'Cadherin.5', 'Antithrombin.III', 'LSAMP', 'HEMK2', 'CD4Tcells_STAT5_unstim', 'Granulocytes_ERK_GMCSF', 'RAP', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'LGMN', 'IL.1.R4', 'OLR1', 'PTN', 'Cathepsin.A', 'Siglec.6', 'IL.18.Ra', 'Prothrombin', 'uPA', 'SLIK5', 'sTie.1', 'NEGR1', 'CD69posCD56loCD16negNK_STAT5_IL246', 'kallikrein.13', 'sL.Selectin', 'OX2G', 'SCF.sR', 'CD56loCD16negNK_STAT1_IFNa', 'FSTL3', 'Angiopoietin.2', 'sFRP.3', 'PRL', 'Transferrin', 'pDCs_STAT1_IFNa', 'CD62LposCD4Tnaive_STAT5_unstim', 'CD4Tcm_STAT5_unstim', 'Granulocytes', 'Angiogenin', 'AFP', 'BGN', 'Protease.nexin.I', 'CDON', 'HMGN1', 'HRG', 'Stanniocalcin.1', 'sTie.2', 'Activin.A', 'MMP.12', 'VEGF.sR3', 'IGFBP.5', 'CD4posTnaive_STAT3_unstim', 'a2.HS.Glycoprotein', 'CD4posTnaive_STAT5_unstim', 'SMOC1', 'RELT', 'SAP', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'NK_STAT1_IFNa', 'MMP.17', 'Granulocytes_S6_unstim', 'VEGF121', 'PLXB2', 'GDF2', 'CCR5posCCR2posCD4Tem_STAT5_unstim', 'TLR4.MD.2.complex', 'b2.Microglobulin', 'GNS', 'Glypican.3', 'C1QR1', 'Activin.AB', 'SPINT2', 'annexin.I', 'BMP.1', 'GRN', 'Somatostatin.28', 'MMP.9', 'SLPI', 'PAI.1', 'CD30.Ligand', 'discoidin.domain.receptor.1', 'Cystatin.C', 'Growth.hormone.receptor', 'Gelsolin', 'contactin.1', 'Endothelin.converting.enzyme.1', 'MO2R1', 'MP2K4', 'RET', 'ISLR2', 'ILT.2', 'IDS']",98
Fold_9,"['H2B2E', 'Notch.1', 'OMD', 'BID', 'TSP2', 'HEMK2', 'VEGF.sR2', 'LGMN', 'Trypsin.2', 'PTN', 'Angiotensinogen', 'uPA', 'LEG9', 'ASAH2', 'Adiponectin', 'NEGR1', 'ERBB3', 'LAG.3', 'DERM', 'sL.Selectin', 'OX2G', 'SCF.sR', 'CD56loCD16negNK_STAT1_IFNa', 'sFRP.3', 'Rb', 'ALCAM', 'Protease.nexin.I', 'IL.27', 'HGF', 'FGF.10', 'sTie.2', 'Activin.A', 'MMP.12', 'IGFBP.5', 'a2.HS.Glycoprotein', 'CD4posTnaive_STAT3_unstim', 'M.CSF.R', 'Ephrin.B3', 'Myokinase..human', 'Troponin.T', 'PH', 'MIP.1a', 'PLXB2', 'C1QR1', 'Activin.AB', 'Somatostatin.28', 'SLPI', 'CD59', 'PlGF', 'Cystatin.C', 'Growth.hormone.receptor', 'IL.12.RB2', 'MO2R1', 'MP2K4', 'HCG', 'COLEC12', 'SCGF.alpha', 'BSSP4', 'SCGF.beta', 'calgranulin.B', 'MIC.1', 'mDCs_STAT1_IFNa', 'CCR2posintMCs_STAT1_IFNa', 'Histone.H2A.z', 'Cadherin.5', 'IP.10', 'Antithrombin.III', 'Catalase', 'IL.1Ra', 'HGFA', 'FABP', 'CD69posCD56loCD16negNK_STAT1_IFNa', 'IL.1.R4', 'OLR1', 'IL.18.Ra', 'Siglec.6', 'Prothrombin', 'TIG2', 'SLIK5', 'sTie.1', 'annexin.II', 'TCCR', 'TSP4', 'gpIIbIIIa', 'FSTL3', 'Angiopoietin.2', 'PRL', 'GPNMB', 'pDCs_STAT1_IFNa', 'Granulocytes', 'Angiogenin', 'AFP', 'BGN', 'Hemoglobin', 'ROR1', 'ADAM.9', 'G.CSF.R', 'CD56hiCD16negNK_STAT1_IFNa', 'RELT', 'SAP', 'CD69negCD56loCD16negNK_STAT1_IFNa', 'CCR5posCCR2posCD4Tcm_STAT1_IFNa', 'MAPKAPK3', 'NK_STAT1_IFNa', 'MMP.17', 'NRX3B', 'Kallistatin', 'VEGF121', 'GDF2', 'ANK2', 'b2.Microglobulin', 'Glypican.3', 'SPINT2', 'annexin.I', 'GRN', 'PAI.1', 'discoidin.domain.receptor.1', 'SREC.I', 'Gelsolin', 'contactin.1', 'RET', 'MP2K2']",122
