,Fold selected features,Fold #features
Fold_0,"['PRO_IL1B', 'PRO_RAP2A', 'PRO_ALK', 'PRO_HSPH1']",4
Fold_1,"['unstim_Tregnaive_Frequency', 'PRO_WWOX', 'PRO_ITGAV|ITGB3', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_LDLR', 'PRO_CCL3']",8
Fold_2,['unstim_CD4Trm_Frequency'],1
Fold_3,"['PRO_WWOX', 'PRO_IL1B', 'TNF_Th1_149Sm_CREB']",3
Fold_4,"['PRO_FCRL3', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_IRF6', 'PRO_CCL3']",6
Fold_5,"['unstim_Tregnaive_Frequency', 'PRO_WWOX', 'PRO_CTNNA3', 'unstim_Th1naive_149Sm_CREB', 'PRO_IL1B', 'PRO_BLK', 'unstim_CD4Trm_Frequency', 'PRO_LDLR', 'PRO_HSPH1', 'LPS_Granulocytes_159Tb_MAPKAPK2']",10
Fold_6,"['TNF_Th1_149Sm_CREB', 'unstim_CD4Tnaive_Frequency', 'PRO_ITGAV|ITGB3', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_LDLR', 'PRO_HSPH1']",7
Fold_7,"['unstim_CD4Trm_Frequency', 'PRO_ALK']",2
Fold_8,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_ASAH1']",4
Fold_9,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_CCL3']",4
Fold_10,"['unstim_Tregnaive_Frequency', 'PRO_TOPBP1', 'PRO_B3GNT2', 'TNF_ncMC_167Er_ERK', 'PRO_ITGAV|ITGB3', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_PPIB', 'PRO_ASAH1']",9
Fold_11,"['unstim_Tregnaive_Frequency', 'unstim_CD4Trm_Frequency', 'PRO_ALK']",3
Fold_12,"['TNF_Th1_149Sm_CREB', 'TNF_ncMC_167Er_ERK', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_LDLR', 'PRO_BIRC3']",7
Fold_13,"['PRO_WWOX', 'PRO_IRF6', 'PRO_IL1B', 'PRO_BLK', 'PRO_ALK', 'PRO_ASAH1']",6
Fold_14,"['unstim_Th1naive_149Sm_CREB', 'unstim_CD4Tnaive_Frequency', 'unstim_CD56dimCD16posNK_Frequency', 'TNF_Th1_149Sm_CREB', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'unstim_NK_Frequency', 'PRO_CCL3']",9
Fold_15,"['PRO_WWOX', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_BIRC3', 'PRO_CCL3']",6
Fold_16,"['unstim_Tregnaive_Frequency', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK']",4
Fold_17,"['TNF_Th1_149Sm_CREB', 'TNF_ncMC_167Er_ERK', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_ASAH1', 'PRO_HSPH1']",7
Fold_18,['unstim_CD4Trm_Frequency'],1
Fold_19,"['PRO_MTHFD2', 'PRO_TNFAIP3', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_PPIB', 'PRO_CCL3']",6
Fold_20,"['PRO_WWOX', 'PRO_ASAH1', 'PRO_PPIB', 'PRO_IRF6']",4
Fold_21,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_IRF6', 'PRO_CCL3']",5
Fold_22,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK']",3
Fold_23,"['PRO_WWOX', 'PRO_TOPBP1', 'TNF_Th1_149Sm_CREB', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_RAP2A', 'PRO_ALK', 'PRO_LDLR']",8
Fold_24,"['unstim_Tregnaive_Frequency', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_ASAH1', 'PRO_HSPH1', 'PRO_CCL3']",6
Fold_25,"['PRO_WWOX', 'PRO_ALK']",2
Fold_26,"['PRO_TNFAIP3', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ASAH1', 'PRO_HSPH1', 'PRO_CCL3']",6
Fold_27,"['unstim_Tregnaive_Frequency', 'unstim_Th1naive_149Sm_CREB', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'unstim_pDC_Frequency', 'PRO_ALK']",6
Fold_28,"['PRO_WWOX', 'PRO_TOPBP1', 'TNF_ncMC_167Er_ERK', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_LDLR']",6
Fold_29,"['unstim_Tregnaive_Frequency', 'PRO_WWOX', 'PRO_MTHFD2', 'unstim_CD4Tnaive_Frequency', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_RAP2A', 'PRO_ALK', 'PRO_ASAH1', 'PRO_HSPH1']",10
Fold_30,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_RAP2A', 'PRO_ALK', 'PRO_LDLR', 'PRO_CCL3']",6
Fold_31,"['unstim_Tregnaive_Frequency', 'PRO_IRF6', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_CNTN3', 'PRO_ALK', 'PRO_ASAH1', 'PRO_ARL11']",8
Fold_32,"['PRO_IL1B', 'PRO_ALK']",2
Fold_33,"['unstim_Tregnaive_Frequency', 'PRO_WWOX', 'PRO_CTNNA3', 'TNF_Th1_149Sm_CREB', 'PRO_TNFAIP3', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_ASAH1', 'PRO_CCL3']",9
Fold_34,"['PRO_WWOX', 'PRO_IL1B', 'PRO_LDLR']",3
Fold_35,"['PRO_WWOX', 'PRO_ALK', 'PRO_IRF6', 'PRO_ARL11']",4
Fold_36,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK']",3
Fold_37,"['PRO_WWOX', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_ASAH1', 'PRO_CCL3']",6
Fold_38,"['PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_IRF6', 'PRO_CCL3']",4
Fold_39,"['unstim_Tregnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_164Dy_IkB']",4
Fold_40,"['PRO_WWOX', 'TNF_Th1_149Sm_CREB', 'PRO_IL1B', 'unstim_CD4Trm_Frequency', 'PRO_ALK', 'PRO_HSPH1', 'PRO_CCL3']",7
