,Threshold,min FDP+
Fold n°1,0.11,0.5
Fold n°2,0.15999999999999998,0.25
Fold n°3,0.13,0.5
Fold n°4,0.1,0.5
Fold n°5,0.1,0.4
Fold n°6,0.12,0.1111111111111111
Fold n°7,0.13999999999999999,0.25
Fold n°8,0.12,0.5
Fold n°9,0.13,0.14285714285714285
Fold n°10,0.13999999999999999,0.125
Fold n°11,0.16999999999999998,0.25
Fold n°12,0.1,0.125
Fold n°13,0.19999999999999996,0.25
Fold n°14,0.13,0.125
Fold n°15,0.11,0.42857142857142855
Fold n°16,0.11,0.14285714285714285
Fold n°17,0.17999999999999997,0.3333333333333333
Fold n°18,0.1,0.8333333333333334
Fold n°19,0.14999999999999997,0.16666666666666666
Fold n°20,0.11,0.3333333333333333
Fold n°21,0.45999999999999985,1.0
Fold n°22,0.21999999999999995,0.5
Fold n°23,0.17999999999999997,1.0
Fold n°24,0.1,0.2857142857142857
Fold n°25,0.11,0.3333333333333333
Fold n°26,0.12,0.125
Fold n°27,0.1,0.3333333333333333
Fold n°28,0.19999999999999996,0.3333333333333333
Fold n°29,0.14999999999999997,0.5
Fold n°30,0.13,0.4
Fold n°31,0.13999999999999999,0.5
Fold n°32,0.1,0.42857142857142855
Fold n°33,0.16999999999999998,0.16666666666666666
Fold n°34,0.24999999999999992,0.25
Fold n°35,0.11,0.2222222222222222
Fold n°36,0.1,0.1111111111111111
Fold n°37,0.13999999999999999,0.25
Fold n°38,0.14999999999999997,0.2
Fold n°39,0.11,0.25
Fold n°40,0.13999999999999999,0.25
Fold n°41,0.19999999999999996,0.25
Fold n°42,0.1,0.2222222222222222
Fold n°43,0.11,0.07692307692307693
Fold n°44,0.1,0.7
Fold n°45,0.16999999999999998,0.2
Fold n°46,0.13999999999999999,0.6666666666666666
Fold n°47,0.12,0.6
Fold n°48,0.1,0.14285714285714285
Fold n°49,0.13,0.5
Fold n°50,0.15999999999999998,0.16666666666666666
Fold n°51,0.18999999999999995,0.3333333333333333
Fold n°52,0.1,0.75
Fold n°53,0.1,1.0
Fold n°54,0.1,0.2857142857142857
Fold n°55,0.1,0.5
Fold n°56,0.19999999999999996,0.5
Fold n°57,0.13,0.16666666666666666
Fold n°58,0.1,1.0
Fold n°59,0.11,0.5
Fold n°60,0.1,0.625
Fold n°61,0.1,0.36363636363636365
Fold n°62,0.20999999999999996,0.25
Fold n°63,0.12,0.16666666666666666
Fold n°64,0.12,0.2857142857142857
Fold n°65,0.1,0.5
Fold n°66,0.12,1.0
Fold n°67,0.1,0.5
Fold n°68,0.13999999999999999,0.5
Fold n°69,0.12,0.2
Fold n°70,0.16999999999999998,0.3333333333333333
Fold n°71,0.15999999999999998,0.14285714285714285
Fold n°72,0.11,0.16666666666666666
Fold n°73,0.11,0.5
Fold n°74,0.11,0.16666666666666666
Fold n°75,0.12,0.16666666666666666
Fold n°76,0.1,0.1111111111111111
Fold n°77,0.1,0.5
Fold n°78,0.19999999999999996,0.16666666666666666
Fold n°79,0.11,0.5
Fold n°80,0.14999999999999997,0.14285714285714285
Fold n°81,0.15999999999999998,0.16666666666666666
Fold n°82,0.14999999999999997,0.5
Fold n°83,0.14999999999999997,0.75
Fold n°84,0.1,0.6
Fold n°85,0.15999999999999998,0.5
Fold n°86,0.13,0.42857142857142855
Fold n°87,0.13999999999999999,0.2
Fold n°88,0.17999999999999997,0.14285714285714285
Fold n°89,0.13,0.16666666666666666
Fold n°90,0.13999999999999999,1.0
Fold n°91,0.1,0.1
Fold n°92,0.1,0.1
Fold n°93,0.12,0.16666666666666666
Fold n°94,0.12,0.2
Fold n°95,0.1,0.6666666666666666
Fold n°96,0.1,1.0
Fold n°97,0.1,0.2
Fold n°98,0.13999999999999999,0.3333333333333333
Fold n°99,0.15999999999999998,0.5
Fold n°100,0.14999999999999997,0.2
