,Max Proba
MZB1,0.983
CRTAC1,0.978
MUC13,0.954
CCL20,0.946
CCL7,0.936
SPINT1,0.921
TDGF1,0.912
TLR3,0.904
THPO,0.902
DLL1,0.9
GDF15,0.899
MDGA1,0.878
PON3,0.873
FABP4,0.871
TNFRSF11A,0.868
FGF21,0.861
ACP5,0.854
CDHR1,0.852
LGALS1,0.848
ANGPTL2,0.844
FABP1,0.844
XPNPEP2,0.841
SMOC2,0.832
PLIN1,0.82
CPA2,0.814
NOMO1,0.81
ACY1,0.809
LILRA5,0.809
TNFRSF4,0.805
PRSS8,0.805
PTS,0.801
FBP1,0.797
CES2,0.79
FASLG,0.79
IGF2R,0.789
TMPRSS5,0.785
APOM,0.784
SRP14,0.783
KLB,0.782
ULBP2,0.776
FCRL5,0.776
HSPG2,0.774
CD177,0.77
SSC5D,0.769
ANXA5,0.768
CA5A,0.768
SCP2,0.768
TNFRSF8,0.764
CCL15,0.762
FCAR,0.761
EPS8L2,0.748
GGT5,0.74
CD38,0.74
PPY,0.739
LRP11,0.738
KRT18,0.736
NOS1,0.735
ACE2,0.732
ADAMTS15,0.729
CSTB,0.727
NINJ1,0.726
CD276,0.724
LGALS9,0.716
RBP5,0.714
MSLN,0.712
S100A16,0.712
TNC,0.712
FOSB,0.711
IL2RB,0.705
PCOLCE,0.705
RELT,0.703
DKKL1,0.702
ANGPTL3,0.7
CTSL,0.699
GNLY,0.698
BSG,0.698
PDGFRA,0.698
HDGF,0.698
LY96,0.696
CXCL13,0.693
FCN2,0.687
CTSH,0.687
GRN,0.685
GGT1,0.684
SIGLEC9,0.682
TMSB10,0.679
PSIP1,0.678
NPY,0.678
IL5RA,0.677
SERPINB8,0.671
CD5,0.67
TNFRSF10A,0.67
IL1RAP,0.67
TFPI2,0.669
TNFRSF13B,0.669
ICAM1,0.668
JUN,0.668
MET,0.668
PIGR,0.664
SOST,0.66
NPTXR,0.659
GFRA2,0.658
NCLN,0.656
NPTN,0.652
TNFRSF12A,0.652
PM20D1,0.648
ADGRG1,0.645
TPT1,0.641
SMPDL3A,0.641
TNFRSF13C,0.639
PODXL2,0.638
GPA33,0.637
CD164,0.635
IDI2,0.633
CASC4,0.625
THBS2,0.624
SSB,0.624
FCGR2B,0.622
VWA1,0.619
CDHR2,0.618
LYPD1,0.617
DSG4,0.617
IFNGR1,0.611
BAIAP2,0.61
ENPP7,0.605
KIR2DL3,0.604
WISP1,0.604
STC2,0.604
FCRLB,0.604
ALPP,0.602
DSG2,0.601
HSPB6,0.598
POLR2F,0.597
AOC1,0.597
KCNIP4,0.595
SDC1,0.595
PDGFC,0.595
NEFL,0.594
CES1,0.593
STC1,0.588
IGFBPL1,0.588
LRPAP1,0.583
GPKOW,0.582
GH2,0.58
CRLF1,0.58
TP53INP1,0.579
NECTIN2,0.578
APEX1,0.578
NRP1,0.576
TNFRSF11B,0.576
NTRK3,0.574
HCLS1,0.571
IL33,0.571
CAPG,0.571
OXT,0.57
CHI3L1,0.569
CSF2RA,0.567
IL22RA1,0.565
ADGRG2,0.564
IL15RA,0.562
PRL,0.56
ADAM15,0.56
CEACAM5,0.559
NFASC,0.559
IL32,0.556
APBB1IP,0.555
ISM1,0.554
LIF,0.554
RBP2,0.554
CALB2,0.552
GZMH,0.55
CNTN1,0.549
SCARB1,0.548
AMBN,0.548
PLAUR,0.548
IL18RAP,0.547
IL6,0.547
SELPLG,0.546
IGSF3,0.545
EREG,0.542
LRRC25,0.54
IL11,0.538
LYPD8,0.538
NPPC,0.538
CRHBP,0.536
LY9,0.535
EZR,0.534
CHIT1,0.532
IL24,0.531
NPM1,0.528
SPINK1,0.527
MSR1,0.524
LSP1,0.524
CLUL1,0.523
IL17C,0.522
NRP2,0.521
CD63,0.52
TACSTD2,0.52
CRELD2,0.517
IFNL1,0.516
AGRN,0.515
KLK1,0.514
CTSF,0.511
BGN,0.511
MUC16,0.508
ADAMTS13,0.508
LILRB1,0.508
BST2,0.507
ADCYAP1R1,0.506
IL17D,0.506
AMY2A,0.504
AMY2B,0.504
CTSD,0.503
CEACAM3,0.501
PNLIPRP2,0.5
CASP1,0.499
SULT2A1,0.497
XRCC4,0.496
OMG,0.494
KLRD1,0.494
NPDC1,0.494
IL2RA,0.493
TNFRSF10B,0.493
FLT1,0.492
LBR,0.49
TNFSF12,0.49
PXN,0.49
BST1,0.489
GFRA3,0.488
ALDH3A1,0.484
CD1C,0.484
SPINK6,0.484
CLEC11A,0.484
ING1,0.482
GSTA3,0.48
EPCAM,0.48
MASP1,0.477
TINAGL1,0.477
S100A11,0.476
CELA3A,0.476
PLA2G7,0.476
MARCO,0.475
FURIN,0.475
THBD,0.473
CNTN3,0.472
KLK10,0.469
TIGAR,0.469
PRTG,0.467
MAD1L1,0.467
IL17F,0.466
IL16,0.464
IFNGR2,0.464
HAVCR2,0.463
CD79B,0.462
LAIR2,0.462
COL6A3,0.461
ERBB4,0.46
FOLR1,0.46
SCGN,0.459
HLA-DRA,0.459
GH1,0.457
VTCN1,0.454
COL4A1,0.452
CD74,0.451
IL2,0.45
MB,0.446
COLEC12,0.446
HSP90B1,0.443
GSTA1,0.442
ICAM4,0.441
TFRC,0.44
DPT,0.44
KLK11,0.439
DKK1,0.438
LAG3,0.437
PLXNB2,0.434
CPB1,0.431
ARNT,0.43
KRT19,0.429
ENTPD5,0.427
SCLY,0.427
CTRC,0.425
COMP,0.425
IL17A,0.424
PARP1,0.424
HGF,0.422
CXADR,0.421
LAMA4,0.421
EGLN1,0.42
AFP,0.42
LTBP3,0.42
NAAA,0.42
EPHA2,0.419
CDH15,0.418
EPHB4,0.418
CNTN2,0.417
AGR3,0.416
ISLR2,0.415
LGALS3,0.413
NFATC3,0.412
SELE,0.412
AMIGO2,0.411
MICB_MICA,0.411
VWF,0.411
CTRB1,0.41
CNTN5,0.408
RANGAP1,0.407
TSLP,0.404
NCF2,0.403
CLEC4C,0.403
CDCP1,0.402
NXPH1,0.402
TCN2,0.398
ALCAM,0.397
CCN2,0.397
NTF4,0.396
HBQ1,0.396
KLK12,0.395
SLC39A5,0.395
CES3,0.395
CXCL8,0.395
CA6,0.394
HAVCR1,0.393
PAEP,0.39
CLSPN,0.388
CDH1,0.387
FUS,0.387
CLSTN1,0.387
SEZ6L2,0.387
C19orf12,0.385
IL10,0.383
EGFR,0.382
LTBR,0.382
LAMP3,0.381
GFOD2,0.381
LRIG1,0.38
FUCA1,0.38
PRKRA,0.379
WIF1,0.379
WFDC2,0.377
MMP8,0.377
COPE,0.376
ADAMTS16,0.376
MMP13,0.375
ROBO1,0.373
LTA,0.371
CTSB,0.37
MLN,0.365
FCGR3B,0.364
PVR,0.363
ERP44,0.363
SIGLEC7,0.363
PDCD1,0.361
NOS3,0.361
DDR1,0.361
S100P,0.36
CA12,0.36
VSTM2L,0.36
IL5,0.359
PLA2G10,0.359
DPY30,0.357
TIMP1,0.357
RASSF2,0.357
CSF1,0.356
MME,0.356
CD22,0.356
LTA4H,0.356
IL1A,0.355
LHB,0.355
ACTN4,0.355
ENG,0.353
B4GAT1,0.351
CDH2,0.351
BLMH,0.35
PLAU,0.349
ANXA3,0.349
MAGED1,0.348
NELL2,0.348
VSTM1,0.347
CD209,0.346
LSM1,0.346
LEP,0.345
CLEC4G,0.344
TREM2,0.343
TNFSF11,0.343
GHRHR,0.342
TRIAP1,0.342
IL12RB1,0.342
CLC,0.341
CBLIF,0.34
BCAN,0.34
PI3,0.339
CRISP2,0.338
SLAMF7,0.336
CTSS,0.335
IL1B,0.334
TIMP3,0.334
RBKS,0.334
AKR1C4,0.333
SNCG,0.333
CAMKK1,0.328
CD300LG,0.327
LYPD3,0.327
NCAM2,0.326
GZMB,0.325
MEGF9,0.325
CD200,0.325
VASN,0.324
L1CAM,0.324
IKZF2,0.324
LRP1,0.322
TCL1A,0.322
SFTPA2,0.322
CPVL,0.321
PADI2,0.321
CX3CL1,0.321
TIMD4,0.321
FABP2,0.32
CHRDL1,0.32
CCL19,0.319
PRDX1,0.319
CNTNAP2,0.318
RCOR1,0.318
PTPRF,0.317
AMN,0.315
RASA1,0.315
DDAH1,0.314
RNASE3,0.313
DKK4,0.313
WFIKKN1,0.313
MDK,0.311
NMNAT1,0.31
GPC1,0.31
CD200R1,0.308
NRTN,0.308
TXLNA,0.307
CDH17,0.307
MEGF10,0.306
ITGB6,0.305
WFIKKN2,0.305
PSPN,0.304
DSG3,0.303
BRK1,0.303
CPPED1,0.302
SIGLEC10,0.302
LDLR,0.301
FCRL1,0.3
ILKAP,0.299
PSMA1,0.299
KITLG,0.299
DPP6,0.299
APLP1,0.298
DNER,0.297
VEGFA,0.296
IL17RA,0.294
ACVRL1,0.293
CPA1,0.293
ITGAM,0.293
COL9A1,0.293
AGXT,0.292
CRH,0.288
TXNDC5,0.286
SLC39A14,0.286
CCL27,0.286
VSIG4,0.285
TAFA5,0.283
NDUFS6,0.283
ANGPTL1,0.281
BTN3A2,0.281
TNFRSF1B,0.281
CEP164,0.281
SCG3,0.281
PAG1,0.281
SLITRK2,0.281
KRT5,0.28
TNFSF13,0.28
PBLD,0.278
TNR,0.278
SIGLEC6,0.277
EPHA1,0.276
GPC5,0.276
SH2D1A,0.276
SCARA5,0.276
GFAP,0.276
TGFBI,0.275
TNFRSF6B,0.275
FST,0.275
REN,0.274
CANT1,0.274
ICAM3,0.273
IL13RA1,0.273
CRX,0.273
RUVBL1,0.273
PQBP1,0.272
IL4,0.271
CHRDL2,0.27
DNAJB8,0.27
FCRL3,0.269
CLEC10A,0.269
ARTN,0.269
JCHAIN,0.269
TSHB,0.268
FCGR2A,0.268
KLRB1,0.267
IL20,0.267
CDSN,0.266
WARS,0.265
GHRL,0.265
CRIM1,0.265
FCRL6,0.265
ST3GAL1,0.264
FABP6,0.263
IL4R,0.263
ELOA,0.262
PTX3,0.261
FCRL2,0.261
SERPINA12,0.261
MTPN,0.26
SEMA7A,0.26
ENAH,0.26
DFFA,0.26
HPGDS,0.26
PPP3R1,0.257
GFRA1,0.257
IL6R,0.257
RAB6B,0.257
NDRG1,0.257
NBL1,0.257
NAMPT,0.256
CCL25,0.256
NCAM1,0.256
DDX58,0.255
LHPP,0.255
C4BPB,0.254
CD48,0.254
SOD2,0.254
EPHA10,0.253
DUSP3,0.253
CD27,0.253
CCL26,0.252
SFRP1,0.251
CD28,0.251
CCL22,0.25
DEFA1_DEFA1B,0.25
ITGA11,0.25
LILRB2,0.25
TFF3,0.249
SSC4D,0.249
PCSK9,0.248
FGFR2,0.248
LYAR,0.247
TANK,0.247
ARID4B,0.246
PRTN3,0.246
CRIP2,0.245
IL17RB,0.245
MFAP3,0.245
CGREF1,0.244
IGFBP3,0.244
IGSF8,0.244
NTRK2,0.243
BMP4,0.243
LILRB5,0.242
ZBTB17,0.242
LTO1,0.24
ECE1,0.24
PROC,0.24
RRM2,0.24
MERTK,0.24
PKLR,0.239
RGMB,0.239
PCDH17,0.239
NECTIN4,0.239
FKBP5,0.238
ITGB2,0.238
CCL3,0.237
SORD,0.236
KLK14,0.236
CLPS,0.236
NBN,0.236
CEACAM21,0.236
CD300C,0.235
CRHR1,0.234
KIR3DL1,0.234
IL10RB,0.234
AREG,0.233
FGR,0.233
SPP1,0.232
SERPINA9,0.232
KAZALD1,0.232
SEMA3F,0.231
CXCL11,0.231
GKN1,0.231
CPE,0.231
ANGPTL4,0.231
IL15,0.23
CXCL16,0.229
KIRREL2,0.228
CNTN4,0.227
GAL,0.227
TIE1,0.227
CLPP,0.227
PDCD1LG2,0.226
FCER2,0.226
ASAH2,0.226
SLC16A1,0.225
NID1,0.225
VEGFD,0.225
FGF19,0.224
MSTN,0.224
IGF1R,0.224
BPIFB1,0.223
COL1A1,0.222
F3,0.222
MILR1,0.222
ANG,0.222
ICAM5,0.222
C2,0.221
ATP6V1D,0.22
IL1RN,0.22
CNDP1,0.219
SIGLEC5,0.219
NT5E,0.219
GLT8D2,0.219
TCL1B,0.219
SIRPA,0.218
TFF1,0.218
IL13,0.218
FABP5,0.218
IFNLR1,0.218
CRTAM,0.218
LY75,0.217
DPEP1,0.217
VNN2,0.217
PTPRM,0.216
GBP2,0.216
MCAM,0.216
JAM2,0.216
XG,0.216
ADA,0.215
CCL23,0.215
SAMD9L,0.215
CSF3,0.215
ERBB2,0.213
CCS,0.211
DCTPP1,0.211
AMFR,0.21
IDS,0.21
CCDC80,0.21
ATF2,0.21
FUT3_FUT5,0.21
PON2,0.209
PDCD5,0.209
VWC2,0.209
FGF23,0.209
BAG3,0.209
PTH1R,0.208
INHBC,0.207
SFTPA1,0.207
CKAP4,0.207
ADA2,0.207
IL10RA,0.206
IGFBP1,0.206
CPM,0.205
MGMT,0.205
RETN,0.204
TXNDC15,0.204
FAP,0.203
WISP2,0.203
CA4,0.202
IL1RL2,0.202
IL7R,0.202
LGALS4,0.201
PLXDC1,0.201
SLAMF8,0.201
METAP1,0.2
CD163,0.2
IKBKG,0.198
KDR,0.198
GP2,0.197
LEPR,0.197
NFKBIE,0.197
SPINK4,0.197
WFDC12,0.197
HSD11B1,0.197
MMP3,0.197
PLA2G2A,0.197
TNFRSF1A,0.197
SNX9,0.196
RABEPK,0.196
CD109,0.196
SPON2,0.196
IL3RA,0.196
TEK,0.195
FGF5,0.195
SIRT5,0.195
CD300LF,0.195
SCGB1A1,0.195
ITM2A,0.194
ENPP2,0.194
RET,0.193
THBS4,0.193
DPEP2,0.193
C1QTNF1,0.193
MMP12,0.193
IGFBP2,0.193
RTN4R,0.192
CCL14,0.192
CDH3,0.192
CST5,0.191
DTX3,0.191
TP53,0.191
BCL2L11,0.19
CARHSP1,0.19
CCL2,0.189
EDAR,0.188
CD6,0.188
SLIT2,0.187
ESM1,0.187
CLEC14A,0.186
ANGPTL7,0.186
CHL1,0.186
AHSP,0.185
S100A12,0.185
TPSAB1,0.185
UXS1,0.185
KYNU,0.184
SERPINB5,0.184
NRCAM,0.184
CA3,0.184
TREML2,0.184
FEN1,0.183
LXN,0.183
SFTPD,0.181
GCG,0.18
CKMT1A_CKMT1B,0.18
HMOX2,0.18
DRAXIN,0.18
PLA2G15,0.179
HMBS,0.179
CCL18,0.178
SPARC,0.178
ENTPD2,0.178
IL12A_IL12B,0.177
GDF2,0.177
GALNT2,0.177
IL18R1,0.177
AOC3,0.177
SCARB2,0.176
LRRN1,0.176
CHEK2,0.175
TYRO3,0.175
FOLR3,0.175
HEBP1,0.175
CRNN,0.174
SIGLEC15,0.174
NGF,0.173
HAO1,0.172
NCR1,0.171
CST6,0.171
CST3,0.171
ACP6,0.171
TNFRSF10C,0.17
AXL,0.17
GGH,0.17
SCG2,0.17
CCT5,0.17
CD302,0.169
AMBP,0.169
IPCEF1,0.169
SLAMF1,0.168
SIT1,0.168
TRIM21,0.168
FRZB,0.168
CA9,0.167
FETUB,0.167
ARSA,0.167
PODXL,0.167
CXCL12,0.166
DEFB4A_DEFB4B,0.166
PCDH1,0.165
CD59,0.164
FMNL1,0.164
MAPT,0.162
FLT3,0.161
DAPP1,0.161
IGFBP6,0.16
SPOCK1,0.16
GAS6,0.16
CALCA,0.159
FAM3B,0.159
PILRB,0.159
CDC27,0.159
CTSV,0.158
DKK3,0.158
TPPP3,0.158
TMPRSS15,0.158
EIF4EBP1,0.158
SMPD1,0.157
XCL1,0.157
MCFD2,0.157
TYMP,0.155
