,"{'C': np.float64(0.01), 'l1_ratio': 0.5}","{'C': np.float64(0.01), 'l1_ratio': 0.9}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.5}","{'C': np.float64(0.05623413251903491), 'l1_ratio': 0.9}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.5}","{'C': np.float64(0.31622776601683794), 'l1_ratio': 0.9}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.5}","{'C': np.float64(1.7782794100389228), 'l1_ratio': 0.9}","{'C': np.float64(10.0), 'l1_ratio': 0.5}","{'C': np.float64(10.0), 'l1_ratio': 0.9}"
AARSD1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.003,0.149,0.042
ABHD14B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
ABL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.021
ACAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.006,0.005
ACAN,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.143,0.052
ACE2,0.0,0.0,0.027,0.0,0.124,0.054,0.331,0.174,0.732,0.568
ACOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.019,0.005
ACP5,0.0,0.0,0.057,0.0,0.253,0.146,0.467,0.304,0.854,0.696
ACP6,0.0,0.0,0.0,0.0,0.004,0.0,0.021,0.005,0.171,0.085
ACTA2,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.072,0.007
ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.004,0.355,0.189
ACVRL1,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.293,0.084
ACY1,0.0,0.0,0.027,0.0,0.173,0.08,0.389,0.195,0.809,0.629
ADA,0.0,0.0,0.0,0.0,0.013,0.002,0.048,0.023,0.215,0.109
ADA2,0.0,0.0,0.0,0.0,0.004,0.001,0.034,0.011,0.207,0.105
ADAM15,0.0,0.0,0.0,0.0,0.055,0.013,0.174,0.094,0.56,0.369
ADAM22,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.059,0.013
ADAM23,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.125,0.04
ADAM8,0.0,0.0,0.002,0.0,0.003,0.002,0.013,0.004,0.093,0.04
ADAMTS13,0.0,0.0,0.0,0.0,0.041,0.012,0.153,0.078,0.508,0.338
ADAMTS15,0.0,0.0,0.002,0.0,0.099,0.02,0.273,0.138,0.729,0.525
ADAMTS16,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.002,0.376,0.183
ADAMTS8,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.118,0.042
ADCYAP1R1,0.0,0.0,0.0,0.0,0.031,0.005,0.176,0.092,0.506,0.348
ADGRB3,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.071,0.013
ADGRE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.003
ADGRG1,0.0,0.0,0.028,0.0,0.221,0.127,0.356,0.266,0.645,0.514
