,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.668,0.653,0.574,0.317,0.033,0.0,0.0,0.0,0.0,0.0
artificial.2,0.593,0.412,0.24,0.076,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.621,0.465,0.288,0.127,0.027,0.0,0.0,0.0,0.0,0.0
artificial.4,0.482,0.292,0.131,0.019,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.444,0.288,0.156,0.053,0.005,0.0,0.0,0.0,0.0,0.0
artificial.6,0.583,0.388,0.13,0.023,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.452,0.293,0.176,0.058,0.006,0.0,0.0,0.0,0.0,0.0
artificial.8,0.47,0.358,0.224,0.085,0.009,0.0,0.0,0.0,0.0,0.0
artificial.9,0.443,0.282,0.127,0.029,0.016,0.002,0.0,0.0,0.0,0.0
artificial.10,0.462,0.286,0.141,0.031,0.001,0.0,0.0,0.0,0.0,0.0
artificial.11,0.882,0.893,0.859,0.719,0.34,0.016,0.0,0.0,0.0,0.0
artificial.12,0.582,0.472,0.293,0.096,0.006,0.0,0.0,0.0,0.0,0.0
artificial.13,0.75,0.628,0.459,0.251,0.065,0.003,0.0,0.0,0.0,0.0
artificial.14,0.422,0.274,0.131,0.035,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.606,0.376,0.15,0.026,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.661,0.441,0.201,0.018,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.658,0.463,0.263,0.092,0.016,0.0,0.0,0.0,0.0,0.0
artificial.18,0.379,0.216,0.084,0.016,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.587,0.455,0.305,0.12,0.023,0.0,0.0,0.0,0.0,0.0
artificial.20,0.488,0.356,0.192,0.057,0.004,0.0,0.0,0.0,0.0,0.0
artificial.21,0.494,0.332,0.154,0.035,0.001,0.0,0.0,0.0,0.0,0.0
artificial.22,0.416,0.247,0.106,0.014,0.004,0.0,0.0,0.0,0.0,0.0
artificial.23,0.43,0.273,0.099,0.018,0.003,0.0,0.0,0.0,0.0,0.0
artificial.24,0.553,0.4,0.207,0.06,0.005,0.0,0.0,0.0,0.0,0.0
artificial.25,0.711,0.661,0.545,0.278,0.037,0.0,0.0,0.0,0.0,0.0
artificial.26,0.498,0.318,0.132,0.027,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.808,0.718,0.511,0.23,0.08,0.009,0.0,0.0,0.0,0.0
artificial.28,0.625,0.452,0.254,0.088,0.014,0.0,0.0,0.0,0.0,0.0
artificial.29,0.663,0.437,0.176,0.024,0.002,0.0,0.0,0.0,0.0,0.0
artificial.30,0.741,0.608,0.45,0.245,0.076,0.003,0.0,0.0,0.0,0.0
