,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.172,0.114,0.053,0.007,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.188,0.132,0.061,0.016,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.155,0.101,0.047,0.009,0.002,0.001,0.0,0.0,0.0,0.0
artificial.4,0.241,0.181,0.099,0.032,0.004,0.0,0.0,0.0,0.0,0.0
artificial.5,0.259,0.197,0.117,0.036,0.003,0.0,0.0,0.0,0.0,0.0
artificial.6,0.22,0.153,0.065,0.02,0.01,0.0,0.0,0.0,0.0,0.0
artificial.7,0.395,0.333,0.229,0.162,0.094,0.006,0.0,0.0,0.0,0.0
artificial.8,0.199,0.128,0.085,0.035,0.011,0.0,0.0,0.0,0.0,0.0
artificial.9,0.223,0.171,0.129,0.093,0.069,0.013,0.0,0.0,0.0,0.0
artificial.10,0.331,0.278,0.224,0.136,0.024,0.001,0.0,0.0,0.0,0.0
artificial.11,0.291,0.237,0.173,0.082,0.016,0.0,0.0,0.0,0.0,0.0
artificial.12,0.207,0.132,0.065,0.017,0.004,0.001,0.0,0.0,0.0,0.0
artificial.13,0.261,0.198,0.12,0.041,0.002,0.0,0.0,0.0,0.0,0.0
artificial.14,0.384,0.357,0.283,0.138,0.008,0.0,0.0,0.0,0.0,0.0
artificial.15,0.23,0.184,0.1,0.017,0.001,0.0,0.0,0.0,0.0,0.0
artificial.16,0.362,0.309,0.216,0.073,0.005,0.0,0.0,0.0,0.0,0.0
artificial.17,0.203,0.154,0.117,0.067,0.007,0.0,0.0,0.0,0.0,0.0
artificial.18,0.144,0.098,0.047,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.235,0.164,0.11,0.069,0.03,0.0,0.0,0.0,0.0,0.0
artificial.20,0.393,0.338,0.278,0.202,0.102,0.044,0.0,0.0,0.0,0.0
artificial.21,0.39,0.293,0.137,0.024,0.001,0.0,0.0,0.0,0.0,0.0
artificial.22,0.382,0.275,0.136,0.035,0.001,0.0,0.0,0.0,0.0,0.0
artificial.23,0.346,0.244,0.15,0.051,0.004,0.0,0.0,0.0,0.0,0.0
artificial.24,0.439,0.384,0.297,0.152,0.026,0.002,0.0,0.0,0.0,0.0
artificial.25,0.342,0.276,0.184,0.062,0.002,0.0,0.0,0.0,0.0,0.0
artificial.26,0.355,0.295,0.222,0.139,0.054,0.002,0.0,0.0,0.0,0.0
artificial.27,0.382,0.336,0.254,0.132,0.008,0.0,0.0,0.0,0.0,0.0
