,Max Proba
Granulocytes_pS6_LPS,0.724
CD4Tnaive_pSTAT5_LPS,0.645
Bcells_pS6_LPS,0.505
CD4Tregs_pSTAT3_LPS,0.47
CD4Teff_pSTAT3_LPS,0.416
MDSCs_pCREB_LPS,0.407
MDSCs_pSTAT3_LPS,0.339
CD8Tnaive_pSTAT3_LPS,0.338
CD4Tregs_pSTAT6_LPS,0.321
CD8Teff_pSTAT3_LPS,0.22
cMCs_HLADR_LPS,0.197
ncMCs_pS6_LPS,0.195
CD4Tregs_pSTAT5_LPS,0.191
ncMCs_HLADR_LPS,0.172
Granulocytes_IkB_LPS,0.149
pDCs_pSTAT3_LPS,0.147
intMCs_pCREB_LPS,0.138
CD4Tnaive_pSTAT6_LPS,0.132
intMCs_pS6_LPS,0.13
mDCs_HLADR_LPS,0.123
intMCs_HLADR_LPS,0.118
Granulocytes_pCREB_LPS,0.117
cMCs_pCREB_LPS,0.105
CD4Tnaive_pSTAT3_LPS,0.105
cMCs_pSTAT3_LPS,0.104
pDCs_pNFkB_LPS,0.104
pDCs_pSTAT5_LPS,0.103
mDCs_IkB_LPS,0.087
ncMCs_pp38_LPS,0.082
CD8Tnaive_pSTAT6_LPS,0.079
ncMCs_pNFkB_LPS,0.074
ncMCs_pSTAT1_LPS,0.06
ncMCs_pSTAT3_LPS,0.059
ncMCs_pERK_LPS,0.058
pDCs_pS6_LPS,0.053
mDCs_pS6_LPS,0.042
cMCs_pp38_LPS,0.032
mDCs_pSTAT3_LPS,0.028
cMCs_pMK2_LPS,0.015
Granulocytes_pSTAT1_LPS,0.014
intMCs_pMK2_LPS,0.011
CD8Tcells_Th1_pSTAT3_LPS,0.008
MDSCs_pS6_LPS,0.007
mDCs_pCREB_LPS,0.005
CD4Teff_pSTAT5_LPS,0.004
CD8Tcm_pSTAT5_LPS,0.003
CD4Tcm_pNFkB_LPS,0.002
CD56hiCD16negNK_pSTAT3_LPS,0.002
CD4Tem_CCR2pos_pSTAT5_LPS,0.002
MDSCs_pSTAT1_LPS,0.002
cMCs_pS6_LPS,0.001
NK_cells_CD11cneg_pSTAT3_LPS,0.001
CD4Tem_pSTAT3_LPS,0.001
mDCs_pSTAT1_LPS,0.001
CD8Teff_pSTAT1_LPS,0.001
pDCs_pSTAT1_LPS,0.001
mDCs_pp38_LPS,0.001
CD4Tnaive_pSTAT1_LPS,0.001
CD4negCD8negTcells_pSTAT1_LPS,0.001
mDCs_pSTAT6_LPS,0.001
CD8Tcells_Th1_pSTAT1_LPS,0.0
CD56hiCD16negNK_pSTAT1_LPS,0.0
CD4Tregs_pSTAT1_LPS,0.0
CD4Tem_pSTAT1_LPS,0.0
CD56loCD16posNK_pSTAT1_LPS,0.0
CD4Tcm_CCR2pos_pSTAT1_LPS,0.0
CD4Teff_pSTAT1_LPS,0.0
CD4Tcm_pSTAT1_LPS,0.0
Bcells_pSTAT1_LPS,0.0
CD8Tem_pCREB_LPS,0.0
CD8Tcm_CCR2pos_pCREB_LPS,0.0
CD4Tcm_CCR2pos_pCREB_LPS,0.0
CD4Tem_CCR2pos_pSTAT1_LPS,0.0
CD8Tem_pSTAT1_LPS,0.0
CD8Tem_CCR2pos_pSTAT1_LPS,0.0
CD8Tem_CCR2pos_pSTAT3_LPS,0.0
CD8Tem_pSTAT3_LPS,0.0
CD8Tcm_CCR2pos_pSTAT3_LPS,0.0
CD8Tcm_pSTAT3_LPS,0.0
CD56loCD16posNK_pSTAT3_LPS,0.0
CD4Tcm_CCR2pos_pSTAT3_LPS,0.0
CD4Tem_CCR2pos_pSTAT3_LPS,0.0
CD4negCD8negTcells_pSTAT3_LPS,0.0
CD4Tcm_pSTAT3_LPS,0.0
CD8Tnaive_pSTAT1_LPS,0.0
CD8Tcm_CCR2pos_pSTAT1_LPS,0.0
NK_cells_CD11cpos_pSTAT1_LPS,0.0
intMCs_pSTAT1_LPS,0.0
cMCs_pSTAT1_LPS,0.0
NKT_pSTAT1_LPS,0.0
Bcells_pSTAT3_LPS,0.0
CD8Tcm_pSTAT1_LPS,0.0
CD4Tcm_CCR2pos_pSTAT5_LPS,0.0
CD4Tem_pSTAT5_LPS,0.0
intMCs_pSTAT3_LPS,0.0
NKT_pSTAT3_LPS,0.0
NK_cells_CD11cpos_pSTAT3_LPS,0.0
CD4Tcm_pSTAT5_LPS,0.0
CD8Tcm_CCR2pos_pSTAT5_LPS,0.0
Bcells_pSTAT6_LPS,0.0
intMCs_pSTAT5_LPS,0.0
cMCs_pSTAT5_LPS,0.0
CD8Tnaive_pSTAT5_LPS,0.0
CD4Tcm_pSTAT6_LPS,0.0
cMCs_pSTAT6_LPS,0.0
intMCs_pSTAT6_LPS,0.0
pDCs_pSTAT6_LPS,0.0
