,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000586)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.381,0.326,0.189,0.084,0.034,0.001,0.0,0.0,0.0,0.0
artificial.2,0.191,0.112,0.059,0.021,0.003,0.0,0.0,0.0,0.0,0.0
artificial.3,0.131,0.061,0.029,0.007,0.001,0.0,0.0,0.0,0.0,0.0
artificial.4,0.01,0.008,0.007,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.247,0.183,0.149,0.146,0.123,0.014,0.0,0.0,0.0,0.0
artificial.6,0.201,0.138,0.063,0.002,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.023,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.161,0.116,0.056,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.201,0.131,0.057,0.019,0.004,0.0,0.0,0.0,0.0,0.0
artificial.10,0.028,0.016,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.017,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.063,0.037,0.012,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.346,0.239,0.138,0.038,0.001,0.0,0.0,0.0,0.0,0.0
artificial.14,0.019,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.414,0.296,0.116,0.013,0.001,0.0,0.0,0.0,0.0,0.0
artificial.16,0.457,0.32,0.171,0.067,0.02,0.0,0.0,0.0,0.0,0.0
artificial.17,0.282,0.201,0.121,0.061,0.017,0.0,0.0,0.0,0.0,0.0
artificial.18,0.085,0.064,0.049,0.014,0.001,0.0,0.0,0.0,0.0,0.0
artificial.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.188,0.117,0.049,0.008,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.233,0.121,0.033,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.077,0.022,0.005,0.001,0.001,0.0,0.0,0.0,0.0,0.0
artificial.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.071,0.032,0.014,0.003,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.06,0.03,0.02,0.011,0.005,0.0,0.0,0.0,0.0,0.0
artificial.28,0.422,0.365,0.275,0.146,0.084,0.005,0.0,0.0,0.0,0.0
artificial.29,0.547,0.547,0.531,0.429,0.126,0.002,0.0,0.0,0.0,0.0
artificial.30,0.052,0.025,0.01,0.003,0.001,0.0,0.0,0.0,0.0,0.0
artificial.31,0.002,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.32,0.224,0.149,0.078,0.017,0.002,0.0,0.0,0.0,0.0,0.0
artificial.33,0.215,0.136,0.068,0.032,0.007,0.0,0.0,0.0,0.0,0.0
