,Max Proba
artificial.111,0.939
artificial.95,0.894
artificial.85,0.87
artificial.34,0.867
artificial.109,0.833
artificial.101,0.805
artificial.53,0.772
artificial.126,0.765
artificial.14,0.746
artificial.99,0.734
artificial.27,0.723
artificial.69,0.716
artificial.33,0.714
artificial.7,0.713
artificial.10,0.71
artificial.52,0.708
artificial.110,0.703
artificial.11,0.687
artificial.16,0.682
artificial.129,0.682
artificial.20,0.678
artificial.38,0.67
artificial.47,0.664
artificial.37,0.654
artificial.63,0.648
artificial.24,0.636
artificial.41,0.629
artificial.57,0.625
artificial.26,0.618
artificial.54,0.616
artificial.128,0.607
artificial.21,0.6
artificial.113,0.598
artificial.118,0.594
artificial.25,0.59
artificial.9,0.586
artificial.125,0.581
artificial.122,0.555
artificial.29,0.555
artificial.112,0.542
artificial.79,0.539
artificial.93,0.531
artificial.114,0.525
artificial.17,0.52
artificial.45,0.519
artificial.51,0.513
artificial.94,0.511
artificial.120,0.51
artificial.19,0.507
artificial.13,0.501
artificial.56,0.501
artificial.132,0.491
artificial.81,0.49
artificial.92,0.49
artificial.23,0.488
artificial.39,0.486
artificial.22,0.482
artificial.44,0.482
artificial.64,0.469
artificial.119,0.464
artificial.91,0.463
artificial.78,0.463
artificial.72,0.461
artificial.96,0.451
artificial.98,0.451
artificial.84,0.45
artificial.82,0.45
artificial.55,0.446
artificial.124,0.444
artificial.71,0.443
artificial.36,0.442
artificial.4,0.439
artificial.123,0.438
artificial.73,0.435
artificial.107,0.43
artificial.74,0.43
artificial.5,0.428
artificial.62,0.428
artificial.40,0.428
artificial.43,0.427
artificial.49,0.425
artificial.30,0.423
artificial.42,0.422
artificial.6,0.415
artificial.116,0.414
artificial.100,0.412
artificial.15,0.411
artificial.103,0.399
artificial.67,0.398
artificial.68,0.396
artificial.97,0.395
artificial.8,0.393
artificial.117,0.388
artificial.46,0.383
artificial.75,0.377
artificial.60,0.377
artificial.31,0.374
artificial.133,0.371
artificial.121,0.371
artificial.105,0.371
artificial.76,0.368
artificial.108,0.367
artificial.2,0.364
artificial.86,0.36
artificial.48,0.357
artificial.66,0.356
artificial.90,0.356
artificial.28,0.355
artificial.35,0.353
artificial.61,0.353
artificial.130,0.349
artificial.102,0.348
artificial.88,0.344
artificial.127,0.344
artificial.12,0.343
artificial.87,0.342
artificial.58,0.341
artificial.83,0.34
artificial.32,0.335
artificial.106,0.334
artificial.3,0.334
artificial.59,0.331
artificial.65,0.327
artificial.89,0.327
artificial.70,0.326
artificial.131,0.324
artificial.1,0.318
artificial.104,0.317
artificial.77,0.316
artificial.50,0.303
artificial.18,0.3
artificial.115,0.29
artificial.80,0.284
