,Max Proba
artificial.9,0.899
artificial.8,0.859
artificial.30,0.846
artificial.32,0.833
artificial.23,0.789
artificial.37,0.777
artificial.29,0.755
artificial.26,0.715
artificial.38,0.686
artificial.4,0.674
artificial.21,0.659
artificial.33,0.636
artificial.41,0.635
artificial.16,0.61
artificial.17,0.6
artificial.27,0.567
artificial.18,0.564
artificial.2,0.538
artificial.24,0.522
artificial.39,0.515
artificial.11,0.504
artificial.13,0.501
artificial.7,0.495
artificial.20,0.484
artificial.12,0.475
artificial.15,0.474
artificial.6,0.468
artificial.35,0.466
artificial.22,0.46
artificial.36,0.455
artificial.10,0.454
artificial.19,0.442
artificial.31,0.44
artificial.28,0.427
artificial.40,0.423
artificial.14,0.423
artificial.5,0.417
artificial.3,0.409
artificial.25,0.398
artificial.1,0.371
artificial.34,0.368
