,Max Proba
CD4Tnaive_pSTAT5_PI,0.996
Granulocytes_pS6_PI,0.987
CD8Tcm_CCR2pos_pNFkB_PI,0.961
CD8Tcells_Th1_pS6_PI,0.924
CD4Tregs_pSTAT5_PI,0.896
NK_cells_CD11cpos_HLADR_PI,0.872
CD4Tnaive_pSTAT3_PI,0.804
Granulocytes_pMK2_PI,0.802
ncMCs_pMK2_PI,0.754
CD4Teff_pSTAT5_PI,0.729
mDCs_pCREB_PI,0.724
CD4Tregs_pNFkB_PI,0.717
pDCs_pMK2_PI,0.711
MDSCs_pSTAT3_PI,0.695
CD4negCD8negTcells_pMK2_PI,0.676
CD8Tnaive_pSTAT5_PI,0.668
cMCs_pCREB_PI,0.664
CD8Teff_pSTAT5_PI,0.633
CD8Teff_HLADR_PI,0.622
MDSCs_pCREB_PI,0.592
Bcells_pS6_PI,0.566
CD4Teff_pSTAT3_PI,0.548
CD8Tcells_Th1_pNFkB_PI,0.524
NKT_pSTAT5_PI,0.503
mDCs_HLADR_PI,0.498
CD8Tcm_pNFkB_PI,0.497
NK_cells_CD11cpos_pS6_PI,0.495
intMCs_pSTAT3_PI,0.485
cMCs_HLADR_PI,0.484
Granulocytes_pCREB_PI,0.466
NKT_pERK_PI,0.429
pDCs_pNFkB_PI,0.428
CD4Teff_pS6_PI,0.422
MDSCs_pSTAT5_PI,0.399
Granulocytes_pSTAT3_PI,0.394
CD4Tcm_CCR2pos_CD25_PI,0.387
pDCs_pERK_PI,0.382
CD56hiCD16negNK_pNFkB_PI,0.371
CD4negCD8negTcells_pNFkB_PI,0.365
CD8Tcm_CCR2pos_pERK_PI,0.356
ncMCs_pS6_PI,0.351
CD4Tnaive_pSTAT6_PI,0.347
CD8Tem_pS6_PI,0.343
NKT_pNFkB_PI,0.336
NKT_pS6_PI,0.336
NKT_CD25_PI,0.331
CD4Teff_pERK_PI,0.329
CD4negCD8negTcells_pERK_PI,0.328
intMCs_pCREB_PI,0.32
CD8Tcells_Th1_pSTAT5_PI,0.314
intMCs_HLADR_PI,0.312
CD8Tem_CCR2pos_pERK_PI,0.312
CD56loCD16posNK_pS6_PI,0.308
ncMCs_pSTAT3_PI,0.307
pDCs_HLADR_PI,0.303
CD4Teff_pSTAT6_PI,0.297
pDCs_pS6_PI,0.286
NKT_pSTAT6_PI,0.283
intMCs_pS6_PI,0.283
CD4Tcm_pSTAT3_PI,0.281
intMCs_pSTAT6_PI,0.28
mDCs_pSTAT6_PI,0.28
ncMCs_HLADR_PI,0.271
NK_cells_CD11cneg_pNFkB_PI,0.26
MDSCs_pSTAT1_PI,0.26
cMCs_pSTAT6_PI,0.254
MDSCs_pSTAT6_PI,0.253
intMCs_IkB_PI,0.248
CD56loCD16posNK_pNFkB_PI,0.247
CD8Tnaive_pSTAT3_PI,0.246
CD4Tem_CCR2pos_pS6_PI,0.238
cMCs_pSTAT1_PI,0.232
mDCs_pSTAT1_PI,0.231
CD8Teff_pNFkB_PI,0.23
intMCs_pMK2_PI,0.23
Granulocytes_pNFkB_PI,0.227
pDCs_IkB_PI,0.227
CD4Tcm_pSTAT6_PI,0.226
CD4Tem_CCR2pos_pSTAT6_PI,0.224
mDCs_pSTAT5_PI,0.222
CD4Tem_CCR2pos_pNFkB_PI,0.221
cMCs_pSTAT5_PI,0.217
CD56hiCD16negNK_pS6_PI,0.216
ncMCs_pNFkB_PI,0.215
cMCs_IkB_PI,0.213
ncMCs_pCREB_PI,0.211
CD4Teff_pMK2_PI,0.207
CD4Tcm_CCR2pos_pSTAT6_PI,0.204
CD8Tcm_pERK_PI,0.187
CD8Tcm_CCR2pos_pS6_PI,0.187
CD8Tcells_Th1_pERK_PI,0.184
pDCs_pCREB_PI,0.181
CD8Tem_CCR2pos_pNFkB_PI,0.18
CD8Tem_CCR2pos_pCREB_PI,0.176
MDSCs_pNFkB_PI,0.175
Bcells_pSTAT6_PI,0.167
CD4Tregs_pSTAT3_PI,0.167
CD8Tcm_CCR2pos_pCREB_PI,0.165
CD8Tem_pNFkB_PI,0.164
NK_cells_CD11cpos_pNFkB_PI,0.163
intMCs_pSTAT5_PI,0.16
intMCs_pSTAT1_PI,0.15
CD4Tem_CCR2pos_pERK_PI,0.145
intMCs_pNFkB_PI,0.145
CD4Tcm_CCR2pos_pS6_PI,0.141
CD4Tem_pNFkB_PI,0.136
CD8Teff_pERK_PI,0.136
Bcells_pNFkB_PI,0.133
CD8Tem_CCR2pos_pS6_PI,0.131
CD4negCD8negTcells_pCREB_PI,0.126
NK_cells_CD11cneg_pS6_PI,0.117
ncMCs_pSTAT5_PI,0.103
CD4Tem_pERK_PI,0.103
CD8Tnaive_pS6_PI,0.093
CD4Tem_pS6_PI,0.077
MDSCs_pS6_PI,0.067
CD4Tregs_pS6_PI,0.066
mDCs_pS6_PI,0.052
CD8Teff_pS6_PI,0.052
CD8Tem_pERK_PI,0.047
CD8Tcm_pS6_PI,0.046
CD4negCD8negTcells_pS6_PI,0.044
cMCs_pS6_PI,0.028
CD4Tnaive_pS6_PI,0.015
CD4Tcm_pS6_PI,0.006
