,Max Proba
Granulocytes_pS6_GMCSF,0.942
CD4Tnaive_pSTAT3_GMCSF,0.828
intMCs_pCREB_GMCSF,0.761
ncMCs_pS6_GMCSF,0.722
pDCs_pNFkB_GMCSF,0.648
ncMCs_pNFkB_GMCSF,0.645
cMCs_HLADR_GMCSF,0.637
Granulocytes_pSTAT5_GMCSF,0.632
MDSCs_pNFkB_GMCSF,0.596
MDSCs_pSTAT3_GMCSF,0.557
intMCs_pS6_GMCSF,0.523
pDCs_pSTAT5_GMCSF,0.493
Granulocytes_pSTAT3_GMCSF,0.45
Granulocytes_pNFkB_GMCSF,0.367
pDCs_pS6_GMCSF,0.339
intMCs_pNFkB_GMCSF,0.189
MDSCs_pSTAT5_GMCSF,0.161
mDCs_pS6_GMCSF,0.149
ncMCs_pSTAT5_GMCSF,0.13
pDCs_pSTAT6_GMCSF,0.097
MDSCs_pS6_GMCSF,0.084
cMCs_pS6_GMCSF,0.072
mDCs_pSTAT5_GMCSF,0.031
mDCs_pSTAT6_GMCSF,0.028
intMCs_pERK_GMCSF,0.024
cMCs_pSTAT6_GMCSF,0.017
intMCs_pSTAT6_GMCSF,0.014
intMCs_pSTAT5_GMCSF,0.013
MDSCs_pSTAT6_GMCSF,0.01
cMCs_pSTAT5_GMCSF,0.005
