,Max Proba
artificial.71,0.697
artificial.72,0.686
artificial.112,0.669
artificial.39,0.652
artificial.37,0.592
artificial.38,0.59
artificial.1,0.565
artificial.127,0.547
artificial.77,0.541
artificial.78,0.498
artificial.61,0.472
artificial.81,0.405
artificial.99,0.404
artificial.110,0.399
artificial.47,0.397
artificial.95,0.391
artificial.96,0.381
artificial.59,0.363
artificial.98,0.362
artificial.60,0.349
artificial.124,0.339
artificial.109,0.328
artificial.113,0.322
artificial.40,0.32
artificial.33,0.315
artificial.14,0.308
artificial.46,0.305
artificial.92,0.304
artificial.6,0.304
artificial.55,0.304
artificial.133,0.293
artificial.125,0.291
artificial.117,0.286
artificial.51,0.281
artificial.52,0.28
artificial.73,0.278
artificial.82,0.272
artificial.57,0.268
artificial.56,0.268
artificial.132,0.266
artificial.70,0.259
artificial.118,0.258
artificial.89,0.253
artificial.100,0.252
artificial.21,0.252
artificial.13,0.249
artificial.88,0.244
artificial.111,0.242
artificial.54,0.241
artificial.17,0.24
artificial.34,0.238
artificial.45,0.236
artificial.49,0.234
artificial.128,0.229
artificial.79,0.228
artificial.122,0.225
artificial.114,0.224
artificial.23,0.221
artificial.41,0.22
artificial.24,0.219
artificial.94,0.215
artificial.26,0.213
artificial.32,0.212
artificial.36,0.211
artificial.29,0.211
artificial.10,0.211
artificial.126,0.209
artificial.50,0.206
artificial.7,0.204
artificial.35,0.203
artificial.63,0.203
artificial.90,0.202
artificial.115,0.2
artificial.43,0.2
artificial.30,0.199
artificial.91,0.198
artificial.116,0.197
artificial.53,0.195
artificial.9,0.194
artificial.11,0.193
artificial.19,0.191
artificial.31,0.188
artificial.93,0.187
artificial.76,0.186
artificial.86,0.185
artificial.16,0.183
artificial.131,0.183
artificial.66,0.183
artificial.12,0.179
artificial.106,0.179
artificial.27,0.179
artificial.18,0.178
artificial.42,0.177
artificial.105,0.176
artificial.97,0.176
artificial.83,0.172
artificial.64,0.171
artificial.101,0.17
artificial.67,0.166
artificial.28,0.166
artificial.84,0.162
artificial.120,0.161
artificial.48,0.161
artificial.119,0.16
artificial.15,0.158
artificial.8,0.156
artificial.107,0.154
artificial.2,0.154
artificial.20,0.153
artificial.5,0.151
artificial.123,0.15
artificial.65,0.15
artificial.22,0.149
artificial.68,0.146
artificial.58,0.143
artificial.104,0.142
artificial.108,0.142
artificial.4,0.14
artificial.75,0.139
artificial.44,0.137
artificial.130,0.136
artificial.69,0.136
artificial.129,0.136
artificial.103,0.136
artificial.62,0.131
artificial.85,0.13
artificial.3,0.121
artificial.25,0.121
artificial.87,0.113
artificial.121,0.112
artificial.102,0.106
artificial.74,0.104
artificial.80,0.072
