,Max Proba
artificial.15,0.915
artificial.7,0.674
artificial.25,0.556
artificial.14,0.524
artificial.9,0.488
artificial.6,0.485
artificial.19,0.475
artificial.11,0.469
artificial.1,0.429
artificial.21,0.406
artificial.13,0.395
artificial.12,0.387
artificial.17,0.366
artificial.22,0.363
artificial.10,0.316
artificial.8,0.308
artificial.2,0.234
artificial.20,0.212
artificial.26,0.207
artificial.24,0.194
artificial.23,0.168
artificial.4,0.152
artificial.18,0.105
artificial.5,0.029
artificial.3,0.028
artificial.16,0.014
