,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.639,0.517,0.319,0.117,0.025,0.0,0.0,0.0,0.0,0.0
artificial.2,0.186,0.12,0.057,0.013,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.162,0.1,0.06,0.024,0.012,0.001,0.0,0.0,0.0,0.0
artificial.4,0.185,0.106,0.037,0.011,0.002,0.001,0.0,0.0,0.0,0.0
artificial.5,0.188,0.097,0.029,0.005,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.357,0.254,0.121,0.017,0.001,0.0,0.0,0.0,0.0,0.0
artificial.7,0.26,0.17,0.084,0.022,0.001,0.0,0.0,0.0,0.0,0.0
artificial.8,0.211,0.131,0.067,0.02,0.004,0.001,0.0,0.0,0.0,0.0
artificial.9,0.238,0.122,0.044,0.04,0.025,0.004,0.0,0.0,0.0,0.0
artificial.10,0.284,0.213,0.141,0.045,0.005,0.0,0.0,0.0,0.0,0.0
artificial.11,0.231,0.156,0.084,0.027,0.005,0.0,0.0,0.0,0.0,0.0
artificial.12,0.228,0.153,0.091,0.031,0.003,0.0,0.0,0.0,0.0,0.0
artificial.13,0.314,0.253,0.153,0.07,0.021,0.003,0.0,0.0,0.0,0.0
artificial.14,0.379,0.325,0.255,0.142,0.031,0.005,0.0,0.0,0.0,0.0
artificial.15,0.198,0.127,0.057,0.015,0.002,0.001,0.0,0.0,0.0,0.0
artificial.16,0.221,0.15,0.069,0.022,0.005,0.002,0.0,0.0,0.0,0.0
artificial.17,0.305,0.254,0.159,0.081,0.008,0.0,0.0,0.0,0.0,0.0
artificial.18,0.215,0.151,0.094,0.057,0.03,0.0,0.0,0.0,0.0,0.0
artificial.19,0.242,0.161,0.088,0.025,0.002,0.0,0.0,0.0,0.0,0.0
artificial.20,0.194,0.117,0.075,0.048,0.025,0.007,0.0,0.0,0.0,0.0
artificial.21,0.318,0.236,0.146,0.047,0.006,0.0,0.0,0.0,0.0,0.0
artificial.22,0.194,0.118,0.063,0.024,0.001,0.0,0.0,0.0,0.0,0.0
artificial.23,0.285,0.18,0.099,0.052,0.015,0.001,0.0,0.0,0.0,0.0
artificial.24,0.276,0.223,0.154,0.064,0.014,0.0,0.0,0.0,0.0,0.0
artificial.25,0.155,0.078,0.032,0.006,0.001,0.0,0.0,0.0,0.0,0.0
artificial.26,0.266,0.225,0.148,0.069,0.017,0.0,0.0,0.0,0.0,0.0
artificial.27,0.233,0.198,0.16,0.116,0.065,0.018,0.0,0.0,0.0,0.0
artificial.28,0.22,0.125,0.051,0.011,0.001,0.0,0.0,0.0,0.0,0.0
artificial.29,0.269,0.2,0.105,0.048,0.008,0.0,0.0,0.0,0.0,0.0
artificial.30,0.252,0.211,0.152,0.079,0.027,0.006,0.0,0.0,0.0,0.0
artificial.31,0.229,0.154,0.068,0.018,0.001,0.0,0.0,0.0,0.0,0.0
artificial.32,0.247,0.163,0.079,0.023,0.002,0.0,0.0,0.0,0.0,0.0
artificial.33,0.389,0.291,0.194,0.088,0.015,0.0,0.0,0.0,0.0,0.0
artificial.34,0.289,0.208,0.122,0.031,0.005,0.0,0.0,0.0,0.0,0.0
artificial.35,0.238,0.16,0.095,0.032,0.011,0.0,0.0,0.0,0.0,0.0
