,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.293,0.235,0.146,0.06,0.007,0.0,0.0,0.0,0.0,0.0
artificial.2,0.19,0.117,0.077,0.06,0.056,0.009,0.0,0.0,0.0,0.0
artificial.3,0.406,0.261,0.087,0.017,0.004,0.0,0.0,0.0,0.0,0.0
artificial.4,0.369,0.302,0.244,0.192,0.082,0.001,0.0,0.0,0.0,0.0
artificial.5,0.26,0.148,0.056,0.015,0.001,0.0,0.0,0.0,0.0,0.0
artificial.6,0.504,0.472,0.396,0.244,0.069,0.003,0.0,0.0,0.0,0.0
artificial.7,0.105,0.056,0.026,0.023,0.017,0.006,0.0,0.0,0.0,0.0
artificial.8,0.135,0.079,0.025,0.009,0.001,0.0,0.0,0.0,0.0,0.0
artificial.9,0.315,0.285,0.244,0.157,0.036,0.001,0.0,0.0,0.0,0.0
artificial.10,0.251,0.175,0.085,0.013,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.328,0.23,0.14,0.053,0.007,0.0,0.0,0.0,0.0,0.0
artificial.12,0.143,0.077,0.032,0.012,0.004,0.0,0.0,0.0,0.0,0.0
artificial.13,0.224,0.142,0.072,0.022,0.01,0.0,0.0,0.0,0.0,0.0
artificial.14,0.243,0.139,0.048,0.004,0.001,0.0,0.0,0.0,0.0,0.0
artificial.15,0.171,0.114,0.049,0.017,0.003,0.0,0.0,0.0,0.0,0.0
artificial.16,0.153,0.084,0.03,0.004,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.201,0.122,0.059,0.028,0.011,0.0,0.0,0.0,0.0,0.0
artificial.18,0.324,0.26,0.168,0.099,0.025,0.0,0.0,0.0,0.0,0.0
artificial.19,0.12,0.075,0.026,0.012,0.011,0.014,0.0,0.0,0.0,0.0
artificial.20,0.173,0.085,0.025,0.012,0.001,0.0,0.0,0.0,0.0,0.0
artificial.21,0.421,0.399,0.367,0.243,0.13,0.016,0.0,0.0,0.0,0.0
artificial.22,0.424,0.37,0.258,0.121,0.018,0.0,0.0,0.0,0.0,0.0
artificial.23,0.253,0.178,0.104,0.048,0.011,0.0,0.0,0.0,0.0,0.0
