,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
cMCs_HLADR_GMCSF,0.19200067213645003,0.21948588759535576,0.2257965291302599,0.22871561294290796,0.24244678793112487,0.11260620117652968,0.1604418002587958,0.16651306466565516,0.18329274474296442,0.21740043646286777,0.11732352995001782,0.20937034104692748,0.22874136285386273,0.25381148988907626,0.2947606380227752
intMCs_pCREB_GMCSF,0.41958800312098715,0.45671215802448717,0.4524192564141676,0.45098625215608024,0.4548382013615958,0.39859988020659376,0.37396439555390576,0.35675079714490604,0.33087563113511503,0.30609891753089696,0.3662957500711714,0.36624840611967113,0.3600228429626396,0.34308051183252924,0.334483094946255
intMCs_pERK_GMCSF,0.33721583188697724,0.3398210803941369,0.3332185026707991,0.320743006240169,0.3069166428287394,0.26152532408821144,0.2624310278134834,0.25799503499957493,0.25833818775621875,0.26078972672946044,0.23412622707539352,0.2935413833683399,0.2973196421378234,0.3102936231645767,0.3223210624546377
Granulocytes_pNFkB_GMCSF,0.3939137621244988,0.35527330116943995,0.34679384534297525,0.3462681656300284,0.32579901515000276,0.2395224481611894,0.25918198126327024,0.263846383884029,0.28020596254571645,0.30279947331341217,0.23015673894910293,0.30982249274767015,0.3276647096543801,0.33965594978065144,0.36578017323737516
intMCs_pNFkB_GMCSF,0.5102925863028585,0.5174895789395036,0.4937923845474309,0.4890327939332267,0.4807411474002481,0.41639141909746136,0.44304512450838424,0.4296449512408636,0.4135438635213547,0.38714286966071676,0.404203652605252,0.4297032510743642,0.429646895534567,0.4286662919115758,0.4181874322265204
ncMCs_pNFkB_GMCSF,0.47393269440416147,0.4407366717657748,0.4197440424338705,0.41232706485785087,0.39960376596167996,0.26809155125775613,0.30248443633177236,0.31090170120165483,0.31473901988218395,0.3399674471527443,0.21917990690058378,0.3669109827043026,0.3806318659838108,0.3942465135435966,0.4132578815798402
pDCs_pNFkB_GMCSF,0.4939350147018189,0.4407334545554286,0.4273318216841394,0.40200909458696216,0.3893878846000768,0.45613890882178876,0.41030981167985026,0.3887492811955311,0.364242096501778,0.3406856916001683,0.41348816940315525,0.44711688756281376,0.4421906887933382,0.43534142506765217,0.41508094564980613
Granulocytes_pS6_GMCSF,0.5966516389780904,0.568375670236681,0.5609830047419233,0.5550815518879476,0.5525231909667094,0.4308223150141093,0.46342562494090966,0.45954008265788276,0.4617984434149399,0.47085753531377994,0.3901767535083645,0.45506341799317346,0.46197252293951024,0.4611869444563272,0.4780081666108132
MDSCs_pS6_GMCSF,0.46786065433762847,0.4032304799570288,0.38182784969136035,0.372018360846272,0.34991116686369944,0.293377711064461,0.2954559866235623,0.2910956421440193,0.29022985446750865,0.28713214315379665,0.2599058472867493,0.29964084179912265,0.3086090619403564,0.3156838396012079,0.32406348734696844
cMCs_pS6_GMCSF,0.512519215635572,0.41333809840113644,0.38818819840035396,0.35940637495514477,0.3120240368712439,0.32687294926052174,0.3453204481073792,0.344137728800526,0.3499386309070527,0.33604541794616216,0.3055044463346743,0.3864300140554678,0.3773812213611157,0.3860970398327257,0.3970380974583865
