,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4Tcm_CCR2pos_CD25_PI,0.12241380809349171,0.16799538925332086,0.1845254883564696,0.19019542097503087,0.1988075033140854,0.09044394963224724,0.12651470817333005,0.13281048168904358,0.14284560273757607,0.1703492979550026,0.09905608637651588,0.14533409491664348,0.156310794933554,0.17024059816958195,0.20262151522372088
NKT_CD25_PI,0.11807052870449951,0.13478086725087232,0.14226972860013926,0.137384280427869,0.13784294813115852,0.30171080853202,0.19630925416103584,0.18061584077377496,0.16196765610320915,0.16657247130666136,0.30359461489756867,0.237953247102437,0.2334185707344392,0.22138519883268204,0.23176055800997286
CD8Teff_HLADR_PI,0.21481934077841938,0.27520623798101723,0.28375496909316156,0.2948092180340379,0.3059458490291112,0.15877315781411067,0.19302611876872808,0.21226586161942487,0.23615175467212474,0.27814455092430124,0.15730953673153444,0.26652619756808776,0.2898701217904827,0.31726926550235557,0.3440349557053962
NK_cells_CD11cpos_HLADR_PI,0.19712691548646458,0.22419769575226484,0.2218271879545399,0.22361133879928724,0.22045825627823937,0.1632410992390728,0.1778532624304161,0.19193631669462147,0.22237262506494426,0.28221833556970394,0.1854024091506708,0.27915118127887273,0.3001254926906748,0.3390505387734111,0.3713730964512924
cMCs_HLADR_PI,0.18447816876771655,0.19182778124070515,0.1813355359292369,0.1774641401447352,0.18011064737279656,0.15258671465148252,0.15792853883625338,0.17274775778376072,0.19426750074179652,0.2296295729819399,0.147570579791551,0.24415059868999572,0.27387187576294336,0.29653237660411436,0.33058214019313986
intMCs_HLADR_PI,0.2132043836788349,0.22766875633051717,0.21734472904742613,0.2108568187767353,0.20381611327722046,0.22919595510829704,0.2150736618642917,0.20910967020316348,0.22030476418380426,0.23996430841940597,0.24812612279342008,0.2962963372544087,0.30238509404276936,0.3324803940468758,0.3523287594598123
mDCs_HLADR_PI,0.3431471705805096,0.30550722781705186,0.2916191796719185,0.2792614049307057,0.24273532847955204,0.2993078295138671,0.25237397971418385,0.2552386653097886,0.26126790426628804,0.2843315230640292,0.25142253661991953,0.32561031587732703,0.33598853957842323,0.34348275917480553,0.35379965566983884
ncMCs_HLADR_PI,0.27575747268299405,0.23796067397023618,0.22347767724453566,0.21040348000961734,0.2101332664019623,0.24836540883172456,0.2054761362584942,0.22012845983970342,0.2460651428716044,0.2842785898569751,0.22217798371302816,0.31662417082016586,0.33888312919673375,0.3477923926844288,0.380487978693271
pDCs_HLADR_PI,0.3080373260890678,0.3156079155962229,0.3188933945642389,0.29512745861447487,0.2822120780676181,0.3494315033431456,0.2709115134517104,0.25074776084335876,0.2535833533993335,0.24494570349708605,0.36627853122599213,0.33191206857787503,0.29955834814704296,0.3015787584995865,0.30221264471461207
intMCs_IkB_PI,0.23350949141730026,0.19303313767742117,0.1575944833352534,0.15286164770663638,0.11975399060988097,0.18394123892570236,0.1668678004500341,0.17782653114806435,0.18305083562944183,0.19416950031007132,0.1993210815223987,0.22914326804392643,0.24227698308419254,0.2527528289490854,0.26052798678062133
CD4negCD8negTcells_pCREB_PI,0.23604204161456271,0.22231913021248828,0.2058589425489939,0.21083938831683566,0.18466351450664903,0.1844473477373365,0.20064147225395632,0.20713257024049708,0.23028227137063675,0.23599688119474038,0.20537470999278842,0.2843573086400053,0.31318093523603824,0.32528012364930814,0.3636080047194949
CD8Tcm_CCR2pos_pCREB_PI,0.3027042353609996,0.25213643526023566,0.24082349092187996,0.2184011736184776,0.1869960093296749,0.2624885499770059,0.2386511597605269,0.24191904445968282,0.2507992659537159,0.21524428260821513,0.2502989132241653,0.2805513083259444,0.29126528771221033,0.2806320861882624,0.2870387552851866
CD8Tem_CCR2pos_pCREB_PI,0.34965394671866656,0.30321840431320846,0.28929737295231317,0.2808262728148847,0.26126153602734425,0.29901232921223087,0.2792780909397207,0.2791761493163379,0.25947986690562413,0.23806548629482777,0.28195763939546253,0.2932297974464241,0.29271635505338917,0.2778661396482662,0.25832304546134843
Granulocytes_pCREB_PI,0.2489721154465212,0.20805219667730207,0.1850845068743534,0.16650848680818564,0.15368122053817979,0.20059858175938308,0.1998283981159979,0.20989642763503188,0.21846877327472816,0.2213281550422251,0.19067240400556096,0.26810333592229013,0.2702921079959001,0.29351291913352257,0.30049089146069513
MDSCs_pCREB_PI,0.2966292208028892,0.2681034873841511,0.25517959420781744,0.24513277446719972,0.21236027836463825,0.23097021957138286,0.22644917815327767,0.22950996173547245,0.22737375467245155,0.22311650138241035,0.2210571499105055,0.2834335823821646,0.29512048731745527,0.28075711234664896,0.2722375841083937
