,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.6803125844309252,0.5621324192225828,0.5132159775859532,0.4822058749295329,0.44581465046537183,0.4185295537179556,0.39424023432464445,0.3997588138480212,0.39564347015847734,0.4041058680662239,0.3892463960761915,0.44845669754069084,0.4597196379999004,0.4673077926941521,0.47306584908443267
artificial.2,0.6429186645563656,0.5338670400228067,0.5087072073973335,0.47564297061476973,0.44179353253605785,0.4431281275714105,0.44759091217169344,0.42022951450765755,0.40600785157808605,0.3517328277455075,0.4203027580714702,0.4459972301319034,0.44513760210860365,0.43507682312387985,0.39542303034413595
artificial.3,0.6971183120507055,0.5879060515583895,0.557228703536492,0.534767713063813,0.49109302408516525,0.4763602557162561,0.4591715688025373,0.4427905086138708,0.41746823180866843,0.3796404167789867,0.43909518901124206,0.4731927659970472,0.46397141981866385,0.4539979761387648,0.41987390939585595
artificial.4,0.7199296113131453,0.5990385878121941,0.5635368426808776,0.534206062795876,0.5017928735838278,0.47437152596243465,0.4807947933389875,0.4722482950323014,0.4680274417204754,0.4269180551232377,0.402565176644936,0.5012415666290754,0.5104106839912133,0.5056479970335783,0.4805995428496858
artificial.5,0.7320292323162679,0.6165617233915791,0.5633411460756577,0.5291170512602998,0.4670634963350761,0.5307957950690941,0.49383409212888923,0.48887104211272386,0.461209189663857,0.4072300748279822,0.4539957499836871,0.5137558897418673,0.5039486260463063,0.48481343921826453,0.44495008848525514
artificial.6,0.6979044480547806,0.5852731352161908,0.5447450826307774,0.5086395477583552,0.4807735592311532,0.4476346365469657,0.4372802465701406,0.4322499421929917,0.42967960941641814,0.42805514737617584,0.3880385885685303,0.4990669025803836,0.5168111366411813,0.510241670981462,0.5214160258905085
artificial.7,0.8058919848703013,0.6870658562997133,0.6394867954263109,0.6130278094972923,0.565610904625335,0.5590434273156775,0.5093113673944974,0.5062880789777475,0.4928554628499762,0.4821185206146671,0.47029760568787443,0.5491146735217098,0.5501854019172091,0.5537436037747436,0.5329100898162681
artificial.8,0.6985537040446419,0.5611823073966797,0.5321959024291718,0.5065614542413412,0.44898487354571937,0.43707297655399463,0.429638828198139,0.4437097705847156,0.4476399875019487,0.46362821186718967,0.3741134859088044,0.5191231561543571,0.5276663971239468,0.5413044178027322,0.5431458328001412
artificial.9,0.7536894052984627,0.595124442422634,0.5459785480397851,0.5097093657324463,0.4749505243719692,0.4732363286197025,0.44539552498111196,0.4425624387754896,0.4282086632039712,0.44290293115296897,0.46093707987959365,0.5124787710821777,0.5184998957867223,0.5193104935203455,0.5223779198207603
artificial.10,0.6556104056650459,0.5196215872346601,0.4752077829934623,0.4308296625851846,0.38630678657362255,0.3947986583528429,0.39220789852868226,0.38993516516778703,0.37330763715884724,0.3733760986170397,0.3332857143197911,0.4303676069019486,0.4197083187977355,0.4209022923730096,0.4321790718714273
artificial.11,0.7954981392769956,0.7041379248953331,0.6743605951877761,0.6480919298397534,0.6189165941925489,0.7211567105634995,0.7082745735830059,0.6840192758597512,0.6309905377863279,0.5680741313136205,0.7490966434132222,0.7105583845144741,0.7051137515119599,0.6654209769057954,0.607986655324451
artificial.12,0.7647456427253537,0.6094480632653662,0.5654626875196038,0.5244177102993054,0.4775990197177507,0.5212072195763203,0.47134532368683735,0.4676122248916301,0.4474622817591273,0.4141765218274816,0.5570604992822534,0.4986973246069998,0.48562975285264764,0.47592825362200036,0.4665406164224467
artificial.13,0.7416573778767347,0.6133686380080967,0.572856124225957,0.5519934305739963,0.5173888413439132,0.5352654020879926,0.5771550834027475,0.5698810847145881,0.5612561742041076,0.5500880763897793,0.5000425726678163,0.6076319480742499,0.6104869520189464,0.6095804171771065,0.591163498746292
artificial.14,0.774499276349735,0.6163783279319339,0.5736609820090306,0.5309309677739137,0.47010416040709413,0.5468453771752719,0.49291770728576234,0.4653625624954194,0.42530018817912607,0.3870206362851121,0.5307525469306753,0.5095807663158177,0.4841232786320681,0.47223195985794697,0.4383295747957329
artificial.15,0.8021378062924598,0.6880289087031415,0.6404664312892944,0.6108729687319611,0.5729462605776812,0.6391996022900052,0.630348491228599,0.6041100535044804,0.5792690276715522,0.5201914913956733,0.6131239872419473,0.6434441077108031,0.6285181298292901,0.61017307402489,0.5768517321324582
artificial.16,0.6594310504210302,0.5481643333885462,0.5038016044851299,0.471366476987531,0.43808522461377936,0.4178042738005496,0.411554696418673,0.41073725628149704,0.39661306932339485,0.37964785384192556,0.3790622516029974,0.4557647807839708,0.46167499733327383,0.45504360632662694,0.44736817727818895
artificial.17,0.7622823572816785,0.594205450123912,0.5556384078771308,0.5036489295136548,0.46374880257101386,0.47180948996894795,0.43904820165479697,0.42492058603635874,0.41593045901652614,0.4277203959907137,0.41043437723139403,0.4940903392303768,0.4968579882579042,0.5137147076232996,0.5160889990678639
artificial.18,0.7600551889713884,0.630701341994755,0.5987874420768282,0.5623454859018313,0.5102504658665241,0.5090659432007144,0.4924520761837949,0.4612295636131302,0.4416156951549774,0.38248467508161366,0.47106110828467707,0.4778050264833322,0.4788074042719935,0.4718027589107989,0.44396440083356714
artificial.19,0.7563687527499839,0.6185030889944825,0.5751083427319158,0.537904428155284,0.4867130678864374,0.48891628165508694,0.4608481280535087,0.46094717557200865,0.4496328110757993,0.45609097705944773,0.4191384499538327,0.5150241380042638,0.5183654745161853,0.5300955579431471,0.5367565688317542
artificial.20,0.7158523086389617,0.5800237563786639,0.5360395292452018,0.5122484163778226,0.456760112459086,0.4692460098582164,0.48477807213791485,0.46220761658851617,0.4579623329530826,0.4411450346489645,0.4089440829722223,0.5246344913127936,0.5203148106222889,0.5312902100910628,0.5002111127358054
artificial.21,0.7483018197624233,0.6196326706204927,0.5781867520621768,0.5422109753498056,0.4874239759709461,0.5237351072699324,0.5558049999264726,0.5316444060161128,0.5163684232106917,0.4762887997533135,0.4645375596147747,0.598635717909793,0.588191824262442,0.5854592115182298,0.5551434119877611
artificial.22,0.805478934181706,0.6666643693756352,0.6155113058984337,0.5828583899415025,0.5284549622765836,0.6106285787358375,0.5695595205637733,0.5485326921420242,0.507058150090595,0.44697430195747767,0.5912636567331409,0.6144646186939293,0.5910494402001292,0.5668651649486303,0.5199637120553007
artificial.23,0.7921779122743314,0.6342810367533267,0.5582409696721395,0.5276570359535391,0.4522735936049785,0.5544938601756877,0.4850257411353592,0.46548190756096947,0.4194920016410599,0.40149762396088784,0.5130674609774444,0.5135140646915248,0.5039124691137103,0.4874634752038017,0.4696607297101687
artificial.24,0.7206591864819016,0.5988054390104254,0.5604359595989258,0.5283545864541097,0.46840574055004364,0.5052853394899443,0.4760130443599899,0.4363207390655734,0.42543678516467703,0.37033055886166377,0.4611166955581431,0.4761280604945132,0.46417545351795236,0.4493620274445233,0.4035496652342798
artificial.25,0.7219229566614386,0.5935269493048139,0.559624271770134,0.5299256060956072,0.487855362223331,0.46184402068121844,0.44853925695370167,0.44046806435703273,0.436835250127938,0.4341904759827863,0.3943967904015955,0.5073904590372469,0.5095362830795297,0.503473500122164,0.508136690269328
artificial.26,0.7965273226704559,0.6390905865249901,0.5911859618127501,0.5494212123183252,0.47137705053298046,0.5671279112603468,0.4765472182958917,0.46303774109674933,0.43899156393674293,0.4283487337014557,0.551307184140345,0.5369531328970646,0.50918615043663,0.5080564743069317,0.49690450435103467
