,Max Proba
artificial.24,0.834
artificial.15,0.801
artificial.22,0.736
artificial.5,0.733
artificial.11,0.705
artificial.20,0.679
artificial.10,0.612
artificial.26,0.606
artificial.14,0.599
artificial.4,0.576
artificial.18,0.567
artificial.9,0.567
artificial.16,0.562
artificial.29,0.55
artificial.3,0.54
artificial.2,0.502
artificial.13,0.492
artificial.23,0.486
artificial.28,0.468
artificial.25,0.468
artificial.7,0.449
artificial.19,0.447
artificial.8,0.434
artificial.1,0.42
artificial.27,0.415
artificial.17,0.413
artificial.21,0.376
artificial.12,0.357
artificial.6,0.353
