,Max Proba
CD4Tnaive_pSTAT5_Unstim,1.0
Granulocytes_pS6_Unstim,0.993
CD8Tcm_CCR2pos_pNFkB_Unstim,0.98
Granulocytes_IkB_Unstim,0.919
CD4Teff_pSTAT5_Unstim,0.894
CD8Tnaive_pSTAT5_Unstim,0.835
CD4Tem_CCR2pos_pSTAT5_Unstim,0.81
CD56hiCD16negNK_HLADR_Unstim,0.78
CD8Tcm_pNFkB_Unstim,0.779
CD4Tcm_pSTAT5_Unstim,0.753
pDCs_HLADR_Unstim,0.655
Bcells_HLADR_Unstim,0.654
CD4Tcm_CD25_Unstim,0.653
CD4Tcm_CCR2pos_pSTAT5_Unstim,0.646
CD8Tcm_HLADR_Unstim,0.632
CD4Tnaive_pSTAT3_Unstim,0.609
CD4Tcm_CCR2pos_CD25_Unstim,0.606
CD4Teff_pNFkB_Unstim,0.578
CD4negCD8negTcells_pSTAT6_Unstim,0.575
pDCs_pSTAT5_Unstim,0.573
CD56loCD16posNK_pNFkB_Unstim,0.562
CD4Teff_pSTAT6_Unstim,0.525
CD8Tcells_Th1_pS6_Unstim,0.513
CD4Tem_pSTAT5_Unstim,0.508
NK_cells_CD11cneg_HLADR_Unstim,0.506
intMCs_HLADR_Unstim,0.497
CD4Tregs_CD25_Unstim,0.494
NK_cells_CD11cpos_pSTAT5_Unstim,0.493
CD56loCD16posNK_pSTAT5_Unstim,0.493
NK_cells_CD11cneg_pNFkB_Unstim,0.492
ncMCs_HLADR_Unstim,0.49
NKT_pSTAT5_Unstim,0.479
CD4Tregs_HLADR_Unstim,0.472
CD8Teff_pSTAT3_Unstim,0.464
NKT_HLADR_Unstim,0.464
NK_cells_CD11cneg_pSTAT5_Unstim,0.462
NK_cells_CD11cpos_HLADR_Unstim,0.447
pDCs_pSTAT3_Unstim,0.443
CD8Teff_pSTAT5_Unstim,0.438
CD56loCD16posNK_HLADR_Unstim,0.433
CD4Tregs_pSTAT5_Unstim,0.431
Bcells_pS6_Unstim,0.422
CD4Tem_CCR2pos_CD25_Unstim,0.42
NKT_pSTAT6_Unstim,0.417
CD8Tem_pSTAT5_Unstim,0.416
mDCs_HLADR_Unstim,0.415
CD4negCD8negTcells_pNFkB_Unstim,0.397
MDSCs_pSTAT3_Unstim,0.37
NK_cells_CD11cpos_pNFkB_Unstim,0.37
CD8Teff_HLADR_Unstim,0.361
Granulocytes_pSTAT5_Unstim,0.361
cMCs_pSTAT3_Unstim,0.353
CD4Tem_CD25_Unstim,0.348
Granulocytes_pNFkB_Unstim,0.342
CD4negCD8negTcells_HLADR_Unstim,0.338
MDSCs_HLADR_Unstim,0.327
CD8Tcells_Th1_pNFkB_Unstim,0.287
Granulocytes_pSTAT3_Unstim,0.286
CD8Teff_pNFkB_Unstim,0.274
CD56hiCD16negNK_pNFkB_Unstim,0.27
NKT_pNFkB_Unstim,0.261
CD8Tem_CCR2pos_pNFkB_Unstim,0.239
CD4Tem_CCR2pos_pSTAT3_Unstim,0.213
ncMCs_pNFkB_Unstim,0.2
cMCs_HLADR_Unstim,0.199
CD4Teff_pSTAT3_Unstim,0.195
CD8Tem_CCR2pos_pSTAT5_Unstim,0.181
CD4Teff_pS6_Unstim,0.18
MDSCs_pSTAT5_Unstim,0.177
CD8Tcm_CCR2pos_pSTAT3_Unstim,0.174
CD8Tem_HLADR_Unstim,0.173
CD8Tem_CCR2pos_pSTAT3_Unstim,0.172
intMCs_pSTAT3_Unstim,0.169
CD4Tem_pNFkB_Unstim,0.166
CD56hiCD16negNK_pSTAT3_Unstim,0.159
NK_cells_CD11cneg_pSTAT3_Unstim,0.159
Bcells_pSTAT3_Unstim,0.158
Bcells_pSTAT6_Unstim,0.158
pDCs_pSTAT6_Unstim,0.158
cMCs_pSTAT1_Unstim,0.158
MDSCs_pSTAT6_Unstim,0.158
intMCs_pSTAT6_Unstim,0.158
intMCs_pSTAT1_Unstim,0.158
cMCs_pSTAT6_Unstim,0.158
CD56loCD16posNK_pSTAT3_Unstim,0.157
CD8Tem_pSTAT3_Unstim,0.156
NKT_pSTAT3_Unstim,0.156
NK_cells_CD11cpos_pSTAT3_Unstim,0.156
CD8Tcm_CCR2pos_pSTAT5_Unstim,0.155
MDSCs_pS6_Unstim,0.147
CD8Tcm_pSTAT3_Unstim,0.145
CD4Tem_pSTAT3_Unstim,0.144
CD4Tcm_pSTAT3_Unstim,0.134
CD4Tcm_CCR2pos_pSTAT3_Unstim,0.118
CD4negCD8negTcells_pSTAT3_Unstim,0.101
CD8Tem_pNFkB_Unstim,0.099
CD8Tcells_Th1_pSTAT5_Unstim,0.098
mDCs_pSTAT5_Unstim,0.095
ncMCs_pS6_Unstim,0.094
mDCs_pSTAT3_Unstim,0.093
CD56hiCD16negNK_pSTAT5_Unstim,0.092
CD8Tnaive_pSTAT3_Unstim,0.089
CD4Tregs_pSTAT3_Unstim,0.088
ncMCs_pSTAT5_Unstim,0.078
ncMCs_pSTAT3_Unstim,0.077
Bcells_pSTAT5_Unstim,0.076
CD8Tcm_CCR2pos_pS6_Unstim,0.073
cMCs_pSTAT5_Unstim,0.072
CD56hiCD16negNK_pS6_Unstim,0.072
cMCs_pS6_Unstim,0.068
CD8Tcm_pSTAT5_Unstim,0.064
CD4negCD8negTcells_pSTAT5_Unstim,0.061
CD56loCD16posNK_pS6_Unstim,0.054
CD8Tcells_Th1_HLADR_Unstim,0.052
CD8Tcells_Th1_pSTAT3_Unstim,0.051
CD4Tem_CCR2pos_pS6_Unstim,0.042
NK_cells_CD11cpos_pS6_Unstim,0.041
pDCs_pS6_Unstim,0.038
