,Max Proba
artificial.24,0.867
artificial.15,0.823
artificial.5,0.786
artificial.22,0.778
artificial.11,0.765
artificial.20,0.725
artificial.26,0.66
artificial.10,0.652
artificial.14,0.651
artificial.4,0.648
artificial.18,0.619
artificial.16,0.618
artificial.3,0.613
artificial.29,0.61
artificial.9,0.609
artificial.2,0.565
artificial.13,0.543
artificial.23,0.537
artificial.28,0.525
artificial.25,0.525
artificial.19,0.515
artificial.8,0.507
artificial.17,0.503
artificial.7,0.492
artificial.1,0.471
artificial.27,0.466
artificial.21,0.435
artificial.12,0.416
artificial.6,0.412
