,Max Proba
CD4Tnaive_pSTAT5_IFNa,0.991
CD4Tnaive_pSTAT3_IFNa,0.967
CD8Tcm_pNFkB_IFNa,0.638
intMCs_pCREB_IFNa,0.584
MDSCs_pCREB_IFNa,0.579
CD8Teff_pSTAT6_IFNa,0.4
Granulocytes_pCREB_IFNa,0.398
NKT_pSTAT5_IFNa,0.377
CD4negCD8negTcells_pSTAT6_IFNa,0.373
pDCs_pNFkB_IFNa,0.331
Bcells_pS6_IFNa,0.312
Granulocytes_pSTAT3_IFNa,0.275
mDCs_HLADR_IFNa,0.265
MDSCs_pSTAT3_IFNa,0.227
CD4negCD8negTcells_pNFkB_IFNa,0.219
CD4Tregs_pNFkB_IFNa,0.209
ncMCs_pNFkB_IFNa,0.195
NKT_pSTAT6_IFNa,0.179
CD56hiCD16negNK_pNFkB_IFNa,0.174
CD4Teff_pSTAT6_IFNa,0.153
CD8Teff_pNFkB_IFNa,0.151
ncMCs_pS6_IFNa,0.141
CD8Tcells_Th1_pSTAT6_IFNa,0.121
cMCs_pCREB_IFNa,0.115
CD8Tem_CCR2pos_pSTAT5_IFNa,0.107
CD8Tcells_Th1_pNFkB_IFNa,0.095
CD4Tnaive_pSTAT6_IFNa,0.095
CD4Teff_pNFkB_IFNa,0.086
NKT_pNFkB_IFNa,0.08
NK_cells_CD11cneg_pS6_IFNa,0.078
Granulocytes_pSTAT1_IFNa,0.076
CD8Tcells_Th1_pSTAT3_IFNa,0.073
CD4Teff_pSTAT3_IFNa,0.063
CD8Tem_pSTAT5_IFNa,0.061
CD4Tregs_pSTAT5_IFNa,0.057
CD8Teff_pSTAT3_IFNa,0.047
intMCs_pS6_IFNa,0.047
CD8Tem_CCR2pos_pNFkB_IFNa,0.046
pDCs_pS6_IFNa,0.043
cMCs_pSTAT3_IFNa,0.039
Granulocytes_pSTAT5_IFNa,0.035
NK_cells_CD11cneg_pNFkB_IFNa,0.035
CD8Tcells_Th1_pSTAT5_IFNa,0.034
pDCs_pSTAT6_IFNa,0.033
CD8Tcm_pSTAT6_IFNa,0.032
CD8Tem_pSTAT6_IFNa,0.031
ncMCs_pSTAT3_IFNa,0.03
ncMCs_pCREB_IFNa,0.029
pDCs_pSTAT3_IFNa,0.029
NK_cells_CD11cpos_pNFkB_IFNa,0.028
cMCs_pS6_IFNa,0.027
MDSCs_pS6_IFNa,0.025
CD56loCD16posNK_pNFkB_IFNa,0.018
mDCs_pS6_IFNa,0.018
CD8Tem_CCR2pos_pSTAT3_IFNa,0.012
CD4Tem_pSTAT6_IFNa,0.01
CD4Tem_pNFkB_IFNa,0.01
Bcells_pNFkB_IFNa,0.01
CD4Teff_pSTAT5_IFNa,0.009
CD8Tem_pNFkB_IFNa,0.008
