,Max Proba
CD4Tnaive_pSTAT5_LPS,0.96
Granulocytes_pS6_LPS,0.87
MDSCs_pCREB_LPS,0.711
CD4Tregs_pSTAT3_LPS,0.668
CD8Tnaive_pSTAT3_LPS,0.521
CD4Tregs_pSTAT6_LPS,0.513
Bcells_pS6_LPS,0.449
CD4Tnaive_pSTAT3_LPS,0.394
CD8Teff_pSTAT3_LPS,0.329
CD8Tnaive_pSTAT6_LPS,0.317
MDSCs_pSTAT3_LPS,0.273
CD4Teff_pSTAT3_LPS,0.263
mDCs_HLADR_LPS,0.252
intMCs_pCREB_LPS,0.242
mDCs_pS6_LPS,0.206
ncMCs_HLADR_LPS,0.198
cMCs_pSTAT3_LPS,0.193
mDCs_IkB_LPS,0.17
pDCs_pSTAT5_LPS,0.162
intMCs_HLADR_LPS,0.156
Granulocytes_pCREB_LPS,0.146
ncMCs_pS6_LPS,0.144
ncMCs_pp38_LPS,0.14
cMCs_pCREB_LPS,0.129
cMCs_HLADR_LPS,0.124
ncMCs_pNFkB_LPS,0.118
CD4Tnaive_pSTAT6_LPS,0.104
CD8Tcm_pSTAT5_LPS,0.096
pDCs_pSTAT3_LPS,0.094
pDCs_pNFkB_LPS,0.092
pDCs_pS6_LPS,0.078
CD4Tregs_pSTAT5_LPS,0.077
MDSCs_pS6_LPS,0.068
Granulocytes_pSTAT1_LPS,0.065
intMCs_pS6_LPS,0.063
cMCs_pp38_LPS,0.057
ncMCs_pSTAT1_LPS,0.057
ncMCs_pERK_LPS,0.034
CD8Tcells_Th1_pSTAT3_LPS,0.032
ncMCs_pSTAT3_LPS,0.027
ncMCs_pCREB_LPS,0.014
cMCs_pMK2_LPS,0.013
intMCs_pMK2_LPS,0.011
mDCs_pCREB_LPS,0.01
CD4Teff_pSTAT5_LPS,0.01
CD8Tcm_pSTAT3_LPS,0.008
CD4negCD8negTcells_pSTAT1_LPS,0.008
mDCs_pSTAT3_LPS,0.007
CD4Tem_pSTAT3_LPS,0.007
intMCs_pSTAT3_LPS,0.006
mDCs_pp38_LPS,0.004
cMCs_pS6_LPS,0.004
CD8Tcm_pSTAT1_LPS,0.003
CD8Tem_CCR2pos_pSTAT3_LPS,0.003
CD4Tem_pSTAT5_LPS,0.002
pDCs_pSTAT1_LPS,0.002
CD8Tcm_CCR2pos_pSTAT3_LPS,0.002
CD4Tnaive_pSTAT1_LPS,0.002
NKT_pSTAT1_LPS,0.002
cMCs_pSTAT5_LPS,0.002
CD4Tcm_pSTAT6_LPS,0.001
intMCs_pSTAT1_LPS,0.001
intMCs_pSTAT5_LPS,0.001
CD8Tcm_CCR2pos_pSTAT5_LPS,0.001
CD4Tem_CCR2pos_pSTAT5_LPS,0.001
pDCs_pSTAT6_LPS,0.001
mDCs_pSTAT1_LPS,0.001
CD56hiCD16negNK_pSTAT1_LPS,0.001
Bcells_pSTAT1_LPS,0.0
CD8Tcm_CCR2pos_pCREB_LPS,0.0
CD8Tem_pCREB_LPS,0.0
CD4Tcm_CCR2pos_pCREB_LPS,0.0
CD4Tcm_pNFkB_LPS,0.0
CD4Tcm_CCR2pos_pSTAT1_LPS,0.0
CD4Teff_pSTAT1_LPS,0.0
CD8Tcells_Th1_pSTAT1_LPS,0.0
CD56loCD16posNK_pSTAT1_LPS,0.0
CD4Tem_CCR2pos_pSTAT1_LPS,0.0
CD4Tregs_pSTAT1_LPS,0.0
CD4Tem_pSTAT1_LPS,0.0
CD4Tcm_pSTAT1_LPS,0.0
CD4Tem_CCR2pos_pSTAT3_LPS,0.0
CD8Teff_pSTAT1_LPS,0.0
MDSCs_pSTAT1_LPS,0.0
CD8Tnaive_pSTAT1_LPS,0.0
CD8Tem_CCR2pos_pSTAT1_LPS,0.0
CD8Tem_pSTAT1_LPS,0.0
CD8Tcm_CCR2pos_pSTAT1_LPS,0.0
NK_cells_CD11cpos_pSTAT1_LPS,0.0
cMCs_pSTAT1_LPS,0.0
Bcells_pSTAT3_LPS,0.0
CD8Tem_pSTAT3_LPS,0.0
CD56hiCD16negNK_pSTAT3_LPS,0.0
CD56loCD16posNK_pSTAT3_LPS,0.0
CD4negCD8negTcells_pSTAT3_LPS,0.0
CD4Tcm_pSTAT3_LPS,0.0
CD4Tcm_CCR2pos_pSTAT3_LPS,0.0
NK_cells_CD11cpos_pSTAT3_LPS,0.0
NKT_pSTAT3_LPS,0.0
CD4Tcm_pSTAT5_LPS,0.0
CD4Tcm_CCR2pos_pSTAT5_LPS,0.0
NK_cells_CD11cneg_pSTAT3_LPS,0.0
CD8Tnaive_pSTAT5_LPS,0.0
Bcells_pSTAT6_LPS,0.0
cMCs_pSTAT6_LPS,0.0
intMCs_pSTAT6_LPS,0.0
mDCs_pSTAT6_LPS,0.0
