,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
cMCs_HLADR_LPS,0.124,0.086,0.044,0.016,0.003,0.0,0.0,0.0,0.0,0.0
intMCs_HLADR_LPS,0.156,0.101,0.058,0.045,0.021,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_LPS,0.252,0.194,0.14,0.073,0.016,0.0,0.0,0.0,0.0,0.0
ncMCs_HLADR_LPS,0.198,0.159,0.096,0.032,0.007,0.0,0.0,0.0,0.0,0.0
mDCs_IkB_LPS,0.17,0.114,0.073,0.035,0.004,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pCREB_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pCREB_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pCREB_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pCREB_LPS,0.146,0.125,0.101,0.092,0.044,0.002,0.0,0.0,0.0,0.0
MDSCs_pCREB_LPS,0.703,0.711,0.696,0.64,0.406,0.031,0.0,0.0,0.0,0.0
cMCs_pCREB_LPS,0.129,0.123,0.113,0.092,0.059,0.003,0.0,0.0,0.0,0.0
intMCs_pCREB_LPS,0.242,0.231,0.234,0.223,0.132,0.019,0.0,0.0,0.0,0.0
mDCs_pCREB_LPS,0.01,0.006,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pCREB_LPS,0.014,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pERK_LPS,0.034,0.024,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0
cMCs_pMK2_LPS,0.013,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pMK2_LPS,0.011,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pNFkB_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_LPS,0.118,0.074,0.033,0.005,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_LPS,0.092,0.064,0.045,0.023,0.007,0.0,0.0,0.0,0.0,0.0
cMCs_pp38_LPS,0.057,0.018,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pp38_LPS,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pp38_LPS,0.14,0.114,0.085,0.022,0.003,0.0,0.0,0.0,0.0,0.0
Bcells_pS6_LPS,0.449,0.386,0.273,0.071,0.004,0.0,0.0,0.0,0.0,0.0
Granulocytes_pS6_LPS,0.87,0.842,0.741,0.551,0.211,0.006,0.0,0.0,0.0,0.0
MDSCs_pS6_LPS,0.068,0.034,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_LPS,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_LPS,0.063,0.035,0.017,0.001,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_LPS,0.206,0.138,0.072,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pS6_LPS,0.144,0.083,0.042,0.01,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pS6_LPS,0.078,0.052,0.032,0.007,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT1_LPS,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pSTAT1_LPS,0.008,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pSTAT1_LPS,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pSTAT1_LPS,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT1_LPS,0.065,0.055,0.035,0.011,0.0,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT1_LPS,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT1_LPS,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT1_LPS,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT1_LPS,0.057,0.027,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT1_LPS,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT3_LPS,0.263,0.218,0.138,0.061,0.012,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT3_LPS,0.007,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_LPS,0.394,0.325,0.25,0.156,0.024,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT3_LPS,0.667,0.668,0.606,0.332,0.075,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pSTAT3_LPS,0.032,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pSTAT3_LPS,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pSTAT3_LPS,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pSTAT3_LPS,0.317,0.329,0.3,0.212,0.047,0.006,0.0,0.0,0.0,0.0
CD8Tem_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pSTAT3_LPS,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_LPS,0.521,0.504,0.439,0.296,0.096,0.001,0.0,0.0,0.0,0.0
MDSCs_pSTAT3_LPS,0.273,0.265,0.244,0.229,0.119,0.013,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cneg_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT3_LPS,0.193,0.187,0.173,0.107,0.026,0.001,0.0,0.0,0.0,0.0
intMCs_pSTAT3_LPS,0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT3_LPS,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pSTAT3_LPS,0.027,0.011,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pSTAT3_LPS,0.094,0.067,0.046,0.031,0.013,0.003,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT5_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT5_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT5_LPS,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT5_LPS,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT5_LPS,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
