,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD4Tcm_CCR2pos_CD25_PI,0.579,0.476,0.328,0.153,0.045,0.002,0.0,0.0,0.0,0.0
NKT_CD25_PI,0.279,0.198,0.073,0.025,0.008,0.0,0.0,0.0,0.0,0.0
CD8Teff_HLADR_PI,0.257,0.243,0.177,0.047,0.001,0.0,0.0,0.0,0.0,0.0
NK_cells_CD11cpos_HLADR_PI,0.408,0.372,0.338,0.257,0.086,0.0,0.0,0.0,0.0,0.0
cMCs_HLADR_PI,0.107,0.049,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_HLADR_PI,0.085,0.046,0.013,0.004,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_PI,0.374,0.223,0.087,0.027,0.001,0.0,0.0,0.0,0.0,0.0
ncMCs_HLADR_PI,0.127,0.079,0.043,0.017,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_HLADR_PI,0.367,0.281,0.169,0.041,0.003,0.0,0.0,0.0,0.0,0.0
intMCs_IkB_PI,0.286,0.102,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pCREB_PI,0.094,0.023,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pCREB_PI,0.058,0.011,0.001,0.001,0.002,0.002,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pCREB_PI,0.082,0.041,0.014,0.01,0.013,0.001,0.0,0.0,0.0,0.0
Granulocytes_pCREB_PI,0.07,0.094,0.119,0.106,0.047,0.005,0.0,0.0,0.0,0.0
MDSCs_pCREB_PI,0.334,0.28,0.178,0.091,0.036,0.004,0.0,0.0,0.0,0.0
cMCs_pCREB_PI,0.289,0.265,0.255,0.217,0.14,0.026,0.0,0.0,0.0,0.0
intMCs_pCREB_PI,0.012,0.006,0.011,0.016,0.029,0.004,0.0,0.0,0.0,0.0
mDCs_pCREB_PI,0.204,0.169,0.144,0.133,0.137,0.043,0.0,0.0,0.0,0.0
pDCs_pCREB_PI,0.191,0.086,0.016,0.003,0.001,0.0,0.0,0.0,0.0,0.0
CD4Teff_pERK_PI,0.112,0.056,0.02,0.006,0.003,0.0,0.0,0.0,0.0,0.0
CD4Tem_pERK_PI,0.049,0.027,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pERK_PI,0.088,0.047,0.011,0.001,0.001,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pERK_PI,0.17,0.102,0.048,0.019,0.007,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pERK_PI,0.268,0.125,0.021,0.002,0.001,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pERK_PI,0.075,0.031,0.005,0.003,0.002,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pERK_PI,0.351,0.264,0.124,0.008,0.0,0.0,0.0,0.0,0.0,0.0
CD8Teff_pERK_PI,0.092,0.045,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_pERK_PI,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pERK_PI,0.105,0.041,0.013,0.004,0.002,0.0,0.0,0.0,0.0,0.0
NKT_pERK_PI,0.097,0.078,0.045,0.009,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pERK_PI,0.125,0.066,0.032,0.009,0.003,0.0,0.0,0.0,0.0,0.0
CD4Teff_pMK2_PI,0.148,0.063,0.016,0.002,0.001,0.0,0.0,0.0,0.0,0.0
