,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
Bcells_HLADR_Unstim,0.161,0.123,0.097,0.067,0.011,0.0,0.0,0.0,0.0,0.0
Bcells_pS6_Unstim,0.349,0.299,0.209,0.045,0.003,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT5_Unstim,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CD25_Unstim,0.209,0.178,0.146,0.114,0.045,0.002,0.0,0.0,0.0,0.0
CD4Tcm_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT5_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_CD25_Unstim,0.152,0.14,0.144,0.133,0.066,0.002,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT5_Unstim,0.013,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pNFkB_Unstim,0.192,0.173,0.118,0.055,0.023,0.001,0.0,0.0,0.0,0.0
CD4Teff_pS6_Unstim,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT5_Unstim,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT6_Unstim,0.142,0.119,0.112,0.079,0.042,0.005,0.0,0.0,0.0,0.0
CD4Tem_CD25_Unstim,0.093,0.059,0.02,0.019,0.021,0.001,0.0,0.0,0.0,0.0
CD4Tem_pNFkB_Unstim,0.039,0.021,0.007,0.004,0.001,0.0,0.0,0.0,0.0,0.0
CD4Tem_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT5_Unstim,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_CD25_Unstim,0.076,0.055,0.032,0.02,0.014,0.001,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pS6_Unstim,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT5_Unstim,0.01,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_Unstim,0.457,0.319,0.153,0.013,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT5_Unstim,0.988,0.988,0.984,0.899,0.309,0.005,0.0,0.0,0.0,0.0
CD4Tregs_CD25_Unstim,0.107,0.069,0.053,0.052,0.021,0.0,0.0,0.0,0.0,0.0
CD4Tregs_HLADR_Unstim,0.293,0.247,0.155,0.05,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT5_Unstim,0.01,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_HLADR_Unstim,0.182,0.129,0.047,0.004,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pNFkB_Unstim,0.167,0.116,0.077,0.048,0.018,0.001,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pSTAT5_Unstim,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pSTAT6_Unstim,0.325,0.267,0.191,0.106,0.043,0.002,0.0,0.0,0.0,0.0
CD56hiCD16negNK_HLADR_Unstim,0.569,0.552,0.477,0.295,0.053,0.001,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pNFkB_Unstim,0.142,0.071,0.024,0.007,0.003,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pS6_Unstim,0.033,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pSTAT5_Unstim,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_HLADR_Unstim,0.051,0.023,0.015,0.021,0.024,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pNFkB_Unstim,0.094,0.077,0.061,0.034,0.015,0.001,0.0,0.0,0.0,0.0
CD56loCD16posNK_pS6_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pSTAT3_Unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD56loCD16posNK_pSTAT5_Unstim,0.119,0.128,0.126,0.139,0.114,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_HLADR_Unstim,0.056,0.021,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pNFkB_Unstim,0.1,0.053,0.019,0.011,0.008,0.001,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pS6_Unstim,0.066,0.05,0.032,0.021,0.003,0.0,0.0,0.0,0.0,0.0
