,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.050618577748537064,0.05164208635687828,0.05150787904858589,0.05227513238787651,0.055584799498319626,0.04140840843319893,0.04230210930109024,0.04520631581544876,0.04701266810297966,0.053049713373184204,0.042410075664520264,0.043029651045799255,0.04528423026204109,0.04664003849029541,0.054551176726818085
artificial.2,0.02855612337589264,0.0290671456605196,0.029486753046512604,0.02858855575323105,0.030814683064818382,0.02268620766699314,0.022914594039320946,0.023515066131949425,0.023072754964232445,0.024727191776037216,0.022374726831912994,0.022856619209051132,0.023130066692829132,0.023472314700484276,0.02456768974661827
artificial.3,0.05779920145869255,0.05848098546266556,0.05808335542678833,0.05610407143831253,0.05747697874903679,0.05582887679338455,0.0564216673374176,0.057283949106931686,0.055722542107105255,0.052460309118032455,0.056542884558439255,0.05677323043346405,0.05659634619951248,0.05522358790040016,0.05172688886523247
artificial.4,0.12723630666732788,0.12956911325454712,0.12866832315921783,0.12949727475643158,0.1336338222026825,0.08586248755455017,0.08715537935495377,0.08847881853580475,0.0931243896484375,0.10552572458982468,0.08662869036197662,0.08876007795333862,0.09050637483596802,0.09558054059743881,0.10614927858114243
artificial.5,0.025475500151515007,0.02554558776319027,0.025343434885144234,0.027079952880740166,0.027985675260424614,0.01963408663868904,0.020542625337839127,0.020711608231067657,0.021504852920770645,0.022736983373761177,0.018371393904089928,0.019723782315850258,0.019898856058716774,0.021463526412844658,0.02284490130841732
artificial.6,0.06558077037334442,0.06586232036352158,0.06464104354381561,0.06377089768648148,0.06120140850543976,0.046282585710287094,0.04739340767264366,0.047231532633304596,0.04662720486521721,0.04691154137253761,0.04566841945052147,0.04534463956952095,0.04484378173947334,0.044421322643756866,0.044364556670188904
artificial.7,0.04254360869526863,0.04352761059999466,0.04491491988301277,0.04437854140996933,0.04586253687739372,0.023431183770298958,0.026007065549492836,0.025549814105033875,0.028337247669696808,0.0326995849609375,0.024294111877679825,0.025906836614012718,0.026981474831700325,0.02906854823231697,0.034231629222631454
artificial.8,0.03899234160780907,0.039629001170396805,0.039002034813165665,0.03949272632598877,0.04076850786805153,0.026387400925159454,0.026479123160243034,0.027330758050084114,0.027904964983463287,0.029377570375800133,0.025536587461829185,0.026106329634785652,0.02634204737842083,0.027428854256868362,0.028593719005584717
artificial.9,0.048694707453250885,0.048267610371112823,0.049409884959459305,0.05178939178586006,0.05108635127544403,0.03089272789657116,0.032466087490320206,0.03411184251308441,0.03613528981804848,0.04118261858820915,0.0306857880204916,0.03172655031085014,0.03386075794696808,0.03561043366789818,0.04068707674741745
artificial.10,0.033068109303712845,0.032955240458250046,0.032621171325445175,0.03391485661268234,0.03442245349287987,0.019427411258220673,0.02006625570356846,0.021391402930021286,0.02111184038221836,0.024154100567102432,0.01888388954102993,0.020504992455244064,0.020279916003346443,0.02079181559383869,0.022874779999256134
artificial.11,0.09203028678894043,0.09256616234779358,0.09377381950616837,0.09445283561944962,0.09958396106958389,0.05938437953591347,0.06183502450585365,0.06434955447912216,0.0692732036113739,0.08429599553346634,0.05844145640730858,0.06118415668606758,0.06325186789035797,0.06992735713720322,0.08522865921258926
artificial.12,0.042743850499391556,0.04387704282999039,0.04479527100920677,0.045956626534461975,0.04856343939900398,0.029599085450172424,0.02984413132071495,0.031270451843738556,0.03280336409807205,0.038705434650182724,0.0296309906989336,0.03002140112221241,0.031112635508179665,0.031906481832265854,0.03810671344399452
artificial.13,0.04194934293627739,0.04329201206564903,0.04325731098651886,0.043018639087677,0.04223163053393364,0.03227618709206581,0.0334957130253315,0.03421839326620102,0.03411632403731346,0.03444422781467438,0.03281305730342865,0.033977095037698746,0.03379281237721443,0.034054096788167953,0.03430578112602234
artificial.14,0.0985897034406662,0.0994151383638382,0.09956986457109451,0.10127589851617813,0.09805766493082047,0.07236773520708084,0.07491520047187805,0.07598155736923218,0.07817681133747101,0.08793266117572784,0.07431510090827942,0.07736331224441528,0.07797978818416595,0.08228705823421478,0.09064505994319916
artificial.15,0.07658763229846954,0.07736330479383469,0.07823992520570755,0.08019460737705231,0.08588888496160507,0.055096641182899475,0.05655869096517563,0.05890841409564018,0.06190076842904091,0.07156232744455338,0.05648868903517723,0.057798825204372406,0.05932135134935379,0.06220211088657379,0.07089387625455856
artificial.16,0.05866158381104469,0.0594148263335228,0.060327813029289246,0.05778275802731514,0.060751937329769135,0.03408307209610939,0.0350053571164608,0.034539613872766495,0.03597816824913025,0.03659551963210106,0.03183620423078537,0.03282180055975914,0.03306479752063751,0.03338531032204628,0.034621790051460266
artificial.17,0.05728421360254288,0.05623682960867882,0.05696355924010277,0.05760572478175163,0.05689622834324837,0.03734035789966583,0.037806883454322815,0.03767785057425499,0.03947073966264725,0.04424436390399933,0.03624209016561508,0.03784235939383507,0.038378503173589706,0.03981216251850128,0.04328072443604469
artificial.18,0.05775405094027519,0.05713944882154465,0.05773823335766792,0.05686832219362259,0.05788816139101982,0.039581187069416046,0.039401765912771225,0.03988385945558548,0.03896006569266319,0.0433245413005352,0.03796353563666344,0.0383613258600235,0.038887377828359604,0.038469165563583374,0.04165825620293617
artificial.19,0.0717635229229927,0.07257205247879028,0.07215576618909836,0.07228691875934601,0.0725429356098175,0.056531816720962524,0.055257972329854965,0.055680956691503525,0.05598563328385353,0.05591452121734619,0.053985003381967545,0.053629759699106216,0.05344454571604729,0.05362435430288315,0.054267171770334244
artificial.20,0.04679553583264351,0.04694492369890213,0.04724394530057907,0.04809770733118057,0.04907199740409851,0.0417141318321228,0.04163200408220291,0.0435066819190979,0.044610392302274704,0.04730131849646568,0.041723527014255524,0.04364970326423645,0.04374648258090019,0.0449836365878582,0.049045078456401825
artificial.21,0.026570208370685577,0.027713308110833168,0.0280341487377882,0.02772245928645134,0.029093028977513313,0.017735376954078674,0.017909428104758263,0.01793113350868225,0.01854739338159561,0.020099932327866554,0.0161324180662632,0.016991550102829933,0.01743086241185665,0.018376071006059647,0.020581107586622238
artificial.22,0.05051812157034874,0.05015202984213829,0.04883956536650658,0.05016516149044037,0.05010136961936951,0.03380677476525307,0.033501673489809036,0.0317690372467041,0.032234374433755875,0.03188766539096832,0.03453044220805168,0.03149715065956116,0.031936757266521454,0.03178144246339798,0.031112216413021088
artificial.23,0.0448707640171051,0.044351059943437576,0.04387201368808746,0.04516805335879326,0.04478758946061134,0.029187681153416634,0.029644547030329704,0.030323408544063568,0.03218564763665199,0.035904660820961,0.02858276106417179,0.02923399582505226,0.030563320964574814,0.03257892280817032,0.03588959574699402
artificial.24,0.03556063026189804,0.03545434772968292,0.03485403582453728,0.033387649804353714,0.030783066526055336,0.02500147558748722,0.023040736094117165,0.022124076262116432,0.020496610552072525,0.020255841314792633,0.024405470117926598,0.022874977439641953,0.021948017179965973,0.01963965967297554,0.018532032147049904
artificial.25,0.033344559371471405,0.03349803760647774,0.0329592302441597,0.0338243804872036,0.03341503441333771,0.021556885913014412,0.02275995910167694,0.023566091433167458,0.024032773450016975,0.0244655329734087,0.02168266661465168,0.02268650382757187,0.02334647811949253,0.024246444925665855,0.024599283933639526
artificial.26,0.06984367221593857,0.0690140500664711,0.06706821918487549,0.06682929396629333,0.06605497747659683,0.04296974092721939,0.043101660907268524,0.04189177230000496,0.040292173624038696,0.03769558668136597,0.041885051876306534,0.0405757836997509,0.040767911821603775,0.03963494673371315,0.03592188283801079
artificial.27,0.07273834198713303,0.07232991605997086,0.07229049503803253,0.07249114662408829,0.07588078826665878,0.04639049246907234,0.04638967663049698,0.04828803613781929,0.048023320734500885,0.04547920823097229,0.04460689425468445,0.04496860131621361,0.044689178466796875,0.04513547569513321,0.04399199038743973
artificial.28,0.10005706548690796,0.10290028154850006,0.10087843984365463,0.10378419607877731,0.10607092082500458,0.060281090438365936,0.05982699990272522,0.06111278384923935,0.06405308842658997,0.07012921571731567,0.05742460489273071,0.05783943086862564,0.058139000087976456,0.06139838322997093,0.06723562628030777
artificial.29,0.11396706849336624,0.116538405418396,0.11686479300260544,0.12049771845340729,0.1295812427997589,0.076555535197258,0.07785750925540924,0.08010118454694748,0.08356612920761108,0.09732900559902191,0.07399607449769974,0.07520889490842819,0.0781426653265953,0.08353651314973831,0.09186980128288269
artificial.30,0.04308200255036354,0.042546674609184265,0.041798464953899384,0.04093611612915993,0.04142100363969803,0.033496517688035965,0.03283705189824104,0.03222864866256714,0.03149278461933136,0.03073962777853012,0.033575862646102905,0.032898370176553726,0.031271133571863174,0.031151769682765007,0.028796492144465446
artificial.31,0.036359820514917374,0.03763115033507347,0.039361972361803055,0.0383194275200367,0.038052886724472046,0.022884489968419075,0.024147668853402138,0.02491077408194542,0.02532324194908142,0.030591262504458427,0.022053513675928116,0.023213766515254974,0.025107113644480705,0.026064913719892502,0.03034968301653862
artificial.32,0.0628252848982811,0.06441425532102585,0.06596045196056366,0.06704337149858475,0.07034870982170105,0.03563310578465462,0.035735271871089935,0.03630710765719414,0.03852343186736107,0.043586887419223785,0.034470029175281525,0.0347762256860733,0.03526880592107773,0.03733357787132263,0.04180755466222763
artificial.33,0.036903176456689835,0.03801656886935234,0.03796848654747009,0.03647588565945625,0.03516856208443642,0.030638540163636208,0.030102252960205078,0.03033388778567314,0.030807292088866234,0.028064772486686707,0.031412117183208466,0.031540386378765106,0.0310581736266613,0.03151378035545349,0.02922443114221096
artificial.34,0.03428114205598831,0.03508128225803375,0.03628614917397499,0.037038542330265045,0.03858555853366852,0.018438491970300674,0.019733604043722153,0.020569946616888046,0.020267441868782043,0.020941874012351036,0.01791420951485634,0.019059645012021065,0.019578777253627777,0.020044036209583282,0.019614726305007935
artificial.35,0.04729047790169716,0.04729795828461647,0.04728405550122261,0.047648634761571884,0.047309089452028275,0.024732863530516624,0.0250195674598217,0.02601173333823681,0.027735214680433273,0.032534223049879074,0.023610254749655724,0.026240449398756027,0.02670678310096264,0.028075745329260826,0.032352931797504425
