,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4Tcm_CD25_IL33,0.08868247270584106,0.09168992191553116,0.09159404039382935,0.0906369760632515,0.09087733179330826,0.08054323494434357,0.08009138703346252,0.07938806712627411,0.07884430885314941,0.08069473505020142,0.08125175535678864,0.08155351132154465,0.08176146447658539,0.08069444447755814,0.0801883265376091
CD4Tregs_CD25_IL33,0.034818507730960846,0.03455551713705063,0.03547019883990288,0.03446188196539879,0.033062420785427094,0.039551787078380585,0.04057369381189346,0.040554631501436234,0.04227682575583458,0.042634665966033936,0.03959563747048378,0.041503261774778366,0.041504327207803726,0.04197012633085251,0.04462185874581337
cMCs_CD25_IL33,0.06953753530979156,0.06871242076158524,0.06791580468416214,0.06692714244127274,0.06719724088907242,0.09581192582845688,0.09332285076379776,0.09282290190458298,0.09146568179130554,0.09034359455108643,0.09914281964302063,0.09739609807729721,0.09710896015167236,0.09736096858978271,0.09333427250385284
CD4Tregs_HLADR_IL33,0.04838860034942627,0.04769988730549812,0.05012478306889534,0.049273956567049026,0.05100690945982933,0.051826927810907364,0.05191103368997574,0.05418939143419266,0.056009888648986816,0.06159963831305504,0.052205417305231094,0.05322239547967911,0.054696738719940186,0.057438746094703674,0.06370210647583008
CD8Tcm_CCR2pos_HLADR_IL33,0.0557834655046463,0.054629135876894,0.0560176707804203,0.0558084137737751,0.059623755514621735,0.053146373480558395,0.054007142782211304,0.053560685366392136,0.05437138304114342,0.06147760897874832,0.053466275334358215,0.05514826998114586,0.0556531623005867,0.05537022650241852,0.06187592074275017
CD8Tem_HLADR_IL33,0.04969118908047676,0.04985355958342552,0.05132317170500755,0.05302165821194649,0.055816400796175,0.03767425939440727,0.0388164296746254,0.040288254618644714,0.04152526333928108,0.04764973744750023,0.03787796571850777,0.03886941075325012,0.040337663143873215,0.041673969477415085,0.04784843698143959
cMCs_HLADR_IL33,0.04520497843623161,0.04608532786369324,0.04732467234134674,0.04398913308978081,0.04791783541440964,0.04642319306731224,0.047447800636291504,0.04679441824555397,0.048400577157735825,0.051917463541030884,0.046284545212984085,0.04717010632157326,0.04781913757324219,0.05134087800979614,0.05391725152730942
MDSCs_pCREB_IL33,0.10522975772619247,0.10775044560432434,0.10583452135324478,0.10251817107200623,0.0986408218741417,0.08749133348464966,0.08787840604782104,0.08760172128677368,0.08538927882909775,0.0810365229845047,0.08676915615797043,0.08715404570102692,0.08498544245958328,0.08464422076940536,0.07865234464406967
cMCs_pCREB_IL33,0.09334481507539749,0.09535454213619232,0.09452664107084274,0.0960211381316185,0.09934889525175095,0.08142217993736267,0.08123765885829926,0.08283064514398575,0.08653523027896881,0.09184273332357407,0.08227164298295975,0.0840763971209526,0.08470935374498367,0.08718113601207733,0.0926353707909584
intMCs_pCREB_IL33,0.04348168522119522,0.04343536123633385,0.04431193321943283,0.045468829572200775,0.04755531996488571,0.03814994543790817,0.038046106696128845,0.037274155765771866,0.039065226912498474,0.04023102670907974,0.03881107270717621,0.03865426778793335,0.03861750289797783,0.039608631283044815,0.04200924560427666
CD4Tem_CCR2pos_pMK2_IL33,0.1501295417547226,0.14824602007865906,0.1467542201280594,0.14438380300998688,0.13875199854373932,0.13257738947868347,0.13416019082069397,0.13167259097099304,0.12689805030822754,0.1191718578338623,0.13225598633289337,0.13261845707893372,0.13180750608444214,0.12636275589466095,0.11575981229543686
cMCs_pMK2_IL33,0.02703740820288658,0.02766500599682331,0.027912458404898643,0.02687450870871544,0.02661897987127304,0.017579250037670135,0.017463907599449158,0.017203213647007942,0.016866562888026237,0.016880782321095467,0.0167172122746706,0.016774538904428482,0.017135078087449074,0.015713224187493324,0.016343824565410614
CD4Teff_pNFkB_IL33,0.045712828636169434,0.04576105624437332,0.04586381837725639,0.046737950295209885,0.04614558815956116,0.038470882922410965,0.040021851658821106,0.04092180356383324,0.04055378586053848,0.04296093434095383,0.038674283772706985,0.040286120027303696,0.04121296480298042,0.041030123829841614,0.04523196071386337
CD4negCD8negTcells_pNFkB_IL33,0.055248428136110306,0.05571478605270386,0.0556061677634716,0.05719994381070137,0.06011129543185234,0.0496622771024704,0.04993963986635208,0.050985030829906464,0.05420777201652527,0.06089818477630615,0.05062710493803024,0.051338907331228256,0.052609801292419434,0.05457164719700813,0.06127221882343292
CD56hiCD16negNK_pNFkB_IL33,0.04318707063794136,0.0438724048435688,0.04510015994310379,0.04272982478141785,0.044258542358875275,0.030412428081035614,0.02993823029100895,0.0324045792222023,0.03180129826068878,0.03627140820026398,0.029461296275258064,0.0309024415910244,0.03230459615588188,0.033227916806936264,0.03558912128210068
CD8Tcm_pNFkB_IL33,0.03673639893531799,0.03590625524520874,0.034779198467731476,0.03631063923239708,0.035739995539188385,0.032883450388908386,0.033264659345149994,0.032207369804382324,0.0318562388420105,0.034206412732601166,0.03407097980380058,0.034049250185489655,0.03297014534473419,0.03249094635248184,0.03436710685491562
