,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.01054060272872448,0.010492772795259953,0.010509025305509567,0.01012254599481821,0.009975802153348923,0.00985773652791977,0.00918676145374775,0.009258775971829891,0.008465409278869629,0.00898730754852295,0.01069149374961853,0.00934622809290886,0.008853805251419544,0.008256343193352222,0.009671976789832115
artificial.2,0.012349870055913925,0.012435044161975384,0.012240855023264885,0.012325907126069069,0.011793239042162895,0.012705856002867222,0.012523897923529148,0.012642787769436836,0.011664731428027153,0.01066592801362276,0.012865494936704636,0.012417497113347054,0.01260500680655241,0.011724096722900867,0.010801833122968674
artificial.3,0.03944915905594826,0.03967875987291336,0.03937879949808121,0.0415373295545578,0.03870255872607231,0.03239250183105469,0.0315544456243515,0.03218378499150276,0.03340679779648781,0.033659424632787704,0.03239533677697182,0.03157147765159607,0.03073006309568882,0.03215570002794266,0.034438394010066986
artificial.4,0.023199157789349556,0.025349343195557594,0.02474181540310383,0.024759942665696144,0.02679194137454033,0.01558765210211277,0.016526037827134132,0.017286496236920357,0.01832612231373787,0.02178684063255787,0.014981084503233433,0.015962449833750725,0.016118576750159264,0.01891949586570263,0.02094174548983574
artificial.5,0.018054794520139694,0.017701884731650352,0.017725683748722076,0.018130773678421974,0.01923677697777748,0.011781193315982819,0.012287442572414875,0.012119781225919724,0.012255235575139523,0.012843397445976734,0.011366463266313076,0.011814231984317303,0.012218842282891273,0.012336678802967072,0.012368295341730118
artificial.6,0.058474037796258926,0.058831341564655304,0.05876150727272034,0.059988804161548615,0.05417279154062271,0.05209502577781677,0.05328618362545967,0.05341384932398796,0.053786762058734894,0.05201894789934158,0.05151401460170746,0.052662625908851624,0.053945787250995636,0.053206633776426315,0.051009297370910645
artificial.7,0.0069749364629387856,0.007037720177322626,0.007252866867929697,0.006055104546248913,0.006590500473976135,0.0051784091629087925,0.005589866545051336,0.005881974473595619,0.006822745781391859,0.007957909256219864,0.005021962802857161,0.005707804579287767,0.005820291582494974,0.007131511345505714,0.007702835835516453
artificial.8,0.028969110921025276,0.029320798814296722,0.03028382919728756,0.030354656279087067,0.032965097576379776,0.026144323870539665,0.027123788371682167,0.02732468955218792,0.028639664873480797,0.03233308345079422,0.026638787239789963,0.02723955176770687,0.027226312085986137,0.02916528470814228,0.032906822860240936
artificial.9,0.044433411210775375,0.045575931668281555,0.04417578876018524,0.04216894507408142,0.044938068836927414,0.03089870885014534,0.031127240508794785,0.03281259164214134,0.036252718418836594,0.03950965404510498,0.030619293451309204,0.030891746282577515,0.03265223652124405,0.03676358237862587,0.039049990475177765
artificial.10,0.008647741749882698,0.00916137546300888,0.009451549500226974,0.009448286145925522,0.009333429858088493,0.0076457420364022255,0.00891057588160038,0.009002662263810635,0.008620803244411945,0.010408898815512657,0.007994483225047588,0.008932692930102348,0.009069431573152542,0.008699650876224041,0.010486604645848274
artificial.11,0.014791305176913738,0.014480032958090305,0.014872657135128975,0.015020325779914856,0.01345242839306593,0.00940162967890501,0.00924772396683693,0.009606379084289074,0.00864397082477808,0.007983499206602573,0.0098766153678298,0.009784134104847908,0.009803218767046928,0.008995245210826397,0.007756216451525688
artificial.12,0.018000029027462006,0.018068740144371986,0.018216004595160484,0.018787633627653122,0.01796640083193779,0.019604895263910294,0.019594483077526093,0.01949085295200348,0.019439734518527985,0.016924666240811348,0.019338248297572136,0.0192866213619709,0.019332237541675568,0.01916489005088806,0.01786166988313198
artificial.13,0.04625847190618515,0.047509994357824326,0.04734966903924942,0.04938390851020813,0.04719984158873558,0.042829643934965134,0.04402803257107735,0.04380057752132416,0.04241614416241646,0.04375678673386574,0.043003663420677185,0.043085407465696335,0.04359881952404976,0.043220482766628265,0.04388744756579399
artificial.14,0.014020610600709915,0.014928209595382214,0.016062261536717415,0.015940234065055847,0.015880968421697617,0.010345321148633957,0.011341780424118042,0.01176469586789608,0.011728877201676369,0.012454167939722538,0.010538721457123756,0.011204265989363194,0.011728922836482525,0.012228766456246376,0.013380126096308231
artificial.15,0.011599818244576454,0.012032749131321907,0.012580729089677334,0.012212936766445637,0.012280803173780441,0.008291560225188732,0.008359449915587902,0.009516666643321514,0.009942518547177315,0.012601357884705067,0.007771769072860479,0.00785852037370205,0.009718562476336956,0.0095206992700696,0.012088918127119541
artificial.16,0.038173604756593704,0.037344615906476974,0.036087993532419205,0.034789301455020905,0.035614125430583954,0.03277560696005821,0.033482737839221954,0.03236047178506851,0.029862407594919205,0.027763187885284424,0.03311127796769142,0.03284120932221413,0.032068606466054916,0.029746610671281815,0.027473734691739082
artificial.17,0.018828481435775757,0.018962403759360313,0.019003165885806084,0.018325190991163254,0.01898462139070034,0.014180650934576988,0.014964105561375618,0.014753693714737892,0.01514093205332756,0.016167037189006805,0.014652636833488941,0.0151809211820364,0.014974857680499554,0.015260530635714531,0.01644001342356205
artificial.18,0.019244849681854248,0.02061104215681553,0.020957134664058685,0.022422922775149345,0.020935088396072388,0.011976122856140137,0.012562161311507225,0.012408604845404625,0.013172089122235775,0.01484929583966732,0.011907177045941353,0.012409139424562454,0.01220566313713789,0.01305234245955944,0.014302369207143784
artificial.19,0.006694512441754341,0.007067347876727581,0.007327500730752945,0.007316251285374165,0.00658011669293046,0.00628577871248126,0.00675069959834218,0.006568984128534794,0.007290113717317581,0.005867610685527325,0.006524482276290655,0.007116509135812521,0.0067047798074781895,0.006673765834420919,0.005939546972513199
artificial.20,0.014235135167837143,0.014340013265609741,0.01330326497554779,0.014487098902463913,0.013733843341469765,0.015205545350909233,0.014971556141972542,0.015125881880521774,0.015066905878484249,0.014232324436306953,0.014954638667404652,0.014622905291616917,0.01463265996426344,0.014486643485724926,0.014477601274847984
artificial.21,0.09358435124158859,0.09349283576011658,0.0902174711227417,0.09006228297948837,0.08650809526443481,0.10318993031978607,0.10271289199590683,0.10247251391410828,0.10177989304065704,0.09231778979301453,0.10375086963176727,0.10116315633058548,0.10140953212976456,0.10284470021724701,0.09499151259660721
artificial.22,0.011184249073266983,0.010893657803535461,0.010987612418830395,0.011132890358567238,0.011304793879389763,0.007765756919980049,0.00762303126975894,0.007761685643345118,0.008067980408668518,0.010532882995903492,0.00740685872733593,0.006999531760811806,0.007502509746700525,0.008069781586527824,0.01010927278548479
artificial.23,0.020881865173578262,0.021659862250089645,0.022213764488697052,0.022286225110292435,0.022986240684986115,0.014126783236861229,0.013505294919013977,0.014567595906555653,0.013707256875932217,0.015126165002584457,0.013988163322210312,0.013735990971326828,0.014693274162709713,0.014007840305566788,0.015279388055205345
artificial.24,0.050631333142519,0.05073440074920654,0.05090177059173584,0.04969417303800583,0.04943183436989784,0.04475865513086319,0.04172622784972191,0.04280921071767807,0.0416535846889019,0.04459593817591667,0.042715657502412796,0.041464466601610184,0.0414234884083271,0.041550230234861374,0.04370884224772453
artificial.25,0.02195008099079132,0.022574516013264656,0.024144669994711876,0.02463245950639248,0.026016613468527794,0.019131027162075043,0.01993674971163273,0.02018001116812229,0.02175573632121086,0.02264769747853279,0.019146865233778954,0.020149314776062965,0.019934603944420815,0.022100524976849556,0.0221730824559927
artificial.26,0.011768213473260403,0.011709951795637608,0.011437909677624702,0.012071667239069939,0.011169851757586002,0.009574501775205135,0.008790510706603527,0.008763307705521584,0.009039823897182941,0.008608806878328323,0.009601466357707977,0.008810549043118954,0.008596021682024002,0.008581496775150299,0.008212177082896233
artificial.27,0.02056637778878212,0.02098480984568596,0.019945599138736725,0.020000705495476723,0.02004263736307621,0.01474927831441164,0.015293666161596775,0.014181719161570072,0.014943462796509266,0.014337017200887203,0.014868119731545448,0.015164589509367943,0.014640024863183498,0.014881964772939682,0.013893249444663525
artificial.28,0.01040476281195879,0.01037142239511013,0.010051692835986614,0.010953045450150967,0.011267540045082569,0.009442032314836979,0.00984863843768835,0.009730900637805462,0.009752041660249233,0.009104134514927864,0.009436738677322865,0.009684308432042599,0.009684593416750431,0.009770996868610382,0.009094459936022758
artificial.29,0.018584754317998886,0.01782880909740925,0.01837538555264473,0.01915586180984974,0.01975325495004654,0.013761263340711594,0.013768602162599564,0.015435799024999142,0.013519232161343098,0.013924344442784786,0.013856900855898857,0.013600996695458889,0.014970589429140091,0.013648022897541523,0.013999317772686481
artificial.30,0.02632172591984272,0.026159096509218216,0.026755187660455704,0.02613505907356739,0.02465437725186348,0.018315283581614494,0.019202785566449165,0.020749572664499283,0.020775536075234413,0.020698435604572296,0.01790555939078331,0.019503071904182434,0.0205256137996912,0.02046588435769081,0.02016828954219818
artificial.31,0.01659405045211315,0.01749163307249546,0.01745050586760044,0.016694899648427963,0.017108865082263947,0.01576743647456169,0.015682950615882874,0.014534085988998413,0.015865329653024673,0.01542670838534832,0.01619548723101616,0.015856903046369553,0.015370102599263191,0.015814557671546936,0.015661057084798813
artificial.32,0.010962913744151592,0.011181570589542389,0.01049626525491476,0.01156299002468586,0.010693429037928581,0.00997945386916399,0.009902218356728554,0.010039379820227623,0.01106756180524826,0.011100280098617077,0.009575573727488518,0.009908219799399376,0.0103184524923563,0.010984604246914387,0.010879024863243103
artificial.33,0.03585366904735565,0.03542942553758621,0.0349237360060215,0.03506002202630043,0.0354282408952713,0.03327483311295509,0.030850159004330635,0.031638991087675095,0.031679198145866394,0.031877391040325165,0.03293472155928612,0.030595993623137474,0.03125598654150963,0.03168489411473274,0.03163871914148331
artificial.34,0.01961611397564411,0.019643248990178108,0.020627951249480247,0.020053548738360405,0.018638083711266518,0.015910565853118896,0.01625020243227482,0.0157276913523674,0.017049407586455345,0.01791183091700077,0.016460053622722626,0.016744563356041908,0.01573118194937706,0.016482900828123093,0.018332667648792267
artificial.35,0.015561532229185104,0.01509322039783001,0.015576404519379139,0.014038700610399246,0.012967622838914394,0.009245096705853939,0.009556473232805729,0.009582705795764923,0.00903363898396492,0.008290150202810764,0.009898874908685684,0.009954281151294708,0.00973172765225172,0.00878382008522749,0.008607900701463223
artificial.36,0.011643770150840282,0.012142505496740341,0.011624623090028763,0.011244325898587704,0.01074802502989769,0.00821246299892664,0.008934270590543747,0.009126883000135422,0.0100040752440691,0.012029986828565598,0.0079464390873909,0.008914606645703316,0.00881744921207428,0.009523820132017136,0.011639611795544624
artificial.37,0.022672271355986595,0.022832343354821205,0.02319912798702717,0.02454656921327114,0.02824493870139122,0.015674343332648277,0.017316477373242378,0.018016386777162552,0.01853916607797146,0.02492179162800312,0.01555794570595026,0.017025858163833618,0.017723217606544495,0.018629657104611397,0.025268133729696274
artificial.38,0.04808949679136276,0.04807265102863312,0.04659142717719078,0.05002238601446152,0.050751809030771255,0.029267527163028717,0.030884476378560066,0.031318143010139465,0.0324791818857193,0.03767814859747887,0.029015792533755302,0.030682601034641266,0.03055318258702755,0.03326963260769844,0.03736592456698418
artificial.39,0.02598860114812851,0.026021094992756844,0.025403305888175964,0.026585891842842102,0.02965104766190052,0.021017655730247498,0.023471571505069733,0.023729732260107994,0.024152344092726707,0.02831212244927883,0.021823700517416,0.02345118671655655,0.02369002252817154,0.024010010063648224,0.027805807068943977
artificial.40,0.018000716343522072,0.01860099658370018,0.01854207180440426,0.01831493154168129,0.01888372376561165,0.017502306029200554,0.017360275611281395,0.01794738881289959,0.018364785239100456,0.017991358414292336,0.0163571834564209,0.016847509890794754,0.01760854199528694,0.018652377650141716,0.01736482046544552
artificial.41,0.006662231404334307,0.007004710845649242,0.0066721015609800816,0.006826732773333788,0.006265134084969759,0.004726134706288576,0.00446353480219841,0.005078315269201994,0.0049836523830890656,0.006473110988736153,0.0046234894543886185,0.004910706076771021,0.00471533602103591,0.005327665247023106,0.006280285771936178
artificial.42,0.018679171800613403,0.018032733350992203,0.019170183688402176,0.019473804160952568,0.01971503719687462,0.016085980460047722,0.017005903646349907,0.016696738079190254,0.01714089885354042,0.018435876816511154,0.016159214079380035,0.017089296132326126,0.01666765660047531,0.01813722401857376,0.01788448914885521
artificial.43,0.01049812976270914,0.009703212417662144,0.010467514395713806,0.010335484519600868,0.011356674134731293,0.011324683204293251,0.011223834939301014,0.011136961169540882,0.010279097594320774,0.009938347153365612,0.011495281010866165,0.011231533251702785,0.010982543230056763,0.009696087799966335,0.009359723888337612
artificial.44,0.04113943129777908,0.040624845772981644,0.03977270424365997,0.04138687252998352,0.04101301729679108,0.027741368860006332,0.02640221081674099,0.026729287579655647,0.026736078783869743,0.029043518006801605,0.026227697730064392,0.025015980005264282,0.02650894969701767,0.027293024584650993,0.02907872572541237
artificial.45,0.015052183531224728,0.015158142894506454,0.01586216874420643,0.015330757945775986,0.01699822209775448,0.010634633712470531,0.011635160073637962,0.011932244524359703,0.01247162465006113,0.014799167402088642,0.010816744528710842,0.011388629674911499,0.012305034324526787,0.013338614255189896,0.01496835146099329
artificial.46,0.022822706028819084,0.02238566055893898,0.021736010909080505,0.022404897958040237,0.023869609460234642,0.019335759803652763,0.019487060606479645,0.01912286877632141,0.01958412490785122,0.01905263401567936,0.01951715163886547,0.019489360973238945,0.01957303285598755,0.0196672473102808,0.018583174794912338
artificial.47,0.02762126363813877,0.026075858622789383,0.027008043602108955,0.025752805173397064,0.02675444632768631,0.014524967409670353,0.016051340848207474,0.016067324206233025,0.017146442085504532,0.018483472988009453,0.01589585281908512,0.015452825464308262,0.01619253307580948,0.01771656423807144,0.019379612058401108
artificial.48,0.058218978345394135,0.05753986909985542,0.05784710869193077,0.05616794899106026,0.05457274243235588,0.049073658883571625,0.04967797175049782,0.050113655626773834,0.04942791163921356,0.04425904527306557,0.0493379570543766,0.04947972670197487,0.049867015331983566,0.048539914190769196,0.04479934275150299
