,Max Proba
Granulocytes_pS6_GMCSF,0.975
CD4Tnaive_pSTAT3_GMCSF,0.949
intMCs_pCREB_GMCSF,0.944
Granulocytes_pSTAT5_GMCSF,0.686
ncMCs_pS6_GMCSF,0.579
MDSCs_pSTAT3_GMCSF,0.531
pDCs_pSTAT5_GMCSF,0.529
Granulocytes_pSTAT3_GMCSF,0.513
intMCs_pS6_GMCSF,0.46
cMCs_HLADR_GMCSF,0.412
ncMCs_pNFkB_GMCSF,0.359
Granulocytes_pNFkB_GMCSF,0.356
intMCs_pNFkB_GMCSF,0.333
pDCs_pNFkB_GMCSF,0.305
ncMCs_pSTAT5_GMCSF,0.303
intMCs_pERK_GMCSF,0.233
mDCs_pS6_GMCSF,0.211
MDSCs_pSTAT5_GMCSF,0.167
cMCs_pS6_GMCSF,0.122
pDCs_pSTAT6_GMCSF,0.106
MDSCs_pS6_GMCSF,0.089
pDCs_pS6_GMCSF,0.074
mDCs_pSTAT5_GMCSF,0.018
cMCs_pSTAT6_GMCSF,0.013
mDCs_pSTAT6_GMCSF,0.011
intMCs_pSTAT5_GMCSF,0.01
cMCs_pSTAT5_GMCSF,0.01
intMCs_pSTAT6_GMCSF,0.007
MDSCs_pSTAT6_GMCSF,0.004
