,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
artificial.1,0.417,0.245,0.09,0.015,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.471,0.326,0.168,0.022,0.003,0.0,0.0,0.0,0.0,0.0
artificial.3,0.641,0.506,0.378,0.307,0.177,0.02,0.0,0.0,0.0,0.0
artificial.4,0.783,0.745,0.663,0.553,0.351,0.038,0.0,0.0,0.0,0.0
artificial.5,0.539,0.363,0.172,0.051,0.01,0.0,0.0,0.0,0.0,0.0
artificial.6,0.538,0.385,0.166,0.024,0.001,0.0,0.0,0.0,0.0,0.0
artificial.7,0.606,0.524,0.334,0.125,0.015,0.0,0.0,0.0,0.0,0.0
artificial.8,0.429,0.272,0.124,0.033,0.008,0.0,0.0,0.0,0.0,0.0
artificial.9,0.377,0.225,0.127,0.044,0.014,0.001,0.0,0.0,0.0,0.0
artificial.10,0.485,0.294,0.128,0.038,0.003,0.0,0.0,0.0,0.0,0.0
artificial.11,0.432,0.254,0.093,0.023,0.002,0.0,0.0,0.0,0.0,0.0
artificial.12,0.575,0.471,0.288,0.121,0.03,0.0,0.0,0.0,0.0,0.0
artificial.13,0.405,0.231,0.093,0.047,0.008,0.0,0.0,0.0,0.0,0.0
artificial.14,0.811,0.77,0.649,0.455,0.217,0.01,0.0,0.0,0.0,0.0
artificial.15,0.683,0.598,0.429,0.216,0.077,0.002,0.0,0.0,0.0,0.0
artificial.16,0.521,0.324,0.135,0.018,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.621,0.582,0.507,0.414,0.292,0.052,0.0,0.0,0.0,0.0
artificial.18,0.534,0.399,0.257,0.113,0.02,0.001,0.0,0.0,0.0,0.0
artificial.19,0.293,0.167,0.066,0.017,0.002,0.0,0.0,0.0,0.0,0.0
artificial.20,0.5,0.372,0.195,0.094,0.017,0.001,0.0,0.0,0.0,0.0
artificial.21,0.806,0.652,0.32,0.059,0.001,0.0,0.0,0.0,0.0,0.0
artificial.22,0.422,0.288,0.141,0.065,0.03,0.002,0.0,0.0,0.0,0.0
artificial.23,0.413,0.293,0.147,0.025,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.509,0.378,0.212,0.073,0.006,0.0,0.0,0.0,0.0,0.0
artificial.25,0.373,0.225,0.089,0.014,0.001,0.0,0.0,0.0,0.0,0.0
artificial.26,0.408,0.277,0.162,0.074,0.009,0.0,0.0,0.0,0.0,0.0
artificial.27,0.62,0.493,0.325,0.095,0.003,0.0,0.0,0.0,0.0,0.0
artificial.28,0.805,0.75,0.516,0.188,0.01,0.0,0.0,0.0,0.0,0.0
artificial.29,0.766,0.732,0.643,0.514,0.377,0.104,0.0,0.0,0.0,0.0
artificial.30,0.506,0.411,0.269,0.118,0.015,0.0,0.0,0.0,0.0,0.0
artificial.31,0.446,0.267,0.135,0.032,0.002,0.0,0.0,0.0,0.0,0.0
artificial.32,0.625,0.435,0.202,0.036,0.001,0.0,0.0,0.0,0.0,0.0
artificial.33,0.389,0.2,0.051,0.007,0.001,0.0,0.0,0.0,0.0,0.0
artificial.34,0.311,0.151,0.061,0.019,0.015,0.0,0.0,0.0,0.0,0.0
artificial.35,0.614,0.509,0.374,0.133,0.025,0.001,0.0,0.0,0.0,0.0
artificial.36,0.549,0.437,0.304,0.156,0.031,0.0,0.0,0.0,0.0,0.0
artificial.37,0.795,0.751,0.629,0.282,0.035,0.0,0.0,0.0,0.0,0.0
artificial.38,0.443,0.379,0.306,0.149,0.008,0.0,0.0,0.0,0.0,0.0
artificial.39,0.504,0.422,0.299,0.157,0.034,0.001,0.0,0.0,0.0,0.0
artificial.40,0.533,0.409,0.24,0.082,0.015,0.0,0.0,0.0,0.0,0.0
artificial.41,0.478,0.36,0.231,0.086,0.005,0.0,0.0,0.0,0.0,0.0
