,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
CD4Tcm_CD25_IL33,0.332,0.282,0.271,0.229,0.101,0.002,0.0,0.0,0.0,0.0
CD4Tregs_CD25_IL33,0.314,0.196,0.101,0.064,0.022,0.0,0.0,0.0,0.0,0.0
cMCs_CD25_IL33,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tregs_HLADR_IL33,0.612,0.452,0.234,0.063,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_HLADR_IL33,0.19,0.158,0.12,0.057,0.03,0.0,0.0,0.0,0.0,0.0
CD8Tem_HLADR_IL33,0.312,0.209,0.115,0.044,0.006,0.0,0.0,0.0,0.0,0.0
cMCs_HLADR_IL33,0.342,0.23,0.105,0.023,0.004,0.0,0.0,0.0,0.0,0.0
MDSCs_pCREB_IL33,0.694,0.624,0.519,0.376,0.206,0.013,0.0,0.0,0.0,0.0
cMCs_pCREB_IL33,0.116,0.112,0.149,0.178,0.13,0.012,0.0,0.0,0.0,0.0
intMCs_pCREB_IL33,0.299,0.218,0.127,0.082,0.066,0.007,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pMK2_IL33,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pMK2_IL33,0.141,0.051,0.014,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pNFkB_IL33,0.576,0.464,0.325,0.187,0.065,0.001,0.0,0.0,0.0,0.0
CD4negCD8negTcells_pNFkB_IL33,0.452,0.295,0.168,0.097,0.023,0.001,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pNFkB_IL33,0.417,0.195,0.049,0.017,0.006,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_IL33,0.259,0.2,0.171,0.102,0.023,0.003,0.0,0.0,0.0,0.0
CD8Tem_pNFkB_IL33,0.192,0.081,0.017,0.005,0.004,0.0,0.0,0.0,0.0,0.0
CD8Tem_CCR2pos_pNFkB_IL33,0.276,0.129,0.044,0.011,0.002,0.0,0.0,0.0,0.0,0.0
Granulocytes_pNFkB_IL33,0.218,0.102,0.036,0.015,0.007,0.0,0.0,0.0,0.0,0.0
cMCs_pNFkB_IL33,0.466,0.302,0.095,0.008,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_IL33,0.326,0.237,0.146,0.026,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_IL33,0.313,0.253,0.139,0.017,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pp38_IL33,0.053,0.039,0.019,0.001,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_pS6_IL33,0.587,0.489,0.313,0.085,0.004,0.0,0.0,0.0,0.0,0.0
CD56hiCD16negNK_pS6_IL33,0.166,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tcells_Th1_pS6_IL33,0.707,0.675,0.567,0.251,0.012,0.0,0.0,0.0,0.0,0.0
CD8Tcm_CCR2pos_pS6_IL33,0.008,0.013,0.017,0.019,0.007,0.0,0.0,0.0,0.0,0.0
MDSCs_pS6_IL33,0.08,0.018,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pS6_IL33,0.085,0.042,0.016,0.009,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_IL33,0.037,0.011,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_IL33,0.065,0.015,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_IL33,0.182,0.049,0.003,0.001,0.002,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_IL33,0.342,0.204,0.142,0.049,0.003,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT3_IL33,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKT_pSTAT5_IL33,0.447,0.427,0.421,0.415,0.305,0.003,0.0,0.0,0.0,0.0
pDCs_pSTAT5_IL33,0.473,0.312,0.149,0.052,0.034,0.0,0.0,0.0,0.0,0.0
Bcells_pSTAT6_IL33,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
MDSCs_pSTAT6_IL33,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0
cMCs_pSTAT6_IL33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pSTAT6_IL33,0.005,0.004,0.002,0.001,0.002,0.0,0.0,0.0,0.0,0.0
mDCs_pSTAT6_IL33,0.003,0.001,0.003,0.0,0.001,0.0,0.0,0.0,0.0,0.0
