,Max Proba
CD4Tnaive_pSTAT5_LPS,0.923
Granulocytes_pS6_LPS,0.828
MDSCs_pCREB_LPS,0.612
CD4Tregs_pSTAT3_LPS,0.568
CD8Tnaive_pSTAT3_LPS,0.444
CD4Tregs_pSTAT6_LPS,0.408
Bcells_pS6_LPS,0.379
CD4Tnaive_pSTAT3_LPS,0.325
CD8Tnaive_pSTAT6_LPS,0.27
CD8Teff_pSTAT3_LPS,0.265
CD4Teff_pSTAT3_LPS,0.203
mDCs_HLADR_LPS,0.192
MDSCs_pSTAT3_LPS,0.191
intMCs_pCREB_LPS,0.168
mDCs_pS6_LPS,0.167
ncMCs_HLADR_LPS,0.162
cMCs_pSTAT3_LPS,0.148
mDCs_IkB_LPS,0.138
pDCs_pSTAT5_LPS,0.133
ncMCs_pS6_LPS,0.118
intMCs_HLADR_LPS,0.118
Granulocytes_pCREB_LPS,0.114
ncMCs_pp38_LPS,0.107
cMCs_pCREB_LPS,0.092
cMCs_HLADR_LPS,0.087
ncMCs_pNFkB_LPS,0.085
CD8Tcm_pSTAT5_LPS,0.08
pDCs_pSTAT3_LPS,0.072
pDCs_pNFkB_LPS,0.07
CD4Tnaive_pSTAT6_LPS,0.066
MDSCs_pS6_LPS,0.054
pDCs_pS6_LPS,0.051
intMCs_pS6_LPS,0.051
Granulocytes_pSTAT1_LPS,0.05
cMCs_pp38_LPS,0.049
CD4Tregs_pSTAT5_LPS,0.047
ncMCs_pSTAT1_LPS,0.044
ncMCs_pERK_LPS,0.031
CD8Tcells_Th1_pSTAT3_LPS,0.026
ncMCs_pSTAT3_LPS,0.02
ncMCs_pCREB_LPS,0.01
CD4Teff_pSTAT5_LPS,0.009
intMCs_pMK2_LPS,0.009
mDCs_pCREB_LPS,0.007
CD4negCD8negTcells_pSTAT1_LPS,0.007
CD4Tem_pSTAT3_LPS,0.006
cMCs_pMK2_LPS,0.006
CD8Tcm_pSTAT3_LPS,0.005
mDCs_pp38_LPS,0.004
mDCs_pSTAT3_LPS,0.004
intMCs_pSTAT3_LPS,0.003
CD8Tcm_pSTAT1_LPS,0.003
cMCs_pS6_LPS,0.003
CD8Tcm_CCR2pos_pSTAT3_LPS,0.002
CD4Tem_pSTAT5_LPS,0.001
intMCs_pSTAT1_LPS,0.001
CD4Tnaive_pSTAT1_LPS,0.001
CD56hiCD16negNK_pSTAT1_LPS,0.001
NKT_pSTAT1_LPS,0.001
pDCs_pSTAT6_LPS,0.001
CD4Tcm_pSTAT6_LPS,0.001
cMCs_pSTAT5_LPS,0.001
CD8Tcm_CCR2pos_pSTAT5_LPS,0.001
CD4Tem_CCR2pos_pSTAT5_LPS,0.001
mDCs_pSTAT1_LPS,0.001
pDCs_pSTAT1_LPS,0.001
CD8Tem_CCR2pos_pSTAT3_LPS,0.001
Bcells_pSTAT1_LPS,0.0
CD4Tcm_pNFkB_LPS,0.0
CD8Tcm_CCR2pos_pCREB_LPS,0.0
CD8Tem_pCREB_LPS,0.0
CD4Tcm_CCR2pos_pCREB_LPS,0.0
CD4Tcm_pSTAT1_LPS,0.0
CD4Tcm_CCR2pos_pSTAT1_LPS,0.0
CD4Teff_pSTAT1_LPS,0.0
CD8Tcells_Th1_pSTAT1_LPS,0.0
CD56loCD16posNK_pSTAT1_LPS,0.0
CD4Tem_CCR2pos_pSTAT1_LPS,0.0
CD4Tregs_pSTAT1_LPS,0.0
CD4Tem_pSTAT1_LPS,0.0
CD4Tcm_CCR2pos_pSTAT3_LPS,0.0
CD4Tem_CCR2pos_pSTAT3_LPS,0.0
CD8Teff_pSTAT1_LPS,0.0
MDSCs_pSTAT1_LPS,0.0
CD8Tnaive_pSTAT1_LPS,0.0
CD8Tem_CCR2pos_pSTAT1_LPS,0.0
CD8Tem_pSTAT1_LPS,0.0
CD8Tcm_CCR2pos_pSTAT1_LPS,0.0
NK_cells_CD11cpos_pSTAT1_LPS,0.0
cMCs_pSTAT1_LPS,0.0
Bcells_pSTAT3_LPS,0.0
CD8Tem_pSTAT3_LPS,0.0
CD56hiCD16negNK_pSTAT3_LPS,0.0
CD56loCD16posNK_pSTAT3_LPS,0.0
CD4negCD8negTcells_pSTAT3_LPS,0.0
CD4Tcm_pSTAT3_LPS,0.0
NK_cells_CD11cpos_pSTAT3_LPS,0.0
NK_cells_CD11cneg_pSTAT3_LPS,0.0
NKT_pSTAT3_LPS,0.0
CD4Tcm_pSTAT5_LPS,0.0
CD4Tcm_CCR2pos_pSTAT5_LPS,0.0
CD8Tnaive_pSTAT5_LPS,0.0
intMCs_pSTAT5_LPS,0.0
Bcells_pSTAT6_LPS,0.0
cMCs_pSTAT6_LPS,0.0
intMCs_pSTAT6_LPS,0.0
mDCs_pSTAT6_LPS,0.0
