,Max Proba
CD4Tnaive_pSTAT3_TNFa,0.999
Granulocytes_pS6_TNFa,0.985
CD4Teff_pNFkB_TNFa,0.839
intMCs_pCREB_TNFa,0.836
CD8Tcm_pNFkB_TNFa,0.52
mDCs_HLADR_TNFa,0.498
cMCs_HLADR_TNFa,0.467
intMCs_pS6_TNFa,0.432
CD4Tem_pSTAT3_TNFa,0.378
Granulocytes_pSTAT3_TNFa,0.357
cMCs_pS6_TNFa,0.341
pDCs_pNFkB_TNFa,0.316
ncMCs_pNFkB_TNFa,0.285
intMCs_pNFkB_TNFa,0.284
mDCs_pS6_TNFa,0.279
cMCs_IkB_TNFa,0.271
mDCs_pCREB_TNFa,0.255
CD4Teff_pSTAT3_TNFa,0.246
CD8Tnaive_pSTAT3_TNFa,0.238
ncMCs_pS6_TNFa,0.207
pDCs_pS6_TNFa,0.194
CD4Tem_CCR2pos_pSTAT3_TNFa,0.16
CD4Tregs_pSTAT3_TNFa,0.153
MDSCs_pS6_TNFa,0.135
CD4Tcm_CCR2pos_pSTAT3_TNFa,0.066
CD4Tcm_pSTAT3_TNFa,0.0
