,{'alpha': np.float64(1.0)},{'alpha': np.float64(1.6681005372000588)},{'alpha': np.float64(2.7825594022071245)},{'alpha': np.float64(4.641588833612778)},{'alpha': np.float64(7.742636826811269)},{'alpha': np.float64(12.91549665014884)},{'alpha': np.float64(21.544346900318832)},{'alpha': np.float64(35.93813663804626)},{'alpha': np.float64(59.94842503189409)},{'alpha': np.float64(100.0)}
cMCs_HLADR_TNFa,0.467,0.299,0.121,0.014,0.003,0.0,0.0,0.0,0.0,0.0
mDCs_HLADR_TNFa,0.498,0.361,0.195,0.061,0.007,0.0,0.0,0.0,0.0,0.0
cMCs_IkB_TNFa,0.271,0.158,0.115,0.084,0.048,0.001,0.0,0.0,0.0,0.0
intMCs_pCREB_TNFa,0.836,0.788,0.729,0.661,0.514,0.086,0.0,0.0,0.0,0.0
mDCs_pCREB_TNFa,0.255,0.186,0.131,0.062,0.017,0.0,0.0,0.0,0.0,0.0
CD4Teff_pNFkB_TNFa,0.839,0.74,0.468,0.211,0.053,0.0,0.0,0.0,0.0,0.0
CD8Tcm_pNFkB_TNFa,0.52,0.458,0.471,0.464,0.232,0.009,0.0,0.0,0.0,0.0
intMCs_pNFkB_TNFa,0.284,0.153,0.071,0.038,0.02,0.0,0.0,0.0,0.0,0.0
ncMCs_pNFkB_TNFa,0.285,0.125,0.052,0.01,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pNFkB_TNFa,0.316,0.162,0.041,0.007,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pS6_TNFa,0.985,0.957,0.849,0.514,0.162,0.006,0.0,0.0,0.0,0.0
MDSCs_pS6_TNFa,0.135,0.052,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cMCs_pS6_TNFa,0.341,0.171,0.035,0.002,0.0,0.0,0.0,0.0,0.0,0.0
intMCs_pS6_TNFa,0.432,0.221,0.045,0.001,0.0,0.0,0.0,0.0,0.0,0.0
mDCs_pS6_TNFa,0.272,0.279,0.202,0.062,0.0,0.0,0.0,0.0,0.0,0.0
ncMCs_pS6_TNFa,0.207,0.187,0.148,0.033,0.0,0.0,0.0,0.0,0.0,0.0
pDCs_pS6_TNFa,0.194,0.159,0.075,0.014,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_pSTAT3_TNFa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tcm_CCR2pos_pSTAT3_TNFa,0.054,0.066,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Teff_pSTAT3_TNFa,0.246,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tem_pSTAT3_TNFa,0.308,0.378,0.177,0.045,0.06,0.001,0.0,0.0,0.0,0.0
CD4Tem_CCR2pos_pSTAT3_TNFa,0.088,0.115,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0
CD4Tnaive_pSTAT3_TNFa,0.999,0.999,0.894,0.445,0.079,0.0,0.0,0.0,0.0,0.0
CD4Tregs_pSTAT3_TNFa,0.153,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD8Tnaive_pSTAT3_TNFa,0.238,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granulocytes_pSTAT3_TNFa,0.357,0.234,0.155,0.07,0.014,0.0,0.0,0.0,0.0,0.0
