,Max Proba
CD4Tnaive_pSTAT5_Unstim,0.975
Granulocytes_pS6_Unstim,0.87
CD8Tcm_CCR2pos_pNFkB_Unstim,0.816
Granulocytes_IkB_Unstim,0.553
CD56hiCD16negNK_HLADR_Unstim,0.476
CD4Tnaive_pSTAT3_Unstim,0.425
pDCs_HLADR_Unstim,0.363
Bcells_pS6_Unstim,0.282
CD8Tcm_HLADR_Unstim,0.276
mDCs_HLADR_Unstim,0.252
CD4negCD8negTcells_pSTAT6_Unstim,0.248
CD4Tregs_HLADR_Unstim,0.229
pDCs_pSTAT5_Unstim,0.207
CD8Teff_pSTAT5_Unstim,0.188
CD4Tcm_CD25_Unstim,0.155
CD4Teff_pNFkB_Unstim,0.15
CD4negCD8negTcells_HLADR_Unstim,0.132
Granulocytes_pSTAT3_Unstim,0.13
ncMCs_HLADR_Unstim,0.129
CD4negCD8negTcells_pNFkB_Unstim,0.128
CD8Tem_HLADR_Unstim,0.123
NKT_pSTAT6_Unstim,0.122
intMCs_HLADR_Unstim,0.121
MDSCs_HLADR_Unstim,0.116
CD4Tcm_CCR2pos_CD25_Unstim,0.115
Bcells_HLADR_Unstim,0.112
NKT_pNFkB_Unstim,0.112
CD56hiCD16negNK_pNFkB_Unstim,0.11
CD4Teff_pSTAT6_Unstim,0.11
ncMCs_pNFkB_Unstim,0.103
CD56loCD16posNK_pSTAT5_Unstim,0.098
CD8Tcm_pNFkB_Unstim,0.088
CD8Tem_pNFkB_Unstim,0.082
CD4Tregs_CD25_Unstim,0.073
CD4Tem_CD25_Unstim,0.073
CD8Tcells_Th1_pNFkB_Unstim,0.072
NK_cells_CD11cpos_HLADR_Unstim,0.071
CD56loCD16posNK_pNFkB_Unstim,0.065
NKT_HLADR_Unstim,0.063
Granulocytes_pSTAT5_Unstim,0.063
CD8Teff_HLADR_Unstim,0.06
NK_cells_CD11cneg_pSTAT5_Unstim,0.057
CD4Tem_CCR2pos_CD25_Unstim,0.055
NK_cells_CD11cneg_HLADR_Unstim,0.053
CD8Teff_pNFkB_Unstim,0.053
NKT_pSTAT5_Unstim,0.053
CD8Tcells_Th1_pS6_Unstim,0.048
CD8Tcells_Th1_HLADR_Unstim,0.047
