,Max Proba
artificial.15,0.825
artificial.11,0.777
artificial.5,0.769
artificial.3,0.719
artificial.20,0.653
artificial.24,0.653
artificial.16,0.643
artificial.22,0.64
artificial.4,0.634
artificial.10,0.608
artificial.29,0.603
artificial.26,0.581
artificial.25,0.581
artificial.9,0.538
artificial.18,0.535
artificial.17,0.529
artificial.19,0.527
artificial.23,0.518
artificial.1,0.515
artificial.14,0.514
artificial.13,0.487
artificial.2,0.458
artificial.12,0.457
artificial.28,0.444
artificial.8,0.44
artificial.7,0.421
artificial.27,0.409
artificial.21,0.389
artificial.6,0.386
