,Max Proba
CD4Tnaive_pSTAT5_Unstim,0.988
Granulocytes_pS6_Unstim,0.913
CD8Tcm_CCR2pos_pNFkB_Unstim,0.87
Granulocytes_IkB_Unstim,0.669
CD56hiCD16negNK_HLADR_Unstim,0.569
CD4Tnaive_pSTAT3_Unstim,0.457
pDCs_HLADR_Unstim,0.435
Bcells_pS6_Unstim,0.349
CD8Tcm_HLADR_Unstim,0.344
CD4negCD8negTcells_pSTAT6_Unstim,0.325
CD4Tregs_HLADR_Unstim,0.293
mDCs_HLADR_Unstim,0.293
pDCs_pSTAT5_Unstim,0.25
CD8Teff_pSTAT5_Unstim,0.225
CD4Tcm_CD25_Unstim,0.209
CD4Teff_pNFkB_Unstim,0.192
ncMCs_HLADR_Unstim,0.183
CD4negCD8negTcells_HLADR_Unstim,0.182
intMCs_HLADR_Unstim,0.169
CD4negCD8negTcells_pNFkB_Unstim,0.167
NKT_pSTAT6_Unstim,0.166
CD8Tem_HLADR_Unstim,0.162
Bcells_HLADR_Unstim,0.161
Granulocytes_pSTAT3_Unstim,0.158
CD4Tcm_CCR2pos_CD25_Unstim,0.152
NKT_pNFkB_Unstim,0.149
CD56hiCD16negNK_pNFkB_Unstim,0.142
CD4Teff_pSTAT6_Unstim,0.142
MDSCs_HLADR_Unstim,0.142
CD56loCD16posNK_pSTAT5_Unstim,0.139
ncMCs_pNFkB_Unstim,0.127
CD8Tcm_pNFkB_Unstim,0.124
NK_cells_CD11cpos_HLADR_Unstim,0.113
CD4Tregs_CD25_Unstim,0.107
CD8Tem_pNFkB_Unstim,0.1
CD8Tcells_Th1_pNFkB_Unstim,0.1
CD56loCD16posNK_pNFkB_Unstim,0.094
CD4Tem_CD25_Unstim,0.093
CD8Teff_HLADR_Unstim,0.089
NKT_HLADR_Unstim,0.082
Granulocytes_pSTAT5_Unstim,0.078
NKT_pSTAT5_Unstim,0.078
CD4Tem_CCR2pos_CD25_Unstim,0.076
Granulocytes_pNFkB_Unstim,0.075
CD8Teff_pNFkB_Unstim,0.074
NK_cells_CD11cneg_pSTAT5_Unstim,0.073
NK_cells_CD11cneg_HLADR_Unstim,0.067
CD8Tcells_Th1_pS6_Unstim,0.066
CD8Tcells_Th1_HLADR_Unstim,0.056
NK_cells_CD11cpos_pSTAT5_Unstim,0.051
CD56loCD16posNK_HLADR_Unstim,0.051
ncMCs_pS6_Unstim,0.05
NK_cells_CD11cneg_pNFkB_Unstim,0.046
CD8Tem_CCR2pos_pNFkB_Unstim,0.042
MDSCs_pSTAT3_Unstim,0.04
CD4Tem_pNFkB_Unstim,0.039
ncMCs_pSTAT3_Unstim,0.038
cMCs_HLADR_Unstim,0.035
CD8Tcm_CCR2pos_pSTAT3_Unstim,0.034
CD56hiCD16negNK_pS6_Unstim,0.033
CD8Teff_pSTAT3_Unstim,0.03
NK_cells_CD11cpos_pNFkB_Unstim,0.027
MDSCs_pS6_Unstim,0.019
CD8Tcm_CCR2pos_pS6_Unstim,0.016
CD4Tcm_CCR2pos_pSTAT5_Unstim,0.013
CD8Tnaive_pSTAT5_Unstim,0.013
cMCs_pSTAT3_Unstim,0.01
CD4Tem_CCR2pos_pSTAT5_Unstim,0.01
CD4Teff_pSTAT5_Unstim,0.01
CD4Tregs_pSTAT5_Unstim,0.01
ncMCs_pSTAT5_Unstim,0.01
pDCs_pS6_Unstim,0.008
pDCs_pSTAT3_Unstim,0.007
CD8Tem_CCR2pos_pSTAT5_Unstim,0.007
CD56hiCD16negNK_pSTAT5_Unstim,0.007
mDCs_pS6_Unstim,0.007
CD4Teff_pS6_Unstim,0.005
