,Max Proba
CD4Tnaive_pSTAT3_IFNa,0.7800786824932244
CD4Tcm_pSTAT3_IFNa,0.3730079066545272
intMCs_pCREB_IFNa,0.14951431392362693
CD4Tregs_pSTAT5_IFNa,0.05751088915348347
CD4Tcm_CCR2pos_pCREB_IFNa,0.056514750738161174
CD4negCD8negTcells_pNFkB_IFNa,0.055520188592053314
MDSCs_pCREB_IFNa,0.05227611839195166
CD4Tnaive_pSTAT5_IFNa,0.05208809527010317
NK_cells_CD11cneg_pNFkB_IFNa,0.04804616991048368
CD8Tnaive_pSTAT3_IFNa,0.04524221671025359
CD8Tcm_CCR2pos_pNFkB_IFNa,0.043170571543370416
mDCs_HLADR_IFNa,0.03848602634058301
CD8Teff_pSTAT6_IFNa,0.03662775974816288
CD4Tcm_pSTAT6_IFNa,0.034672936308055326
CD56hiCD16negNK_pS6_IFNa,0.034092963859664364
CD4Tcm_CCR2pos_pNFkB_IFNa,0.033097763692212095
cMCs_pCREB_IFNa,0.028691190182117063
Granulocytes_pCREB_IFNa,0.021300044476118423
NK_cells_CD11cpos_pSTAT3_IFNa,0.020816705434256556
NKT_pSTAT1_IFNa,0.020259511145354167
CD4Tregs_pNFkB_IFNa,0.019362760924557607
CD8Tcm_pNFkB_IFNa,0.018355276066958047
CD4Teff_pSTAT6_IFNa,0.017621356844361915
CD4Tregs_pSTAT3_IFNa,0.017043106962094167
CD4negCD8negTcells_pSTAT6_IFNa,0.015226795608976756
CD56loCD16posNK_pNFkB_IFNa,0.015198912747176602
intMCs_pNFkB_IFNa,0.013573228979389677
CD4Tcm_CCR2pos_pSTAT3_IFNa,0.013147391841244076
NK_cells_CD11cneg_pS6_IFNa,0.013137800749144184
CD56loCD16posNK_pSTAT3_IFNa,0.012610542679980054
CD56hiCD16negNK_pNFkB_IFNa,0.012427144104157154
CD4Tnaive_pSTAT1_IFNa,0.012322571248176688
NKT_pSTAT6_IFNa,0.011963928209885772
NK_cells_CD11cneg_pSTAT3_IFNa,0.011714334851298067
ncMCs_pCREB_IFNa,0.01141989212997025
