,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.011581192511849366,0.011433616578162381,0.010942369508686356,0.010775646428369135,0.010841552006177353,0.007922485210811398,0.007864114742929222,0.007843500568742655,0.007860601821874053,0.007073700439878025,0.00801786070208201,0.007961065753180145,0.007853463736210669,0.007546559147634901,0.007165907306041363
artificial.2,0.004667676290512649,0.004602695506064372,0.004595789748606968,0.004862772496824268,0.004538802314493564,0.004264027595005155,0.0043659273826896095,0.00428235757601224,0.004173415141813974,0.0038123381309974427,0.0042624864637337435,0.004331255329607531,0.004168694771271548,0.0040403795716905284,0.003718027935705686
artificial.3,0.008611545814649289,0.00818922893571237,0.008485992565640586,0.008401502508287797,0.008002516630231578,0.007247702700549961,0.007005820223193778,0.00714343635073119,0.006427974189941558,0.006272354753934058,0.007100090066039169,0.0069158063622961384,0.007089265778454285,0.006501789140537568,0.006128381988712067
artificial.4,0.005687542989878571,0.005854971348585711,0.005866056515536653,0.006300511089209259,0.006326328335898922,0.006260774436712848,0.006470055561482064,0.006426346855713789,0.006066807411781758,0.005137843101508284,0.006039341156309485,0.0060812981297244445,0.00620563089660613,0.005947114724279043,0.005260362837313815
artificial.5,0.008705313314725106,0.00860739615054402,0.008219971835746001,0.00862626997180507,0.008251794824350664,0.006935730788514423,0.007582279110168305,0.0070539284223073715,0.007629163252201924,0.00623457003526041,0.006817245095611963,0.007419179960459314,0.007030315173414397,0.007560026479230571,0.006111745867014958
artificial.6,0.01192810301507654,0.011949398715835332,0.01171747282030086,0.012079499677012304,0.012618630246867045,0.010578869512326132,0.010814790652994505,0.010506979158448717,0.010113099306366334,0.010384238891491695,0.010585939745479162,0.010713076698545706,0.01050013822649789,0.010054959192536642,0.01039179587204488
artificial.7,0.009926940491273252,0.00949420886010765,0.009706495140163864,0.010202894807075471,0.011623458608729285,0.007700012390231423,0.007834322049670621,0.007843455971702702,0.00820351756519648,0.008526362245186459,0.00784760992946133,0.00788937785435921,0.007992117175573951,0.008097288586535635,0.008286704456815027
artificial.8,0.014913963016060013,0.01485080878643816,0.015298171550273285,0.014636476092339302,0.013218911961419971,0.01615863829079376,0.01613678368816759,0.015553515904055817,0.014661433830206353,0.013189756583748012,0.015561711312961425,0.01571497758584579,0.015190127351426733,0.014770601347623579,0.013156082843077533
artificial.9,0.008463726985318741,0.008632129857604656,0.009186259135557874,0.009511464283444352,0.009873590312379991,0.00753214619704001,0.007397874333889948,0.007948248349246727,0.008573813319202608,0.009397374194083836,0.007286640012893407,0.007318940838794046,0.007747724056963614,0.008517601363620566,0.009411032316081178
artificial.10,0.009287461189753383,0.00901534570909226,0.009533144810528776,0.00965325062637638,0.009333531416601183,0.008310527615296085,0.008510899007161805,0.00819793700163224,0.008656859161049142,0.008141354406564409,0.00835478473974983,0.00858540839426201,0.008251301453473258,0.008810584514585251,0.008212350908360854
artificial.11,0.007952492280714247,0.007921503694941597,0.00746298082792447,0.006436005252144204,0.00670687450743336,0.006696662265015372,0.006456399788774212,0.006695095005290055,0.006573698441158875,0.005409857666054502,0.007070257886679606,0.006477294607343957,0.006512272027646856,0.0064897968732405735,0.005274507827590149
artificial.12,0.0062867189666670304,0.006068186458090797,0.006246976502031451,0.006061075128164821,0.004949447748250174,0.006337912583777265,0.005902841582125839,0.0060304153398675646,0.006055589411755599,0.004885347814880743,0.006471934880912988,0.006215226459197557,0.006092072569670539,0.005738832646143627,0.004727165181435275
artificial.13,0.0044314312613083955,0.004417291704112595,0.0049675289861393504,0.005078340331934064,0.005190866162584253,0.0034348102873476252,0.0030359697999299893,0.0030555313349875145,0.003070790349305921,0.004116850683576959,0.003474951499435172,0.0029693520453725948,0.0030030417210823238,0.0031851957583722366,0.004109393984621703
artificial.14,0.017970387604785375,0.01783873761545664,0.017300466832741702,0.01698172580674545,0.017099774879787012,0.014076384563462876,0.014198971819182225,0.014102334968814178,0.013963093914969226,0.012281295147126831,0.014370458211141513,0.014293159344966071,0.014029927767974616,0.01371322822773819,0.012511450259656446
artificial.15,0.021516284021098814,0.021855209324718062,0.021612190986296898,0.02151929916400666,0.022843292120636054,0.020033451048021764,0.019867948158140195,0.01976568016968396,0.020334901710113373,0.0218515326497391,0.019888530181857718,0.019688200741986087,0.019672120646411495,0.020138907312128782,0.02155040524210011
artificial.16,0.008816269009846167,0.008938003723391716,0.008735086835814306,0.008730580605057239,0.008546933422106572,0.006964999432236511,0.007267026192807786,0.0067673291760296595,0.0074170773064577145,0.007103472720558255,0.00674491159839111,0.007212096043644526,0.006945407198852376,0.007145062140649664,0.00719637846024902
artificial.17,0.006349938817946242,0.0063462006735152884,0.006572618710427276,0.0063243338696453355,0.006930825186388178,0.0057109333005469125,0.005931270828331259,0.004379018092359931,0.004579462554894307,0.0038378602368678632,0.00565090691830758,0.005947541560552861,0.00439893239882608,0.004497879472119063,0.0038384056185558077
artificial.18,0.0066773253037352735,0.0064452576476908266,0.006665026274010297,0.006495232070394094,0.007087597635410944,0.006795938746503522,0.0071258636518060385,0.00620800036785487,0.006237064214727503,0.006791873569599309,0.0068030864632716275,0.007106945545424229,0.006203662811021116,0.0062772393888639675,0.006841439739374214
artificial.19,0.006018545447382773,0.006765550659811625,0.006993717260095179,0.007092722855677125,0.007428888203546354,0.00598101404847516,0.006006234604163561,0.00618174772579807,0.0057701043894613615,0.005078671473643348,0.006216899901674356,0.006160957581154426,0.006012898718732021,0.005937100862922721,0.0051834968397128835
artificial.20,0.004798526230182369,0.004529901378047386,0.004684993591489751,0.004673972116680731,0.004358626764671769,0.0036095923913932845,0.0034370021180543733,0.003366790217149371,0.003579222093565677,0.003676468913018661,0.003496577882361766,0.0033971751627234815,0.003270450261521249,0.003735566212052775,0.0036667885096429587
