,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
cMCs_HLADR_LPS,0.024618789827932107,0.024095958382502804,0.02430666846731859,0.022839938791272493,0.022763923404868824,0.03196739480650387,0.030813353529967363,0.03047135774451724,0.028714259446854965,0.02889757784193647,0.031816999385513654,0.03062584024292515,0.030211483101944884,0.029056856341190252,0.028516552496209328
intMCs_HLADR_LPS,0.01384534225870657,0.01382023513826578,0.013732846141695848,0.012967045495059382,0.011900957576193362,0.013834595812387579,0.013664327547697488,0.013219705108095081,0.012711410743825216,0.012284050398910852,0.013916868721340191,0.01371924394239462,0.01333263139575325,0.012819825364476544,0.01252164971789874
mDCs_HLADR_LPS,0.021218073701816772,0.020517503063484703,0.020471480915829142,0.019837200542168594,0.019665838900293553,0.025259506488746607,0.025079587121433496,0.024622412994542184,0.02385114965115744,0.022253181205414817,0.025088653674114128,0.025113422105727787,0.024753039351708177,0.023659333174129032,0.022563106677337064
ncMCs_HLADR_LPS,0.013239044241251507,0.013521952102538051,0.012907675369118014,0.012911702771953809,0.012302866653771859,0.016097790764331106,0.015995738671972203,0.01581933270994415,0.015693979694145755,0.015209241300804493,0.016104616069688136,0.0159854698149076,0.015852022958931435,0.015697548204746184,0.015323397961557744
mDCs_IkB_LPS,0.013769784358654072,0.014146555265214418,0.013633662003149919,0.012952781721402728,0.012286912356666931,0.013861717422938884,0.013519009968759757,0.013246858630493522,0.012437129681769963,0.012240664366486515,0.013952614391270822,0.014008818824152199,0.013696763500942049,0.01237585197318976,0.012330474210653692
CD4Tcm_CCR2pos_pCREB_LPS,0.025308961677927237,0.024720773023282103,0.023621884224319312,0.021992407104017286,0.02091105386429458,0.024660722463258514,0.023958718944762713,0.023637763439620332,0.022781192150300923,0.020695620483563836,0.024617598465240642,0.023993750458279305,0.02365333114710417,0.022915049323289485,0.020351988484968688
CD8Tcm_CCR2pos_pCREB_LPS,0.040272278717117756,0.040239780303886044,0.04038510693688785,0.03996746889834575,0.03827449496879203,0.03860865641285815,0.03905396998364767,0.03848699364309213,0.03827515185597496,0.03645203819594444,0.03881661148477778,0.039692514500273515,0.038593194620066426,0.03781424305098334,0.03624041488911813
CD8Tem_pCREB_LPS,0.02224025478195805,0.02238723661121388,0.02203861943861763,0.021492964091610407,0.020205047277444987,0.017093507240872545,0.016929799847273178,0.01636902837198413,0.015937039371849784,0.014081997843795015,0.017053691616630392,0.016732607488521553,0.016186379414959203,0.015384099668196184,0.01393932283127569
Granulocytes_pCREB_LPS,0.02029595674107124,0.020516510879519157,0.02039115669941403,0.020034759785309417,0.020603170509428087,0.018603573742206697,0.01970536901571557,0.01878369488677479,0.01910140151362438,0.019894347350021782,0.018558846920182975,0.0194542041633477,0.018696865243813376,0.019016607567368084,0.019971098077318814
MDSCs_pCREB_LPS,0.08407095393506138,0.08340987244924457,0.08374623963247281,0.08469463506700135,0.08356018868182277,0.07752580216672803,0.07630680946725557,0.07633603577281685,0.07621406674854987,0.07378954669481447,0.07737479676672393,0.07588451900893732,0.07595505698284971,0.07614891989009871,0.07384985688849498
