,Max Proba
CD4Tnaive_pSTAT3_Unstim,0.8247510905341728
CD8Tnaive_pSTAT3_Unstim,0.16657105957732465
CD4Tnaive_pSTAT5_Unstim,0.1477642329865159
Granulocytes_pS6_Unstim,0.1461456088542067
CD4Tregs_pSTAT5_Unstim,0.10281981261083538
CD4Tcm_pSTAT3_Unstim,0.10260553366429727
CD8Tcm_CCR2pos_pNFkB_Unstim,0.0686552237282118
Granulocytes_IkB_Unstim,0.055325873319570826
CD4negCD8negTcells_pSTAT6_Unstim,0.05092187583329542
CD56hiCD16negNK_pS6_Unstim,0.04718374475032312
CD4negCD8negTcells_pNFkB_Unstim,0.039101680455279966
Bcells_HLADR_Unstim,0.030150814821480743
CD8Teff_HLADR_Unstim,0.0268952626775529
CD4Teff_pSTAT6_Unstim,0.02519096276892129
CD4Tcm_CD25_Unstim,0.02140056133624235
Bcells_pS6_Unstim,0.020958409505545776
CD8Tcm_HLADR_Unstim,0.020469312611888415
CD4Tcm_pSTAT5_Unstim,0.019946494184727086
CD56hiCD16negNK_pSTAT5_Unstim,0.019184413636724948
CD4Teff_pS6_Unstim,0.01917353517192356
CD8Tnaive_pSTAT5_Unstim,0.017081019509810974
CD56loCD16posNK_HLADR_Unstim,0.01663036131171083
CD8Tem_CCR2pos_pNFkB_Unstim,0.01582016664991
CD8Tcm_CCR2pos_pSTAT5_Unstim,0.015288286962010558
CD4Teff_pSTAT3_Unstim,0.013652370511913356
mDCs_HLADR_Unstim,0.013590807674689877
CD56loCD16posNK_pNFkB_Unstim,0.012970721393403788
CD8Tcm_pNFkB_Unstim,0.01277288277511411
CD56loCD16posNK_pSTAT5_Unstim,0.012733745037359733
CD4Teff_pNFkB_Unstim,0.01201740561396368
CD8Tcells_Th1_pS6_Unstim,0.011640052651006861
CD4Tcm_pS6_Unstim,0.011610239119743343
CD4negCD8negTcells_HLADR_Unstim,0.011001719776738068
MDSCs_pSTAT5_Unstim,0.010540561527161877
CD4Tcm_CCR2pos_pS6_Unstim,0.010344988029181853
CD4Tem_CCR2pos_CD25_Unstim,0.010187708761000667
NK_cells_CD11cneg_pNFkB_Unstim,0.010079780466164827
NKT_pSTAT6_Unstim,0.009818653656536024
CD4Tregs_HLADR_Unstim,0.009767338507145257
CD4Tem_pNFkB_Unstim,0.009362736871396715
MDSCs_pSTAT3_Unstim,0.008701684399628982
Granulocytes_pNFkB_Unstim,0.008667950536710912
NK_cells_CD11cpos_HLADR_Unstim,0.008637716131027455
pDCs_pSTAT5_Unstim,0.008536667965776316
CD4Tcm_CCR2pos_CD25_Unstim,0.008437536610596505
CD4Tregs_pS6_Unstim,0.008287448903936914
CD4Tem_CD25_Unstim,0.008282955362974324
CD56hiCD16negNK_HLADR_Unstim,0.008181696490474441
pDCs_HLADR_Unstim,0.00783530505338617
MDSCs_HLADR_Unstim,0.007811786501088125
CD8Tcells_Th1_pNFkB_Unstim,0.007559736522765424
ncMCs_pNFkB_Unstim,0.007518510325241726
NK_cells_CD11cpos_pSTAT5_Unstim,0.007386928031257246
