,Max Proba
Macrophages_M1_M2_stromal_GranzymeB,0.33800775605559336
Dendritic_Cells_CD33+_stromal_GranzymeB,0.2846949926441658
NK_cells_CD56dimCD16+CD9hi_stromal_GranzymeB,0.24366195828198617
Stroma_fibroblast_stromal_GranzymeB,0.23851948076256846
NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB,0.2355166517009697
CD8_T_cells_CD80_CD86+_stromal_GranzymeB,0.17012333667290536
Stroma_fibroblast_glandfront_GranzymeB,0.16551847726308364
aSMA-br_vascular_endothelium_stromal_GranzymeB,0.1545481371278888
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.1445624450334892
Macrophages_M1-like_stromal_GranzymeB,0.13697994500175678
Stroma_vascular_endothelium_stromal_GranzymeB,0.1270926164394038
NA_glandfront_Ki67,0.12263708823538687
aSMA-br_vascular_endothelium_stromal_Ki67,0.11627101310640993
Stroma_fibroblast_glandfront_Ki67,0.11305540512840828
Gland_glandular_epithelium_intragland_Ki67,0.10598308101755581
Gland_glandular_epithelium_glandfront_Ki67,0.10274612905421589
aSMA-br_vascular_endothelium_glandfront_Ki67,0.09755689631794198
NKT_glandfront_Ki67,0.08780100340386408
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.08230309650670153
Gland_fibroblast_glandfront_GranzymeB,0.0819667157588561
CD4_T_cells_CD11b+_stromal_GranzymeB,0.07988125210061037
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.06732400902930757
Stroma_vascular_endothelium_glandfront_GranzymeB,0.06687052808313287
aSMA-br_mesenchymal_stromal_GranzymeB,0.06593371217439478
CD4_T_cells_HLA-DR+_stromal_Ki67,0.06353149610016398
NK_cells_CD56brCD16-_stromal_GranzymeB,0.06269337969204956
Gland_fibroblast_stromal_GranzymeB,0.06230077521777636
CD8_T_cells_CD11b+_stromal_TIM3,0.057828778427081
aSMA-br_fibroblast_stromal_GranzymeB,0.05644371320172229
Gland_fibroblast_glandfront_Ki67,0.054425853369736835
Gland_vascular_endothelium_glandfront_VEGF,0.05357005124340805
Stroma_mesenchymal_glandfront_GranzymeB,0.05352344431029831
