,Max Proba
Gland_mesenchymal_intragland_Ki67,0.2187283732802282
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.20972863217428359
Gland_glandular_epithelium_intragland_Ki67,0.14234473144842816
CD8_T_cells_FoxP3+_stromal_HLA-DR,0.12025285303473354
Gland_glandular_epithelium_intragland_HLA-DR,0.10048507360429496
NK_cells_CD56brCD16-_stromal_TIM3,0.09776993568538421
NK_cells_CD56brCD16-CD9hi_glandfront_pP38,0.09661175179336183
CD8_T_cells_CD11b+_glandfront_VEGF,0.08877664702257528
CD8_T_cells_HLA-DR+_glandfront_ERa,0.08675913111576404
Macrophages_M2-like_stromal_GranzymeB,0.08618680020154834
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.08515220203299523
Dendritic_Cells_CD33+_stromal_GranzymeB,0.08212639513791416
NA_glandfront_Ki67,0.080841224718304
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_GranzymeB,0.07459417522565064
NK_cells_CD56brCD16-_stromal_GranzymeB,0.07348606558465534
Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB,0.06930257923443754
CD8_T_cells_FoxP3+_intragland_HLA-DR,0.06387277931229944
Gland_fibroblast_intragland_TIM3,0.06377738716385704
CD8_T_cells_FoxP3+_glandfront_pP38,0.06175174964231205
CD8_T_cells_FoxP3+_stromal_pP38,0.060051124474268684
CD8_T_cells_CD80_CD86+_glandfront_Ki67,0.05942136627812724
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.05867710934675131
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.056657803824540526
Macrophages_M1_M2_stromal_VEGF,0.0566419280275046
Gland_glandular_epithelium_glandfront_Ki67,0.05649934901840336
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.05399807205317337
NK_cells_CD56brCD16-CD9hi_stromal_HLA-DR,0.0534555670233532
Stroma_fibroblast_stromal_GranzymeB,0.052757710368748975
Macrophages_M1_M2_stromal_GranzymeB,0.052113845797558324
Gland_fibroblast_intragland_HLA-DR,0.050122164295759164
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.04934660870092026
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.048094601154030324
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.046759175639362986
CD4_T_cells_CD80_CD86+_stromal_HLA-DR,0.0451739141762337
Dendritic_Cells_CD86+_glandfront_Ki67,0.04130641615054521
CD4_T_cells_FoxP3+_glandfront_TIM3,0.040989706967777526
Macrophages_M1-like_stromal_GranzymeB,0.04071185243258
NA_glandfront_GranzymeB,0.0399562329637525
Dendritic_Cells_CD86CD33dp_glandfront_Ki67,0.03894396034729494
Macrophages_M1_M2_stromal_PR,0.03708490583405227
Macrophages_MDSC_glandfront_GranzymeB,0.03629651546309537
NKT_glandfront_Ki67,0.035826738903273106
NKT_glandfront_pP38,0.03491045979808395
NK_cells_CD56dimCD16+_glandfront_GranzymeB,0.03318611996476911
CD8_T_cells_HLA-DR+_stromal_Ki67,0.03133890407220457
Dendritic_Cells_CD86+_glandfront_HLA-DR,0.029995751302273194
NA_glandfront_ERa,0.02918467725925571
CD4_T_cells_CD80_CD86+_glandfront_HLA-DR,0.028112882055972302
aSMA-br_mesenchymal_stromal_GranzymeB,0.02775296747390862
Dendritic_Cells_CD209CD86dp_glandfront_Ki67,0.026405295910958068
Dendritic_Cells_CD33+_intragland_Ki67,0.025435216349470536
Macrophages_M1_M2_stromal_ERa,0.025174728137435015
Stroma_vascular_endothelium_glandfront_Ki67,0.024916721242844216
Dendritic_Cells_CD209CD33dp_glandfront_ERa,0.022087088774142213
Macrophages_M1_M2_glandfront_GranzymeB,0.022076666126637855
Dendritic_Cells_CD209CD86dp_glandfront_ERa,0.02205101886047264
Stroma_fibroblast_glandfront_GranzymeB,0.021769894663430846
aSMA-br_vascular_endothelium_glandfront_ERa,0.021483491529198023
Dendritic_Cells_CD209CD86dp_stromal_GranzymeB,0.021051416699005357
Dendritic_Cells_CD86+_glandfront_GranzymeB,0.020438083666314038
Dendritic_Cells_CD209CD86dp_stromal_Ki67,0.018596804516524082
NK_cells_CD56brCD16-CD9hi_stromal_Ki67,0.018319176430227912
Gland_glandular_epithelium_glandfront_HLA-DR,0.01824686666231956
aSMA-br_mesenchymal_glandfront_GranzymeB,0.0180451632389413
CD4_T_cells_CD80_CD86+_glandfront_GranzymeB,0.017278935934949266
Dendritic_Cells_CD209CD86dp_glandfront_HLA-DR,0.017099756953891664
Dendritic_Cells_CD86CD33dp_stromal_Ki67,0.016024812547417312
CD4_T_cells_HLA-DR+_glandfront_GranzymeB,0.015296283041056432
Dendritic_Cells_CD86CD33dp_glandfront_GranzymeB,0.015253900234541543
Neutrophils_glandfront_Ki67,0.015148435964081632
CD4_T_cells_CD80_CD86+_glandfront_ERa,0.014989496921700088
NK_cells_CD56brCD16-TIM3hi_stromal_TIM3,0.014455797455023232
NK_cells_CD56brCD16-TIM3hi_glandfront_HLA-DR,0.014366661694018627
NK_cells_CD56brCD16-CD9hi_glandfront_VEGF,0.013423163705435141
NKT_glandfront_HLA-DR,0.012987223660728681
Gland_fibroblast_intragland_VEGF,0.012825114004147022
CD8_T_cells_FoxP3+_glandfront_Ki67,0.012317882906580173
NK_cells_CD56brCD16-CD9hi_glandfront_HLA-DR,0.01222573429890316
Gland_vascular_endothelium_stromal_GranzymeB,0.012090227499052164
Macrophages_M1_M2_stromal_pP38,0.011900145522292039
CD4_T_cells_CD11b+_stromal_TIM3,0.011890999771916686
CD8_T_cells_CD11b+_stromal_TIM3,0.011853101431198039
CD8_T_cells_CD80_CD86+_intragland_ERa,0.011842493078833878
Dendritic_Cells_CD209CD33dp_stromal_HLA-DR,0.011832665607384114
aSMA-br_fibroblast_glandfront_GranzymeB,0.011558099635065634
CD8_T_cells_CD80_CD86+_intragland_Ki67,0.011508322965603125
CD4_T_cells_HLA-DR+_glandfront_ERa,0.011450314627005046
Gland_fibroblast_intragland_ERa,0.011211017387180658
Stroma_fibroblast_glandfront_pP38,0.011162053994049589
CD8_T_cells_FoxP3+_stromal_ERa,0.011072172535185635
Macrophages_M1_M2_glandfront_Ki67,0.010985278269787818
CD8_T_cells_CD80_CD86+_intragland_VEGF,0.010633302702481591
