,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CD4_T_cells_FoxP3+_glandfront_ERa,0.0006561698974110186,0.0003830509085673839,0.0003261883102823049,0.0002864413254428655,0.0008686594082973897,0.0006561698974110186,0.0003830509085673839,0.0003261883102823049,0.0002864413254428655,0.0008686594082973897,0.0006561698974110186,0.0003830509085673839,0.0003261883102823049,0.0002864413254428655,0.0008686594082973897
CD4_T_cells_FoxP3+_glandfront_PR,0.002967552747577429,0.002202745992690325,0.001520877005532384,0.0008292581769637764,0.002733974251896143,0.002967552747577429,0.002202745992690325,0.001520877005532384,0.0008292581769637764,0.002733974251896143,0.002967552747577429,0.002202745992690325,0.001520877005532384,0.0008292581769637764,0.002733974251896143
CD4_T_cells_FoxP3+_glandfront_pP38,0.00013373732508625835,0.00010564671538304538,9.81343982857652e-05,0.00014570212806575,0.00035397629835642874,0.00013373732508625835,0.00010564671538304538,9.81343982857652e-05,0.00014570212806575,0.00035397629835642874,0.00013373732508625835,0.00010564671538304538,9.81343982857652e-05,0.00014570212806575,0.00035397629835642874
CD4_T_cells_FoxP3+_glandfront_VEGF,0.00015543481276836246,0.0,0.0,0.0,0.0,0.00015543481276836246,0.0,0.0,0.0,0.0,0.00015543481276836246,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_GranzymeB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_Ki67,0.00014663524052593857,7.878063479438424e-05,0.0,0.0,0.0,0.00014663524052593857,7.878063479438424e-05,0.0,0.0,0.0,0.00014663524052593857,7.878063479438424e-05,0.0,0.0,0.0
CD4_T_cells_FoxP3+_glandfront_TIM3,0.0001253460068255663,8.543727017240599e-05,3.903190736309625e-05,3.619381823227741e-05,0.0,0.0001253460068255663,8.543727017240599e-05,3.903190736309625e-05,3.619381823227741e-05,0.0,0.0001253460068255663,8.543727017240599e-05,3.903190736309625e-05,3.619381823227741e-05,0.0
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.0007329016807489097,0.0003936902794521302,0.0002800633665174246,0.00016985613910946995,0.00076447450555861,0.0007329016807489097,0.0003936902794521302,0.0002800633665174246,0.00016985613910946995,0.00076447450555861,0.0007329016807489097,0.0003936902794521302,0.0002800633665174246,0.00016985613910946995,0.00076447450555861
CD4_T_cells_FoxP3+_stromal_ERa,0.0014878432266414165,0.0013259295374155045,0.0008955489029176533,0.0006414983654394746,3.388606273801997e-05,0.0014362471411004663,0.0013259295374155045,0.0008955489029176533,0.0006414983654394746,3.388606273801997e-05,0.0014362471411004663,0.0013259295374155045,0.0008955489029176533,0.0006414983654394746,3.388606273801997e-05
CD4_T_cells_FoxP3+_stromal_PR,0.0006236119079403579,0.0003376463137101382,0.0003540663165040314,0.00021921374718658626,0.0001573071494931355,0.0006236119079403579,0.0003376463137101382,0.0003540663165040314,0.00021921374718658626,0.0001573071494931355,0.0006236119079403579,0.0003376463137101382,0.0003540663165040314,0.00021921374718658626,0.0001573071494931355
CD4_T_cells_FoxP3+_stromal_pP38,0.00026882882229983807,0.00022382322640623897,0.00020754193246830255,0.00015510055527556688,0.0,0.00026882882229983807,0.00022382322640623897,0.00020754193246830255,0.00015510055527556688,0.0,0.00026882882229983807,0.00022382322640623897,0.00020754193246830255,0.00015510055527556688,0.0
CD4_T_cells_FoxP3+_stromal_VEGF,0.0008402400417253375,0.0009869770146906376,0.0006816842360422015,0.0005093385116197169,0.00027753732865676284,0.0008356818580068648,0.0009870139183476567,0.0006817376706749201,0.0005093385116197169,0.00027753732865676284,0.0008356818580068648,0.0009870139183476567,0.0006817376706749201,0.0005093385116197169,0.00027753732865676284
CD4_T_cells_FoxP3+_stromal_GranzymeB,0.0015137670561671257,0.001344207557849586,0.0010665906593203545,0.0007563076796941459,0.000249346048804,0.0015137670561671257,0.001344207557849586,0.0010665906593203545,0.0007563076796941459,0.000249346048804,0.0015137670561671257,0.001344207557849586,0.0010665906593203545,0.0007563076796941459,0.000249346048804
