,Max Proba
Gland_mesenchymal_intragland_Ki67,0.16307175859851952
CD8_T_cells_HLA-DR+_glandfront_Ki67,0.16271658756113794
Macrophages_M1-like_stromal_GranzymeB,0.09613516281672965
Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB,0.0924560299657476
CD8_T_cells_HLA-DR+_glandfront_ERa,0.09190661141206938
Dendritic_Cells_CD33+_stromal_GranzymeB,0.09176563222368554
Gland_glandular_epithelium_intragland_Ki67,0.08772100658057909
Macrophages_M2-like_stromal_GranzymeB,0.07825914617752154
Dendritic_Cells_CD86CD33dp_glandfront_GranzymeB,0.05261796708124281
aSMA-br_vascular_endothelium_glandfront_GranzymeB,0.049468490582119766
Gland_fibroblast_intragland_TIM3,0.04611168346068774
CD8_T_cells_FoxP3+_glandfront_pP38,0.0431574483407
Macrophages_M1_M2_stromal_GranzymeB,0.04223761511922969
Stroma_fibroblast_stromal_GranzymeB,0.04058568092472424
Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB,0.038968587458670226
Macrophages_MDSC_glandfront_GranzymeB,0.038630978624361406
Gland_glandular_epithelium_glandfront_Ki67,0.03609989540143888
CD8_T_cells_FoxP3+_stromal_pP38,0.0349944787501318
aSMA-br_mesenchymal_stromal_GranzymeB,0.03296495902193341
CD4_T_cells_FoxP3+_glandfront_HLA-DR,0.03238105708667507
CD8_T_cells_CD11b+_glandfront_VEGF,0.0321323620718712
NK_cells_CD56brCD16-TIM3hi_stromal_GranzymeB,0.03200209416413419
Dendritic_Cells_CD209CD86dp_glandfront_Ki67,0.03198814677145437
NKT_glandfront_Ki67,0.03153905459633862
CD4_T_cells_FoxP3+_glandfront_TIM3,0.031099713267140366
CD8_T_cells_FoxP3+_stromal_HLA-DR,0.030373593846178503
CD8_T_cells_CD80_CD86+_glandfront_VEGF,0.0278788717330586
NK_cells_CD56brCD16-_stromal_TIM3,0.02780080357528518
NK_cells_CD56brCD16-TIM3hi_glandfront_pP38,0.026901491246604722
NA_glandfront_Ki67,0.026846815425790996
Gland_glandular_epithelium_intragland_HLA-DR,0.02651344516393997
CD4_T_cells_CD80_CD86+_stromal_HLA-DR,0.02454886408194078
Dendritic_Cells_CD86+_stromal_GranzymeB,0.023470681929836354
CD4_T_cells_FoxP3+_glandfront_pP38,0.022981331944883936
NK_cells_CD56brCD16-NKG2AhiTIM3hi_stromal_GranzymeB,0.021424769975685102
CD4_T_cells_CD80_CD86+_glandfront_GranzymeB,0.020571035043974503
aSMA-br_mesenchymal_glandfront_GranzymeB,0.020370741981595067
Dendritic_Cells_CD209CD86dp_glandfront_HLA-DR,0.019135985155564545
Macrophages_M1_M2_stromal_VEGF,0.018144543917970643
CD8_T_cells_CD80_CD86+_intragland_VEGF,0.01713997948078848
CD4_T_cells_CD80_CD86+_intragland_PR,0.01701733341575732
NK_cells_CD56brCD16-_stromal_GranzymeB,0.016872690226991994
Gland_vascular_endothelium_stromal_GranzymeB,0.01640671653013606
CD8_T_cells_FoxP3+_intragland_HLA-DR,0.015959173019800068
NKT_glandfront_pP38,0.015070216720971651
Dendritic_Cells_CD86CD33dp_glandfront_Ki67,0.014370303490962343
Neutrophils_glandfront_Ki67,0.014174860095273597
NK_cells_CD56dimCD16+_glandfront_GranzymeB,0.013883170761011351
Gland_fibroblast_intragland_PR,0.013793633724707792
NA_glandfront_GranzymeB,0.013150799468051545
NK_cells_CD56brCD16-TIM3hi_glandfront_HLA-DR,0.012824589263180291
NK_cells_CD56brCD16-CD9hi_glandfront_pP38,0.012805640884916427
CD8_T_cells_CD80_CD86+_intragland_HLA-DR,0.012748325378956073
Dendritic_Cells_CD86+_stromal_HLA-DR,0.012408120570951385
CD4_T_cells_CD80_CD86+_glandfront_HLA-DR,0.011773292875741321
CD4_T_cells_CD80_CD86+_stromal_GranzymeB,0.011673078738609797
CD8_T_cells_CD80_CD86+_intragland_Ki67,0.011538479425457562
Macrophages_MDSC_stromal_GranzymeB,0.0105814222012215
Dendritic_Cells_CD209CD86dp_stromal_GranzymeB,0.009923301425136075
CD4_T_cells_HLA-DR+_glandfront_Ki67,0.009880070759655158
Stroma_fibroblast_glandfront_GranzymeB,0.009861700357662814
CD8_T_cells_FoxP3+_glandfront_HLA-DR,0.009728344917042173
Dendritic_Cells_CD86CD33dp_stromal_GranzymeB,0.00958848954712475
CD4_T_cells_HLA-DR+_glandfront_ERa,0.009029038594172006
Macrophages_M1_M2_stromal_PR,0.008476789449634058
Dendritic_Cells_CD209CD33dp_stromal_VEGF,0.008476001239330911
Dendritic_Cells_CD33+_intragland_Ki67,0.008100040574950293
Gland_fibroblast_stromal_pP38,0.008025285507919
CD8_T_cells_CD80_CD86+_intragland_GranzymeB,0.007971948646890594
Stroma_vascular_endothelium_stromal_GranzymeB,0.0077632572769059304
aSMA-br_fibroblast_stromal_GranzymeB,0.007676652362661398
CD8_T_cells_CD80_CD86+_intragland_PR,0.00754777806472714
Neutrophils_stromal_Ki67,0.007455417607133128
NK_cells_CD56brCD16-_glandfront_pP38,0.007435724272557611
CD8_T_cells_CD80_CD86+_glandfront_Ki67,0.007433086702750537
Macrophages_M1_M2_glandfront_HLA-DR,0.007295513851581535
CD4_T_cells_CD80_CD86+_stromal_pP38,0.007179880459526148
Dendritic_Cells_CD209CD86dp_stromal_Ki67,0.0070950066043616086
NK_cells_CD56brCD16-CD9hi_stromal_HLA-DR,0.006836690155528643
Dendritic_Cells_CD86+_glandfront_Ki67,0.006825507532475852
NK_cells_CD56brCD16-_glandfront_HLA-DR,0.0067651991663624615
CD4_T_cells_CD80_CD86+_glandfront_Ki67,0.006760499241928217
NK_cells_CD56brCD16-TIM3hi_stromal_TIM3,0.006738740759184842
CD8_T_cells_HLA-DR+_glandfront_PR,0.00673741546048096
NK_cells_CD56brCD16-CD9hi_glandfront_HLA-DR,0.006707421217400445
Macrophages_M2-like_glandfront_GranzymeB,0.006507354864826732
Dendritic_Cells_CD86CD33dp_stromal_Ki67,0.006411218504191109
CD4_T_cells_FoxP3+_glandfront_VEGF,0.006155441091882177
Gland_fibroblast_intragland_HLA-DR,0.0060361342657431075
Gland_fibroblast_intragland_ERa,0.005986275810621143
Dendritic_Cells_CD209CD86dp_glandfront_PR,0.005822737924220466
NK_cells_CD56brCD16-_glandfront_Ki67,0.005761165491245137
CD4_T_cells_CD80_CD86+_stromal_PR,0.005665636115199464
Macrophages_M1-like_glandfront_TIM3,0.005573535863786002
CD4_T_cells_CD80_CD86+_glandfront_ERa,0.0054799442226249
aSMA-br_fibroblast_glandfront_GranzymeB,0.005455722615807271
CD8_T_cells_CD80_CD86+_intragland_ERa,0.005334865073717289
NK_cells_CD56dimCD16+CD9hi_glandfront_GranzymeB,0.005324407231657133
NA_stromal_Ki67,0.005180163462227758
Stroma_fibroblast_glandfront_Ki67,0.005045121182353709
CD4_T_cells_FoxP3+_stromal_PR,0.004893414973257144
Dendritic_Cells_CD209CD86dp_glandfront_ERa,0.004854235585851423
